
1,4,7,クラリティスカイ,2012106160,牡3,57,横山典弘,1:33.5,,**,5-5,33.9,6.4,3,478(-4),,,,[西] 友道康夫,杉山忠国,"9,582.2"
2,5,9,アルビアーノ,2012110102,牝3,55,柴山雄一,1:33.7,1,**,2-2,34.4,6.5,4,512(+6),,,,[東] 木村哲也,吉田和美,"3,809.2"
3,6,12,ミュゼスルタン,2012104118,牡3,57,柴田善臣,1:33.7,クビ,**,11-9,33.8,5.9,2,470(-6),,,,[東] 大江原哲,高橋仁,"2,354.6"
4,1,1,アヴニールマルシェ,2012104552,牡3,57,北村宏司,1:33.9,1.1/2,**,14-14,33.8,7.2,5,488(-4),,,,[東] 藤沢和雄,キャロットファーム,"1,400.0"
5,1,2,グランシルク,2012104915,牡3,57,戸崎圭太,1:33.9,クビ,**,9-9,34.1,4.3,1,480(+2),,,,[東] 戸田博文,シルクレーシング,920.0
6,7,14,ヤングマンパワー,2012104685,牡3,57,松岡正海,1:33.9,アタマ,**,12-9,34.0,30.3,10,522(+4),,,,[東] 手塚貴久,星野壽市,
7,7,15,フミノムーン,2012105252,牡3,57,幸英明,1:34.1,1,**,16-14,34.0,44.8,13,444(+2),,,,[西] 西浦勝一,谷二,
8,8,17,ニシノラッシュ,2012101704,牡3,57,田辺裕信,1:34.1,クビ,**,7-5,34.5,27.3,9,476(0),,,,[東] 田村康仁,西山茂行,
9,5,10,アルマワイオリ,2012100208,牡3,57,勝浦正樹,1:34.2,クビ,**,12-9,34.3,10.7,6,468(+2),,,,[西] 西浦勝一,コウトミックレーシング,
10,7,13,コスモナインボール,2012103129,牡3,57,柴田大知,1:34.3,1/2,**,18-18,33.9,134.4,16,472(0),,,,[東] 和田雄二,ビッグレッドファーム,
11,8,16,ダノンメジャー,2012104551,牡3,57,武豊,1:34.4,1/2,**,3-2,35.0,18.0,8,482(+4),,,,[西] 橋口弘次,ダノックス,
12,2,4,グァンチャーレ,2012100407,牡3,57,蛯名正義,1:34.4,クビ,**,14-14,34.3,34.3,11,440(-2),,,,[西] 北出成人,松本俊廣,
13,6,11,ヤマカツエース,2012102774,牡3,57,池添謙一,1:34.5,クビ,**,7-5,34.9,14.2,7,488(+6),,,,[西] 池添兼雄,山田和夫,
14,2,3,クールホタルビ,2012103383,牝3,55,吉田豊,1:34.8,2,**,16-17,34.6,156.2,18,440(+6),,,,[西] 清水久詞,川上哲司,
15,4,8,ナイトフォックス,2012104122,牡3,57,田中勝春,1:35.0,1.1/2,**,9-9,35.2,142.6,17,472(+6),,,,[東] 大竹正博,石瀬浩三,
16,3,6,レンイングランド,2012101011,牡3,57,内田博幸,1:35.1,1/2,**,1-1,35.8,102.8,14,508(0),,,,[西] 矢作芳人,田畑勝彦,
17,8,18,マテンロウハピネス,2012102308,牡3,57,浜中俊,1:35.4,2,**,3-2,36.0,35.6,12,444(+2),,,,[西] 昆貢,寺田千代乃,
18,3,5,タガノアザガル,2012100528,牡3,57,松田大作,1:35.5,クビ,**,5-8,35.8,106.9,15,432(-8),,,,[西] 千田輝彦,八木良司,
