
1,7,13,キングカメハメハ,2001103460,牡3,57,安藤勝己,1:32.5,,,9-9,34.0,3.6,1,496(+2),,,,[西] 松田国英,金子真人,"9,586.4"
2,1,1,コスモサンビーム,2001107574,牡3,57,四位洋文,1:33.3,5,,9-9,34.7,6.8,4,484(+6),,,,[西] 佐々木晶,岡田美佐子,"3,810.4"
3,3,6,メイショウボーラー,2001100650,牡3,57,福永祐一,1:33.6,1.3/4,,3-3,35.4,5.0,3,472(-4),,,,[西] 白井寿昭,松本好雄,"2,355.2"
4,4,8,ダイワバンディット,2001110036,牡3,57,北村宏司,1:33.7,1/2,,6-6,35.4,81.0,12,472(+2),,,,[東] 増沢末夫,大和商事,"1,400.0"
5,5,10,ビッグファルコン,2001100189,牡3,57,吉田豊,1:34.0,2,,17-16,34.9,139.7,16,442(+2),,,,[西] 中尾正,ビッグ,920.0
6,6,12,シゲルドントイケ,2001106298,牡3,57,赤木高太,1:34.1,クビ,,11-14,35.2,72.1,11,470(-4),,,,[西] 坪憲章,森中蕃,
7,3,5,シーキングザダイヤ,2001110220,牡3,57,武豊,1:34.1,クビ,,8-8,35.7,3.7,2,488(0),,,,[西] 森秀行,青山洋一,
8,8,16,ムーンシャイン,2001102107,牡3,57,オリヴァ,1:34.2,クビ,,15-16,35.2,28.2,9,484(-4),,,,[東] 鈴木伸尋,池谷誠一,
9,8,18,フリーダムホーク,2001110248,牡3,57,横山典弘,1:34.2,ハナ,,18-18,34.7,50.7,10,498(-6),,,,[東] 手塚貴久,藤田与志男,
10,4,7,アポインテッドデイ,2001110204,牡3,57,柴田善臣,1:34.2,アタマ,,4-3,36.1,18.0,7,508(0),,,,[東] 堀井雅広,藤田与志男,
11,5,9,タイキバカラ,2001110060,牡3,57,蛯名正義,1:34.4,1.1/4,,1-1,36.6,11.3,5,476(-4),,,,[東] 土田稔,大樹ファーム,
12,8,17,ローランジェネルー,2001110218,牡3,57,石崎隆之,1:34.6,1,,11-12,35.8,87.6,14,500(0),,,,[東] 畠山吉宏,斉藤敏博,
13,7,15,エイシンマルカム,2001110165,牡3,57,渡辺薫彦,1:34.7,3/4,,11-12,35.9,82.9,13,492(+2),,,,[西] 沖芳夫,平井豊光,
14,2,4,ナイストップボーイ,2001107023,牡3,57,岡部幸雄,1:35.0,2,,11-9,36.4,17.5,6,496(+2),,,,[西] 目野哲也,菅藤宗一,
15,7,14,ハートランドカフェ,2001101322,牡3,57,武幸四郎,1:35.3,1.3/4,,2-2,37.3,28.0,8,474(+8),,,,[東] 小島太,西川恭子,
16,6,11,ロードインザスカイ,2001103967,牡3,57,後藤浩輝,1:35.3,ハナ,,4-3,37.2,166.4,17,514(+8),,,,[西] 池添兼雄,ロードホースクラブ,
17,1,2,トラッドスキーム,2001103151,牡3,57,江田照男,1:35.4,クビ,,6-6,37.1,97.4,15,442(-8),,,,[東] 高橋祥泰,臼田浩義,
18,2,3,ダイシンチャンス,2001110197,牡3,57,太宰啓介,1:35.4,アタマ,,15-14,36.5,168.0,18,488(0),,,,[西] 太宰義人,大八木信行,
