
1,3,5,カレンブラックヒル,2009106230,牡3,57,秋山真一,1:34.5,,**,1-1,34.6,3.7,1,460(-6),,,,[西] 平田修,鈴木隆司,"9,590.6"
2,8,17,アルフレード,2009106321,牡3,57,ウィリア,1:35.1,3.1/2,**,5-4,34.9,7.4,3,516(-2),,,,[東] 手塚貴久,キャロットファーム,"3,811.6"
3,6,12,クラレント,2009105009,牡3,57,小牧太,1:35.1,クビ,**,11-10,34.4,64.7,15,472(-4),,,,[西] 橋口弘次,前田晋二,"2,355.8"
4,7,13,オリービン,2009105813,牡3,57,川田将雅,1:35.1,ハナ,**,8-8,34.5,31.4,10,456(0),,,,[西] 橋口弘次,吉田照哉,"1,400.0"
5,5,9,セイクレットレーヴ,2009102554,牡3,57,横山典弘,1:35.2,クビ,**,16-15,34.2,19.0,7,464(-4),,,,[東] 田中清隆,嶋田賢,920.0
6,7,14,ジャスタウェイ,2009106461,牡3,57,福永祐一,1:35.3,3/4+ハナ,**,15-16,34.2,10.0,4,474(-8),,,,[西] 須貝尚介,大和屋暁,
7,4,7,ハナズゴール,2009106872,牝3,55,田辺裕信,1:35.3,ハナ,**,14-12,34.5,13.7,6,414(0),,,,[東] 加藤和宏,Ｍ．タバート,
8,2,3,レオアクティブ,2009100556,牡3,57,蛯名正義,1:35.3,クビ,**,13-12,34.4,23.4,9,446(-4),,,,[東] 杉浦宏昭,田中博之,
9,8,16,ガンジス,2009106186,牡3,57,藤岡佑介,1:35.6,1.3/4,**,5-4,35.3,45.5,13,502(+4),,,,[西] 矢作芳人,林正道,
10,5,10,ブライトライン,2009105023,牡3,57,安藤勝己,1:35.6,ハナ,**,16-17,34.4,10.4,5,502(-4),,,,[西] 鮫島一歩,ノースヒルズ,
11,8,18,レオンビスティー,2009102463,牡3,57,内田博幸,1:36.0,2.1/2,**,2-2,36.0,74.6,17,490(+8),,,,[西] 矢作芳人,備前島敏子,
12,1,2,ネオヴァンクル,2009106011,牡3,57,北村友一,1:36.0,クビ,**,4-4,35.8,139.3,18,502(-4),,,,[西] 音無秀孝,小林仁幸,
13,7,15,サドンストーム,2009102663,牡3,57,勝浦正樹,1:36.1,クビ,**,18-18,34.7,39.0,11,460(0),,,,[西] 西浦勝一,Ｈ．Ｈ．シェイク・ハムダン,
14,6,11,マイネルロブスト,2009104631,牡3,57,松岡正海,1:36.4,2,**,2-2,36.4,48.3,14,482(-6),,,,[東] 高橋裕,サラブレッドクラブ・ラフィアン,
15,1,1,メジャーアスリート,2009100746,牡3,57,池添謙一,1:36.6,1.1/4,**,7-7,36.2,43.9,12,498(-2),,,,[東] 高木登,Ｇ１レーシング,
16,2,4,モンストール,2009101347,牡3,57,柴田善臣,1:36.7,3/4,**,9-10,36.0,21.4,8,460(0),,,,[東] 尾関知人,前田幸治,
中,3,6,シゲルスダチ,2009103012,牡3,57,後藤浩輝,,,**,12-12,,73.8,16,416(+6),,,,[西] 西園正都,森中蕃,
失,4,8,マウントシャスタ,2009106130,牡3,57,岩田康誠,1:35.3,,**,9-8,34.7,3.7,2,456(0),,,,[西] 池江泰寿,金子真人ホールディングス,
