単勝,<td>6</td>,"<td class=""txt_r"">870</td>","<td class=""txt_r"">3</td>"
複勝,6 2 15,290 630 590,3 9 8
枠連,<td>1 - 3</td>,"<td class=""txt_r"">1,140</td>","<td class=""txt_r"">5</td>"
馬連,<td>2 - 6</td>,"<td class=""txt_r"">6,110</td>","<td class=""txt_r"">22</td>"
ワイド,2 - 6 6 - 15 2 - 15,"1,720 1,870 4,250",20 21 43
馬単,<td>6 → 2</td>,"<td class=""txt_r"">11,590</td>","<td class=""txt_r"">39</td>"
三連複,<td>2 - 6 - 15</td>,"<td class=""txt_r"">30,100</td>","<td class=""txt_r"">82</td>"
三連単,<td>6 → 2 → 15</td>,"<td class=""txt_r"">201,600</td>","<td class=""txt_r"">497</td>"
