単勝,<td>5</td>,"<td class=""txt_r"">370</td>","<td class=""txt_r"">1</td>"
複勝,5 17 12,"170 300 1,630",2 3 15
枠連,<td>3 - 8</td>,"<td class=""txt_r"">1,210</td>","<td class=""txt_r"">6</td>"
馬連,<td>5 - 17</td>,"<td class=""txt_r"">1,480</td>","<td class=""txt_r"">3</td>"
ワイド,5 - 17 5 - 12 12 - 17,"760 8,070 12,680",5 77 98
馬単,<td>5 → 17</td>,"<td class=""txt_r"">2,630</td>","<td class=""txt_r"">4</td>"
三連複,<td>5 - 12 - 17</td>,"<td class=""txt_r"">72,990</td>","<td class=""txt_r"">198</td>"
三連単,<td>5 → 17 → 12</td>,"<td class=""txt_r"">262,580</td>","<td class=""txt_r"">722</td>"
