単勝,<td>13</td>,"<td class=""txt_r"">360</td>","<td class=""txt_r"">1</td>"
複勝,13 1 6,140 170 150,1 4 3
枠連,<td>1 - 7</td>,"<td class=""txt_r"">1,150</td>","<td class=""txt_r"">4</td>"
馬連,<td>1 - 13</td>,"<td class=""txt_r"">1,340</td>","<td class=""txt_r"">6</td>"
ワイド,1 - 13 6 - 13 1 - 6,510 370 410,5 2 4
馬単,<td>13 → 1</td>,"<td class=""txt_r"">2,140</td>","<td class=""txt_r"">5</td>"
三連複,<td>1 - 6 - 13</td>,"<td class=""txt_r"">1,580</td>","<td class=""txt_r"">2</td>"
