単勝,<td>7</td>,"<td class=""txt_r"">640</td>","<td class=""txt_r"">3</td>"
複勝,7 9 12,210 260 230,2 5 3
枠連,<td>4 - 5</td>,"<td class=""txt_r"">1,510</td>","<td class=""txt_r"">6</td>"
馬連,<td>7 - 9</td>,"<td class=""txt_r"">2,800</td>","<td class=""txt_r"">10</td>"
ワイド,7 - 9 7 - 12 9 - 12,"1,120 780 1,260",10 4 14
馬単,<td>7 → 9</td>,"<td class=""txt_r"">5,990</td>","<td class=""txt_r"">23</td>"
三連複,<td>7 - 9 - 12</td>,"<td class=""txt_r"">6,200</td>","<td class=""txt_r"">14</td>"
三連単,<td>7 → 9 → 12</td>,"<td class=""txt_r"">36,720</td>","<td class=""txt_r"">91</td>"
