b'\xe5\x8d\x98\xe5\x8b\x9d',b'11',"b'2,240'",b'9'
b'\xe8\xa4\x87\xe5\x8b\x9d',b'11 7 10',"b'650 320 1,340'",b'9 4 12'
b'\xe6\x9e\xa0\xe9\x80\xa3',b'4 - 6',"b'2,380'",b'10'
b'\xe9\xa6\xac\xe9\x80\xa3',b'7 - 11',"b'8,710'",b'31'
b'\xe3\x83\xaf\xe3\x82\xa4\xe3\x83\x89',b'7 - 11 10 - 11 7 - 10',"b'2,250 16,960 6,770'",b'25 102 58'
b'\xe9\xa6\xac\xe5\x8d\x98',b'11 \xe2\x86\x92 7',"b'20,720'",b'67'
b'\xe4\xb8\x89\xe9\x80\xa3\xe8\xa4\x87',b'7 - 10 - 11',"b'176,030'",b'306'
b'\xe4\xb8\x89\xe9\x80\xa3\xe5\x8d\x98',b'11 \xe2\x86\x92 7 \xe2\x86\x92 10',"b'1,064,360'",b'1646'
