単勝,<td>9</td>,"<td class=""txt_r"">430</td>","<td class=""txt_r"">1</td>"
複勝,9 5 14,180 290 760,1 3 12
枠連,<td>3 - 5</td>,"<td class=""txt_r"">1,720</td>","<td class=""txt_r"">4</td>"
馬連,<td>5 - 9</td>,"<td class=""txt_r"">1,980</td>","<td class=""txt_r"">2</td>"
ワイド,5 - 9 9 - 14 5 - 14,"800 3,150 5,120",3 36 74
馬単,<td>9 → 5</td>,"<td class=""txt_r"">3,600</td>","<td class=""txt_r"">4</td>"
三連複,<td>5 - 9 - 14</td>,"<td class=""txt_r"">28,130</td>","<td class=""txt_r"">90</td>"
三連単,<td>9 → 5 → 14</td>,"<td class=""txt_r"">116,880</td>","<td class=""txt_r"">323</td>"
