b'\xe5\x8d\x98\xe5\x8b\x9d',b'8',b'310',b'2'
b'\xe8\xa4\x87\xe5\x8b\x9d',b'8 3 12',b'170 220 260',b'3 4 5'
b'\xe6\x9e\xa0\xe9\x80\xa3',b'3 - 6',b'830',b'3'
b'\xe9\xa6\xac\xe9\x80\xa3',b'3 - 8',b'770',b'3'
b'\xe3\x83\xaf\xe3\x82\xa4\xe3\x83\x89',b'3 - 8 8 - 12 3 - 12',b'270 590 290',b'3 7 4'
b'\xe9\xa6\xac\xe5\x8d\x98',b'8 \xe2\x86\x92 3',"b'1,390'",b'4'
b'\xe4\xb8\x89\xe9\x80\xa3\xe8\xa4\x87',b'3 - 8 - 12',"b'2,990'",b'8'
b'\xe4\xb8\x89\xe9\x80\xa3\xe5\x8d\x98',b'8 \xe2\x86\x92 3 \xe2\x86\x92 12',"b'6,830'",b'19'
