単勝,<td>13</td>,"<td class=""txt_r"">260</td>","<td class=""txt_r"">1</td>"
複勝,13 1 3,140 340 210,2 5 3
枠連,<td>1 - 7</td>,"<td class=""txt_r"">1,250</td>","<td class=""txt_r"">6</td>"
馬連,<td>1 - 13</td>,"<td class=""txt_r"">2,040</td>","<td class=""txt_r"">7</td>"
ワイド,1 - 13 3 - 13 1 - 3,"820 400 1,370",7 2 10
馬単,<td>13 → 1</td>,"<td class=""txt_r"">2,680</td>","<td class=""txt_r"">10</td>"
三連複,<td>1 - 3 - 13</td>,"<td class=""txt_r"">3,860</td>","<td class=""txt_r"">9</td>"
三連単,<td>13 → 1 → 3</td>,"<td class=""txt_r"">17,180</td>","<td class=""txt_r"">36</td>"
