単勝,<td>14</td>,"<td class=""txt_r"">7,600</td>","<td class=""txt_r"">17</td>"
複勝,14 10 18,"1,910 200 3,900",17 1 18
枠連,<td>5 - 7</td>,"<td class=""txt_r"">1,440</td>","<td class=""txt_r"">5</td>"
馬連,<td>10 - 14</td>,"<td class=""txt_r"">30,800</td>","<td class=""txt_r"">88</td>"
ワイド,10 - 14 14 - 18 10 - 18,"7,840 58,890 16,990",85 152 123
馬単,<td>14 → 10</td>,"<td class=""txt_r"">85,620</td>","<td class=""txt_r"">200</td>"
三連複,<td>10 - 14 - 18</td>,"<td class=""txt_r"">1,221,770</td>","<td class=""txt_r"">727</td>"
三連単,<td>14 → 10 → 18</td>,"<td class=""txt_r"">9,739,870</td>","<td class=""txt_r"">4375</td>"
