b'\xe5\x8d\x98\xe5\x8b\x9d',b'10',"b'1,890'",b'5'
b'\xe8\xa4\x87\xe5\x8b\x9d',b'10 7 6',b'350 270 200',b'5 4 2'
b'\xe6\x9e\xa0\xe9\x80\xa3',b'7 - 8',"b'1,670'",b'8'
b'\xe9\xa6\xac\xe9\x80\xa3',b'7 - 10',"b'2,900'",b'9'
b'\xe3\x83\xaf\xe3\x82\xa4\xe3\x83\x89',b'7 - 10 6 - 10 6 - 7',"b'1,060 760 510'",b'11 9 7'
b'\xe9\xa6\xac\xe5\x8d\x98',b'10 \xe2\x86\x92 7',"b'10,770'",b'24'
b'\xe4\xb8\x89\xe9\x80\xa3\xe8\xa4\x87',b'6 - 7 - 10',"b'4,880'",b'13'
b'\xe4\xb8\x89\xe9\x80\xa3\xe5\x8d\x98',b'10 \xe2\x86\x92 7 \xe2\x86\x92 6',"b'38,920'",b'95'
