単勝,<td>4</td>,"<td class=""txt_r"">230</td>","<td class=""txt_r"">1</td>"
複勝,4 5 18,140 210 660,1 2 11
枠連,<td>2 - 3</td>,"<td class=""txt_r"">460</td>","<td class=""txt_r"">1</td>"
馬連,<td>4 - 5</td>,"<td class=""txt_r"">940</td>","<td class=""txt_r"">1</td>"
ワイド,4 - 5 4 - 18 5 - 18,"430 1,990 3,520",1 22 43
馬単,<td>4 → 5</td>,"<td class=""txt_r"">1,470</td>","<td class=""txt_r"">1</td>"
三連複,<td>4 - 5 - 18</td>,"<td class=""txt_r"">11,190</td>","<td class=""txt_r"">32</td>"
三連単,<td>4 → 5 → 18</td>,"<td class=""txt_r"">33,030</td>","<td class=""txt_r"">78</td>"
