単勝,<td>12</td>,"<td class=""txt_r"">390</td>","<td class=""txt_r"">2</td>"
複勝,12 13 4,180 620 270,2 8 4
枠連,<td>6 - 7</td>,"<td class=""txt_r"">1,160</td>","<td class=""txt_r"">4</td>"
馬連,<td>12 - 13</td>,"<td class=""txt_r"">4,890</td>","<td class=""txt_r"">16</td>"
ワイド,12 - 13 4 - 12 4 - 13,"1,410 810 3,230",13 6 37
馬単,<td>12 → 13</td>,"<td class=""txt_r"">6,410</td>","<td class=""txt_r"">22</td>"
三連複,<td>4 - 12 - 13</td>,"<td class=""txt_r"">12,760</td>","<td class=""txt_r"">39</td>"
三連単,<td>12 → 13 → 4</td>,"<td class=""txt_r"">63,150</td>","<td class=""txt_r"">180</td>"
