単勝,<td>3</td>,"<td class=""txt_r"">3,980</td>","<td class=""txt_r"">10</td>"
複勝,3 13 10,"1,120 380 2,850",10 5 15
枠連,<td>2 - 7</td>,"<td class=""txt_r"">1,320</td>","<td class=""txt_r"">6</td>"
馬連,<td>3 - 13</td>,"<td class=""txt_r"">14,180</td>","<td class=""txt_r"">37</td>"
ワイド,3 - 13 3 - 10 10 - 13,"3,920 19,610 11,750",36 119 89
馬単,<td>3 → 13</td>,"<td class=""txt_r"">39,660</td>","<td class=""txt_r"">96</td>"
三連複,<td>3 - 10 - 13</td>,"<td class=""txt_r"">318,540</td>","<td class=""txt_r"">436</td>"
三連単,<td>3 → 13 → 10</td>,"<td class=""txt_r"">2,381,660</td>","<td class=""txt_r"">2657</td>"
