,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2015/10/04,4阪神9,晴,11,ポートアイランドS(OP),201509040911,,16,3,6,15.6,8,16,池添謙一,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.6,1.9,**,15-10,35.6-34.4,35.4,482(+8),,,フルーキー,
1,2015/08/30,2小倉10,曇,11,小倉日経OP(OP),201510021011,,14,5,7,8.2,3,4,浜中俊,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:47.2,0.2,**,12-11-12-5,36.5-34.1,33.4,474(+8),,,メイショウヤタロウ,350.0
2,2015/06/21,3阪神6,晴,11,米子S(OP),201509030611,,10,7,7,9.3,6,10,藤岡佑介,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:36.3,2.3,**,9-9,35.5-34.6,36.0,466(-4),,,スマートレイアー,
3,2015/05/16,3京都7,曇,11,都大路S(OP),201508030711,,13,1,1,9.0,3,5,池添謙一,56,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:46.6,0.9,**,9-9,35.0-35.0,34.4,470(-2),,,エイシンヒカリ,230.0
4,2015/03/29,2阪神2,曇,11,六甲S(OP),201509020211,,17,7,14,4.5,2,9,川田将雅,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.9,1.2,**,9-8,35.9-35.0,35.3,472(-2),,,テイエムタイホー,
5,2015/03/08,1阪神4,曇,11,大阪城S(OP),201509010411,,16,4,7,8.3,4,2,池添謙一,56,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:48.6,0.5,**,15-5,35.1-36.0,36.2,474(+4),,,ヒストリカル,930.0
6,2014/07/27,2福島8,曇,11,福島テレビOP(OP),201403020811,,16,1,2,6.2,2,中,エスポジ,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,,,**,5-5-10-16,35.7-36.4,,470(+6),,,ムーンリットレイク,
7,2014/04/06,3中山4,曇,11,ダービー卿チャレンジ(G3),201406030411,,16,7,13,7.7,5,9,シュタル,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.0,0.4,**,13-12-11,34.8-36.7,36.3,464(0),,,カレンブラックヒル,
8,2014/03/08,1阪神3,晴,10,武庫川S(1600万下),201409010310,,9,2,2,3.4,2,1,浜中俊,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.7,-0.1,**,5-6,36.5-34.3,33.6,464(-6),,,(オリービン),"1,809.6"
9,2014/02/16,2京都6,晴,10,飛鳥S(1600万下),201408020610,,11,7,8,3.9,2,9,ベリー,57,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:50.6,1.6,**,2-2,36.9-35.5,36.9,470(+8),,,マーティンボロ,
10,2013/02/03,1東京4,晴,11,東京新聞杯(G3),201305010411,,16,6,11,6.4,3,9,ビュイッ,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.8,0.9,**,11-13,35.5-33.5,33.5,462(+2),,,クラレント,
11,2012/12/15,5阪神5,曇,11,リゲルS(OP),201209050511,,13,4,5,1.8,1,2,岩田康誠,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,0.2,**,6-6,35.4-35.5,33.6,460(-8),,,ハナズゴール,850.6
12,2012/10/21,4京都7,晴,11,菊花賞(G1),201208040711,,18,5,10,13.1,2,9,川田将雅,57,1.0,0.0,3000,0.0,1.0,0.0,0.0,**,3:04.2,1.3,**,7-7-3-1,37.1-36.1,37.3,468(0),,,ゴールドシップ,
13,2012/09/23,4阪神7,晴,11,神戸新聞杯(G2),201209040711,,15,6,11,2.8,2,3,川田将雅,56,1.0,0.0,2400,0.0,1.0,0.0,0.0,**,2:25.9,0.7,**,9-9-8-9,36.0-35.8,35.1,468(+18),,,ゴールドシップ,"1,315.4"
14,2012/06/24,3阪神8,晴,11,宝塚記念(G1),201209030811,,16,2,4,49.6,12,5,川田将雅,53,1.0,0.0,2200,0.0,1.0,0.0,0.0,**,2:11.7,0.8,**,4-4-4-3,34.3-35.3,35.9,450(-6),,,オルフェーヴル,"1,320.0"
15,2012/05/26,3京都11,晴,10,白百合S(OP),201208031110,,10,7,8,1.5,1,1,岩田康誠,57,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:47.0,-0.3,**,5-5,36.5-33.5,33.1,456(0),,,(ヤマニンファラオ),"1,928.7"
16,2012/05/06,2東京6,曇,11,NHKマイルC(G1),201205020611,,18,4,8,3.7,2,失,岩田康誠,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.3,,**,9-8,35.1-34.6,34.7,456(0),,,カレンブラックヒル,
17,2012/03/24,2阪神1,曇,11,毎日杯(G3),201209020111,,13,7,11,5.4,3,2,池添謙一,56,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:49.7,0.1,**,9-8,35.8-36.0,35.7,456(0),,,ヒストリカル,"1,514.0"
18,2012/03/04,1阪神4,小雨,9,アルメリア賞(500万下),201209010409,,13,8,12,2.4,1,1,池添謙一,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:52.0,0.0,**,6-4,36.9-35.4,35.0,456(-6),,,(キャトルフィーユ),982.2
19,2012/02/12,2京都6,晴,5,3歳新馬,201208020605,,16,6,11,1.5,1,1,福永祐一,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:51.6,-0.2,**,5-4,37.4-35.3,35.1,462(0),,,(カポーティスター),600.0
