,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2011/04/20,園田,曇,11,ラジオ関西558賞,201150042011,,12,6,7,4.4,3,12,下原理,56,1.0,0.0,1400,1.0,0.0,0.0,0.0,,1:32.5,2.1,,2-2-3-3,,42.5,503(-3),,,ラッキーガーデン,
1,2011/04/06,園田,晴,10,スプリングシーナリー,201150040610,,12,5,6,3.1,2,2,松浦政宏,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:31.5,0.5,,4-4-5-5,,39.1,506(+2),,,フィオーレハーバー,14.0
2,2011/03/16,園田,曇,11,サンテレビ盃,201150031611,,12,6,8,14.7,6,4,松浦政宏,56,1.0,0.0,1400,1.0,0.0,0.0,0.0,,1:31.8,0.5,,2-2-2-2,,40.1,504(+5),,,フィオーレハーバー,4.8
3,2010/05/04,園田,晴,9,A1 4歳以上,201050050409,,12,5,6,1.8,1,9,木村健,56,1.0,0.0,1230,0.0,1.0,0.0,0.0,,1:19.1,1.1,,12-11-10-9,,37.5,499(+7),,,ピースプロテクター,
4,2010/03/13,1阪神5,晴,11,ポラリスS(OP),201009010511,,16,8,16,52.0,12,13,藤田伸二,54,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:24.9,2.0,**,14-13,34.2-36.8,37.4,492(-2),,,ケイアイガーベラ,
5,2010/02/07,2京都4,晴,11,シルクロードS(G3),201008020411,,16,6,11,29.8,10,16,藤岡佑介,55,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.4,1.3,**,10-11,34.4-33.7,34.2,494(-4),,,アルティマトゥーレ,
6,2010/01/11,1京都4,晴,11,淀短距離S(OP),201008010411,,16,4,8,19.8,4,7,武幸四郎,57,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.3,0.7,**,13-9,33.6-34.0,33.3,498(+18),,,エイシンタイガー,
7,2009/11/15,5東京4,晴,11,オーロC(OP),200905050411,,18,1,2,11.9,5,11,幸英明,56,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.9,1.1,**,6-5,34.4-35.0,35.6,480(-8),,,アイアムカミノマゴ,
8,2009/10/31,4京都7,晴,11,毎日放送賞スワンS(G2),200908040711,,18,8,18,31.3,12,17,武幸四郎,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.3,1.0,**,18-18,34.7-34.2,33.5,488(+8),,,キンシャサノキセキ,
9,2009/08/30,2札幌10,曇,9,キーンランドC(G3),200901021009,,16,6,12,36.8,13,2,武幸四郎,56,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.8,0.4,**,11-10,33.8-34.6,33.9,480(+4),,,ビービーガルダン,"1,617.0"
10,2009/08/02,2札幌2,曇,9,UHB杯(OP),200901020209,,16,6,11,22.9,9,5,藤岡佑介,56,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.8,0.1,**,7-7,33.9-34.8,34.4,476(-12),,,ピサノパテック,230.0
11,2009/06/28,2福島4,晴,11,バーデンバーデンC(OP),200903020411,,16,3,5,9.8,5,6,内田博幸,56,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.0,0.3,**,2-1,33.3-35.4,35.7,488(0),,,シャウトライン,
12,2008/10/04,4阪神7,晴,10,シリウスS(G3),200809040710,,16,8,16,28.9,7,15,岩田康誠,56,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:06.0,2.2,**,11-11-16-15,34.1-37.4,38.2,488(-4),,,マイネルアワグラス,
13,2008/06/08,3東京6,晴,11,安田記念(G1),200805030611,,18,6,12,146.9,18,12,鮫島良太,58,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,1.4,**,13-14,34.6-34.8,34.6,492(+6),,,ウオッカ,
14,2008/05/17,2東京7,曇,11,京王杯スプリングC(G2),200805020711,,17,2,3,8.9,3,10,藤田伸二,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.7,0.9,**,7-7,34.7-34.6,33.9,486(-2),,,スーパーホーネット,
15,2008/04/06,3中山4,晴,11,ダービー卿チャレンジ(G3),200806030411,,16,3,5,18.6,9,2,蛯名正義,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.2,0.0,**,2-4-3,36.0-34.6,34.2,488(+4),,,サイレントプライド,"1,617.8"
16,2008/03/08,2中山3,晴,11,夕刊フジオーシャンS(G3),200806020311,,16,8,16,7.8,2,8,藤田伸二,56,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.1,0.2,**,9-7,34.1-34.8,34.5,484(-8),,,プレミアムボックス,
