,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,良,重,稍,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/12/23,5阪神7,晴,11,六甲アイランドS(1600万下),201609050711,,18,3,5,15.1,7,17,シュタル,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:24.3,1.9,**,11-15,34.1-36.6,37.5,498(0),,,スナッチマインド,
1,2016/11/13,5東京4,曇,10,奥多摩S(1600万下),201605050410,,14,7,11,19.5,7,5,石川裕紀,56,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.3,0.4,**,7-8,35.7-34.1,33.8,498(+6),,,グランシルク,182.0
2,2016/07/30,1札幌1,曇,11,TVh賞(1600万下),201601010111,,10,4,4,2.9,1,8,ルメール,54,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:48.4,0.8,**,2-2-2-2,35.8-34.6,35.3,492(0),,,サンソヴール,
3,2016/05/28,3京都11,曇,10,白百合S(OP),201608031110,,9,1,1,13.3,6,5,浜中俊,57,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:48.2,0.4,**,4-4,36.7-33.9,33.9,492(+4),,,ブラックスピネル,190.0
4,2016/05/08,2東京6,晴,11,NHKマイルC(G1),201605020611,,18,5,9,53.8,13,10,ベリー,57,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.3,0.5,**,9-9,34.3-35.1,34.8,488(-6),,,メジャーエンブレム,
5,2015/12/20,5阪神6,晴,11,朝日フューチュリティ(G1),201509050611,,16,7,13,91.6,11,3,中谷雄太,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.2,0.8,**,10-6,34.7-34.4,34.7,494(0),,,リオンディーズ,"1,816.6"
6,2015/11/07,5東京1,曇,11,京王杯2歳S(G2),201505050111,,18,2,4,4.3,1,3,Ｃ．デム,55,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.8,0.2,**,3-4,36.5-33.5,33.4,494(0),,,ボールライトニング,909.1
7,2015/09/26,4阪神6,晴,9,ききょうS(OP),201509040609,,9,8,9,3.2,2,1,ルメール,54,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.9,0.0,**,5-4,35.1-35.3,34.8,494(+6),,,(エスティタート),"1,621.7"
8,2015/07/04,1函館5,晴,1,2歳未勝利,201502010501,,14,3,3,1.4,1,1,三浦皇成,54,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:10.6,-0.4,**,2-2,34.6-36.0,35.9,488(+2),,,(ドエライナー),500.0
9,2015/06/21,1函館2,晴,5,2歳新馬,201502010205,,12,7,9,4.6,3,2,三浦皇成,54,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:10.1,0.1,**,6-4,34.5-35.5,35.1,486(0),,,オデュッセウス,280.0
