,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2007/12/29,大井,曇,10,東京大賞典競走(G1),200744122910,,15,4.0,7,18.0,6.0,6,横山典弘,57.0,1.0,0.0,2000,1.0,0.0,0.0,0.0,**,2:05.1,1.9,**,1-1-1-2,35.6-36.6,38.5,477(-4),,,ヴァーミリアン,
1,2007/11/21,浦和,晴,10,彩の国浦和記念(G2),200742112110,,11,5.0,5,2.0,1.0,1,武豊,57.0,1.0,0.0,2000,0.0,0.0,1.0,0.0,**,2:09.7,0.0,**,1-1-3-3,38.9-37.5,37.5,481(-5),,,(ルースリンド),"3,500.0"
2,2007/10/31,大井,曇,11,JBCクラシック競走(G1),200744103111,,16,3.0,5,11.5,5.0,6,横山典弘,57.0,1.0,0.0,2000,0.0,0.0,1.0,0.0,**,2:06.2,1.4,**,6-6-9-8,36.6-37.6,38.6,486(-9),,,ヴァーミリアン,
3,2007/06/27,大井,晴,11,帝王賞競走(G1),200744062711,,15,7.0,12,4.6,2.0,5,武豊,57.0,1.0,0.0,2000,0.0,0.0,1.0,0.0,**,2:05.1,0.8,**,4-4-4-4,35.9-37.9,38.3,495(+9),,,ボンネビルレコード,350.0
4,2007/02/18,1東京8,晴,11,フェブラリーS(G1),200705010811,,16,2.0,4,3.9,1.0,9,武豊,57.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.6,0.8,**,10-11,34.6-35.9,35.7,486(+8),,,サンライズバッカス,
5,2006/12/29,大井,晴,10,東京大賞典競走(G1),200644122910,,13,7.0,11,2.7,2.0,3,横山典弘,57.0,1.0,0.0,2000,0.0,1.0,0.0,0.0,,2:04.3,0.8,,2-2-1-1,34.8-37.7,38.5,478(-8),,,ブルーコンコルド,"1,600.0"
6,2006/11/25,5東京7,晴,11,ジャパンカップダート(G1),200605050711,,15,4.0,7,2.3,1.0,2,武豊,57.0,1.0,0.0,2100,0.0,0.0,1.0,0.0,**,2:08.7,0.2,**,4-5-6-4,30.2-36.5,36.3,486(+4),,,アロンダイト,"5,294.8"
7,2006/11/03,川崎,晴,10,JBCクラシック(G1),200645110310,,14,1.0,1,1.6,1.0,2,武豊,57.0,1.0,0.0,2100,0.0,0.0,1.0,0.0,,2:16.3,0.2,,6-4-6-4,29.8-39.3,39.2,482(-6),,,タイムパラドックス,"3,500.0"
8,2006/10/09,盛岡,晴,10,マイルチャンピオンシ(G1),200635100910,,14,5.0,7,1.3,1.0,4,武豊,57.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:36.8,0.2,,3-5,,,488(+4),,,ブルーコンコルド,780.0
9,2006/09/20,船橋,晴,10,日本テレビ盃(G2),200643092010,,8,6.0,6,1.4,1.0,1,武豊,56.0,1.0,0.0,1800,0.0,0.0,1.0,0.0,,1:51.6,-0.1,,3-3-2-1,34.7-37.9,37.7,484(-6),,,(スターキングマン),"4,000.0"
10,2006/02/19,1東京8,曇,11,フェブラリーS(G1),200605010811,,16,5.0,9,5.2,2.0,2,ペリエ,57.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.4,0.5,**,4-3,33.9-37.5,36.7,490(+8),,,カネヒキリ,"3,898.4"
11,2006/01/25,川崎,晴,10,川崎記念(G1),200645012510,,10,7.0,9,,1.0,2,Ｏ．ペリ,57.0,1.0,0.0,2100,0.0,1.0,0.0,0.0,,2:12.9,0.1,,3-2-2-2,30.2-40.4,39.9,482(+4),,,アジュディミツオー,"2,100.0"
12,2005/12/29,大井,晴,10,東京大賞典(G1),200544122910,,15,4.0,6,,2.0,2,横山典弘,57.0,1.0,0.0,2000,0.0,0.0,1.0,0.0,,2:03.4,0.3,,4-4-5-5,35.9-37.5,36.9,478(-6),,,アジュディミツオー,"2,800.0"
13,2005/11/26,5東京7,晴,11,ジャパンカップダート(G1),200505050711,,16,4.0,7,52.1,11.0,2,横山典弘,57.0,1.0,0.0,2100,0.0,0.0,1.0,0.0,,2:08.0,0.0,,2-3-3-2,29.8-36.8,36.6,484(-11),,,カネヒキリ,"5,302.0"
14,2005/11/03,名古屋,曇,11,JBCクラシック(G1),200548110311,,12,3.0,3,,4.0,6,横山典弘,57.0,1.0,0.0,1900,0.0,0.0,1.0,0.0,,2:01.7,0.8,,4-4-6,,38.2,495(-3),,,タイムパラドックス,
15,2005/10/10,盛岡,曇,10,マイルチャンピオンシ(G1),200535101010,,14,6.0,9,,5.0,2,横山典弘,57.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:36.9,0.2,,2-2,,,498(+9),,,ユートピア,"1,800.0"
16,2005/05/15,シンガポ,晴,9,エアラインズ・C(G1),2005M0051509,,15,,6,,,7,ボス,57.0,0.0,1.0,2000,0.0,1.0,0.0,0.0,,,0.0,,,,,489,,,MUMMIFY,
17,2005/03/21,高知,晴,10,黒船賞(G3),200554032110,,12,7.0,9,,1.0,9,横山典弘,58.0,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:31.0,2.6,,9-9-7-7,,40.4,482(+4),,,マイネルセレクト,
18,2005/02/20,1東京8,小雨,11,フェブラリーS(G1),200505010811,,15,4.0,7,12.0,5.0,2,ペリエ,57.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,,1:34.9,0.2,,3-4,34.2-36.9,36.0,478(+2),,,メイショウボーラー,"3,898.4"
19,2005/01/26,川崎,曇,10,川崎記念(G1),200545012610,,12,8.0,12,,3.0,2,横山典弘,56.0,1.0,0.0,2100,0.0,0.0,0.0,1.0,,2:14.2,0.0,,1-2-1-1,29.9-39.1,39.1,476(-10),,,タイムパラドックス,"2,100.0"
20,2004/12/28,園田,晴,9,兵庫ゴールドトロフィ(G3),200450122809,,12,3.0,3,,1.0,1,武豊,57.0,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:27.3,0.0,,3-4-3,,,486(+6),,,(ノボジャック),"3,000.0"
21,2004/12/07,宇都宮,曇,10,第4回とちぎマロニエ(G3),200440120710,,12,6.0,8,,1.0,3,武豊,56.0,1.0,0.0,1400,0.0,0.0,0.0,1.0,,1:27.1,0.1,,4-3,,,480(0),,,ノボトゥルー,450.0
