,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/09/17,4阪神3,曇,10,瀬戸内海特別(1000万下),201609040310,,18,1,1,44.0,14,13,小牧太,55,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.9,1.0,**,7-7,32.8-36.7,37.2,452(+8),,,オーヴィレール,
1,2016/08/06,2小倉3,晴,11,九州スポーツ杯(1000万下),201610020311,,18,4,7,27.0,10,12,武豊,55,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.6,0.9,**,10-10,32.2-35.5,35.3,444(-6),,,ロイヤルストリート,
2,2016/04/02,2阪神3,晴,11,コーラルS(OP),201609020311,,14,5,8,182.0,12,14,荻野極,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:24.6,1.9,**,3-6,34.3-36.2,37.7,450(0),,,ノボバカラ,
3,2016/02/20,2京都7,雨,11,京都牝馬S(G3),201608020711,,18,6,12,152.6,15,17,藤岡佑介,54,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:24.8,1.9,**,2-2,35.2-36.0,37.8,450(+6),,,クイーンズリング,
4,2015/12/19,5阪神5,晴,11,リゲルS(OP),201509050511,,16,2,4,233.0,14,15,水口優也,53,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:35.9,1.8,**,2-2,36.3-33.9,35.6,444(+4),,,ダッシングブレイズ,
5,2015/08/30,2札幌4,晴,11,キーンランドC(G3),201501020411,,16,2,3,178.5,16,14,水口優也,51,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.7,1.1,**,1-1,34.0-34.6,35.7,440(-4),,,ウキヨノカゼ,
6,2015/08/09,1札幌4,晴,11,UHB賞(OP),201501010411,,12,7,10,22.7,10,11,水口優也,50,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.3,0.8,**,8-9,33.4-34.1,34.3,444(+4),,,エポワス,
7,2015/06/21,1函館2,晴,11,函館スプリントS(G3),201502010211,,16,8,15,90.2,15,7,水口優也,50,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.9,0.6,**,11-12,33.0-35.3,35.1,440(0),,,ティーハーフ,
8,2015/05/10,2東京6,晴,11,NHKマイルC(G1),201505020611,,18,2,3,156.2,18,14,吉田豊,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.8,1.3,**,16-17,35.3-34.2,34.6,440(+6),,,クラリティスカイ,
9,2015/04/12,2阪神6,晴,11,桜花賞(G1),201509020611,,18,8,18,291.5,17,18,小牧太,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:37.5,1.5,**,18-17,37.1-33.5,33.7,434(-2),,,レッツゴードンキ,
10,2015/03/15,1阪神6,曇,11,フィリーズレビュー(G2),201509010611,,18,2,4,34.2,11,13,藤田伸二,54,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:23.7,1.2,**,2-2,34.7-35.8,36.8,436(-2),,,クイーンズリング,
11,2014/12/14,5阪神4,晴,11,阪神ジュベナイルF(G1),201409050411,,18,5,10,37.2,9,14,小牧太,54,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:36.3,1.9,**,7-15,35.0-35.2,35.8,438(+4),,,ショウナンアデラ,
12,2014/11/08,5京都1,晴,11,KBSファンタジーS(G3),201408050111,,14,4,6,92.3,14,1,小牧太,54,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.7,-0.1,**,3-3,35.3-34.4,33.9,434(+8),,,(ダノングラシアス),"2,849.7"
13,2014/09/07,2小倉12,晴,11,小倉2歳S(G3),201410021211,,17,8,18,18.5,7,13,小牧太,54,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.5,1.1,**,3-5,33.0-35.4,36.2,426(+6),,,オーミアリス,
14,2014/08/16,2小倉5,曇,9,フェニックス賞(OP),201410020509,,10,4,4,4.3,2,2,小牧太,54,0.0,1.0,1200,1.0,0.0,0.0,0.0,**,1:09.1,0.1,**,1-1,33.8-35.2,35.3,420(-2),,,レオパルディナ,606.6
15,2014/07/19,2函館5,曇,11,函館2歳S(G3),201402020511,,16,5,9,14.3,5,8,小牧太,54,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:10.7,0.5,**,3-3,34.1-36.1,36.4,422(+4),,,アクティブミノル,
16,2014/06/28,3阪神7,曇,5,2歳新馬,201409030705,,14,7,12,11.3,4,1,小牧太,54,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:10.7,-0.6,**,2-2,35.4-35.3,35.2,418(0),,,(ニシノクラレット),700.0
