,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/03/11,1阪神5,晴,10,うずしおS(1600万下),201709010510,,11,7,9,21.3,7,11,柴田大知,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.9,1.1,**,8-4,36.7-33.2,33.9,408(-8),,,ジュールポレール,
1,2017/01/29,1東京2,曇,10,節分S(1600万下),201705010210,,13,3,3,28.3,9,3,柴田大知,52,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.3,**,2-2,36.1-34.1,33.8,416(-6),,,グレーターロンドン,463.9
2,2016/12/04,5中山2,晴,10,市川S(1600万下),201606050210,,9,7,7,5.1,2,5,柴田大知,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.7,0.7,**,6-2-2,35.9-34.8,35.3,422(-2),,,ミッキージョイ,182.0
3,2016/11/19,5東京5,小雨,10,ユートピアS(1600万下),201605050510,,18,8,18,21.4,6,6,柴田大知,54,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.0,0.3,**,14-12,35.8-34.7,34.0,424(+6),,,エテルナミノル,
4,2016/10/30,4東京9,曇,10,紅葉S(1600万下),201605040910,,11,6,6,50.5,9,4,柴田大知,52,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.5,0.3,**,6-7,35.7-35.0,33.9,418(-2),,,アストラエンブレム,270.0
5,2016/10/01,4中山7,曇,11,秋風S(1600万下),201606040711,,16,8,16,42.1,10,10,柴田大知,53,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.4,0.8,**,13-14-15,35.7-34.9,34.3,420(+8),,,マルターズアポジー,
6,2016/09/03,2新潟11,晴,11,長岡S(1600万下),201604021111,,9,8,8,17.8,5,3,津村明秀,53,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.2,**,6-6,36.5-33.5,32.9,412(+8),,,クラウンロゼ,462.9
7,2016/05/08,2東京6,晴,11,NHKマイルC(G1),201605020611,,18,6,11,259.2,18,15,柴田大知,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.8,**,18-18,34.3-35.1,34.0,404(+4),,,メジャーエンブレム,
8,2016/03/21,2中山8,晴,11,フラワーC(G3),201606020811,,16,6,12,21.3,9,15,柴田大知,54,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:50.5,1.2,**,12-13-13-12,36.8-35.6,35.7,400(-2),,,エンジェルフェイス,
9,2016/02/13,1東京5,晴,11,デイリー杯クイーンC(G3),201605010511,,16,4,8,20.8,5,10,柴田大知,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,1.6,**,5-5,34.4-34.7,35.9,402(-6),,,メジャーエンブレム,
10,2015/12/13,5阪神4,晴,11,阪神ジュベナイルF(G1),201509050411,,18,3,5,68.5,15,6,柴田大知,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.2,0.7,**,18-17,34.8-35.8,35.1,408(-2),,,メジャーエンブレム,
11,2015/08/30,2新潟10,曇,11,新潟2歳S(G3),201504021011,,18,7,14,9.7,5,4,柴田大知,54,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.8,1.0,**,7-8,35.4-33.9,34.3,410(+10),,,ロードクエスト,450.0
12,2015/08/08,2新潟3,晴,9,ダリア賞(OP),201504020309,,14,5,8,5.2,2,1,柴田大知,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:23.0,0.0,**,8-9,34.5-36.1,35.2,400(0),,,(クナウ),"1,630.1"
13,2015/06/06,3東京1,晴,5,2歳新馬,201505030105,,17,1,2,21.5,6,1,丹内祐次,54,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.9,0.0,**,13-13,35.9-35.6,34.4,400(0),,,(ダイワダッチェス),700.0
