,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/23,3京都2,晴,11,読売マイラーズC(G2),201708030211,,11,6,6,18.8,7,3,松岡正海,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:32.4,0.2,**,2-2,35.3-33.4,33.6,514(-4),,,イスラボニータ,"1,511.4"
1,2017/02/05,1東京4,小雨,11,東京新聞杯(G3),201705010411,,10,8,10,4.8,2,6,戸崎圭太,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.3,0.4,**,3-3,37.2-32.7,32.8,518(+6),,,ブラックスピネル,
2,2016/11/20,5京都6,曇,11,マイルチャンピオンS(G1),201608050611,,18,3,5,7.4,4,16,バルザロ,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.6,1.5,**,8-11,34.4-35.6,36.0,512(-12),,,ミッキーアイル,
3,2016/10/22,4東京6,曇,11,富士S(G3),201605040611,,11,3,3,5.6,3,1,戸崎圭太,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,-0.1,**,3-3,36.3-34.2,33.8,524(-2),,,(イスラボニータ),"4,139.9"
4,2016/08/14,2新潟6,晴,11,関屋記念(G3),201604020611,,18,8,17,6.1,3,1,戸崎圭太,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:31.8,0.0,**,6-6,34.4-34.7,33.7,526(+12),,,(ダノンリバティ),"3,965.1"
5,2016/06/12,3東京4,曇,10,多摩川S(1600万下),201605030410,,15,5,8,4.3,2,1,戸崎圭太,58,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:32.8,0.0,**,4-4,34.7-34.7,34.3,514(-2),,,(ベルキャニオン),"1,855.0"
6,2016/05/01,1新潟2,曇,11,谷川岳S(OP),201604010211,,15,2,2,5.3,3,2,井上敏樹,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.5,0.0,**,2-3,35.8-34.3,34.1,516(+4),,,ピークトラム,929.2
7,2016/04/10,1福島2,曇,11,福島民報杯(OP),201603010211,,16,1,1,12.4,6,2,丸山元気,56,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,1:59.4,0.5,**,3-3-4-4,35.2-36.1,36.1,512(-8),,,シャイニープリンス,970.2
8,2016/03/13,2中山6,曇,10,東風S(OP),201606020610,,13,5,7,5.3,2,8,松岡正海,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.8,0.3,**,5-4-4,35.7-35.3,35.3,520(+10),,,インパルスヒーロー,
9,2015/11/28,5東京8,晴,11,キャピタルS(OP),201505050811,,18,4,8,23.1,10,9,松岡正海,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.7,0.5,**,3-3,35.3-34.3,34.5,510(-2),,,サンライズメジャー,
10,2015/10/24,4東京6,晴,11,富士S(G3),201505040611,,16,3,5,20.3,8,12,松岡正海,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.5,0.8,**,10-11,35.1-33.7,33.8,512(-6),,,ダノンプラチナ,
11,2015/09/13,4中山2,曇,11,京成杯オータムH(G3),201506040211,,16,7,13,12.9,7,3,松岡正海,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.3,0.0,**,6-9-9,35.4-34.6,34.1,518(-22),,,フラアンジェリコ,958.1
12,2015/08/16,2新潟6,晴,11,関屋記念(G3),201504020611,,12,7,10,23.6,9,3,松岡正海,53,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:32.8,0.2,**,3-3,36.4-33.3,33.0,540(+18),,,レッドアリオン,956.4
13,2015/05/10,2東京6,晴,11,NHKマイルC(G1),201505020611,,18,7,14,30.3,10,6,松岡正海,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.4,**,12-9,35.3-34.2,34.0,522(+4),,,クラリティスカイ,
14,2015/04/11,3中山5,曇,11,ニュージーランドT(G2),201506030511,,16,8,16,8.2,4,8,丸山元気,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.3,0.5,**,7-5-4,35.0-35.8,35.6,518(-4),,,ヤマカツエース,
15,2015/02/28,1阪神1,晴,11,アーリントンC(G3),201509010111,,12,6,8,34.8,9,1,松岡正海,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.9,0.0,**,5-5,35.6-35.1,34.7,522(+2),,,(アルマワイオリ),"3,744.1"
16,2015/01/04,1中山1,晴,10,ジュニアC(OP),201506010110,,9,8,8,5.8,4,3,松岡正海,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.9,0.0,**,7-7-7,35.5-34.6,34.0,520(-4),,,ナイトフォックス,483.3
17,2014/12/13,4中山3,晴,6,2歳新馬,201406040306,,16,5,10,11.9,6,1,松岡正海,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:37.9,-0.3,**,11-9-9,37.7-34.8,34.1,524(0),,,(ウォークロニクル),700.0
