
b'2017/04/16',b'3\xe4\xb8\xad\xe5\xb1\xb18',b'\xe6\x99\xb4',b'11',b'\xe7\x9a\x90\xe6\x9c\x88\xe8\xb3\x9e(G1)',b'',b'18',b'1',b'1',b'79.0',b'14',b'16',b'\xe6\xa8\xaa\xe5\xb1\xb1\xe5\x85\xb8\xe5\xbc\x98',b'57',b'\xe8\x8a\x9d2000',b'\xe8\x89\xaf',b'**',b'1:59.6',b'1.8',b'**',b'6-7-8-12',b'35.1-34.5',b'35.8',b'452(+2)',b'',b'',b'\xe3\x82\xa2\xe3\x83\xab\xe3\x82\xa2\xe3\x82\xa4\xe3\x83\xb3',b''
b'2017/03/05',b'2\xe4\xb8\xad\xe5\xb1\xb14',b'\xe6\x99\xb4',b'11',b'\xe5\xa0\xb1\xe7\x9f\xa5\xe6\x9d\xaf\xe5\xbc\xa5\xe7\x94\x9f\xe8\xb3\x9e(G2)',b'',b'12',b'7',b'10',b'26.4',b'8',b'2',b'\xe6\xa8\xaa\xe5\xb1\xb1\xe5\x85\xb8\xe5\xbc\x98',b'56',b'\xe8\x8a\x9d2000',b'\xe8\x89\xaf',b'**',b'2:03.3',b'0.1',b'**',b'1-1-1-1',b'36.6-35.0',b'35.1',b'450(-4)',b'',b'',b'\xe3\x82\xab\xe3\x83\x87\xe3\x83\x8a',"b'2,225.2'"
b'2017/02/12',b'2\xe4\xba\xac\xe9\x83\xbd6',b'\xe6\x99\xb4',b'9',b'\xe3\x81\x93\xe3\x81\xb6\xe3\x81\x97\xe8\xb3\x9e(500\xe4\xb8\x87\xe4\xb8\x8b)',b'',b'8',b'8',b'8',b'3.4',b'2',b'1',b'\xe6\xb5\x9c\xe4\xb8\xad\xe4\xbf\x8a',b'56',b'\xe8\x8a\x9d1600',b'\xe7\xa8\x8d',b'**',b'1:36.2',b'-0.1',b'**',b'3-3',b'36.4-35.3',b'35.1',b'454(-4)',b'',b'',b'(\xe3\x83\x80\xe3\x82\xa4\xe3\x83\xa1\xe3\x82\xa4\xe3\x83\x95\xe3\x82\xb8)',"b'1,020.3'"
b'2017/01/08',b'1\xe4\xba\xac\xe9\x83\xbd3',b'\xe9\x9b\xa8',b'11',b'\xe6\x97\xa5\xe5\x88\x8a\xe3\x82\xb9\xe3\x83\x9d\xe3\x82\xb7\xe3\x83\xb3\xe3\x82\xb6\xe3\x83\xb3\xe8\xa8\x98\xe5\xbf\xb5(G3)',b'',b'15',b'6',b'10',b'11.8',b'5',b'5',b'\xe7\xa6\x8f\xe6\xb0\xb8\xe7\xa5\x90\xe4\xb8\x80',b'56',b'\xe8\x8a\x9d1600',b'\xe9\x87\x8d',b'**',b'1:38.0',b'0.4',b'**',b'5-5',b'34.5-38.1',b'37.8',b'458(0)',b'',b'',b'\xe3\x82\xad\xe3\x83\xa7\xe3\x82\xa6\xe3\x83\x98\xe3\x82\xa4',b'380.0'
b'2016/12/23',b'5\xe9\x98\xaa\xe7\xa5\x9e7',b'\xe6\x9b\x87',b'4',b'2\xe6\xad\xb3\xe6\x9c\xaa\xe5\x8b\x9d\xe5\x88\xa9',b'',b'13',b'2',b'2',b'6.3',b'4',b'1',b'\xe7\xa6\x8f\xe6\xb0\xb8\xe7\xa5\x90\xe4\xb8\x80',b'55',b'\xe8\x8a\x9d1800',b'\xe9\x87\x8d',b'**',b'1:49.0',b'-0.3',b'**',b'3-3',b'36.0-35.2',b'35.0',b'458(-4)',b'',b'',b'(\xe3\x83\x9e\xe3\x82\xb9\xe3\x82\xbf\xe3\x83\xbc\xe3\x82\xb3\xe3\x83\xbc\xe3\x83\x89)',b'500.0'
b'2016/11/26',b'5\xe4\xba\xac\xe9\x83\xbd7',b'\xe6\x99\xb4',b'5',b'2\xe6\xad\xb3\xe6\x96\xb0\xe9\xa6\xac',b'',b'16',b'7',b'13',b'7.0',b'4',b'3',b'\xe7\xa6\x8f\xe6\xb0\xb8\xe7\xa5\x90\xe4\xb8\x80',b'55',b'\xe8\x8a\x9d1600',b'\xe8\x89\xaf',b'**',b'1:36.8',b'0.5',b'**',b'8-3',b'36.3-33.8',b'33.9',b'462(0)',b'',b'',b'\xe3\x83\x9f\xe3\x83\xaa\xe3\x83\x83\xe3\x82\xb5',b'180.0'
