,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2010/08/14,2小倉1,曇,3,障害3歳上未勝利,201010020103,,12,6,8,20.8,7,中,西谷誠,60,0.0,0.0,1.0,2900,0.0,0.0,1.0,0.0,,,,,1-3,110.0-38.2,,532(-10),,,スターフォワード,
1,2010/07/31,1小倉5,晴,3,障害3歳上未勝利,201010010503,,9,6,6,5.5,3,8,北沢伸也,60,0.0,0.0,1.0,2900,0.0,0.0,1.0,0.0,,3:21.3,10.5,,1-1-4-5,107.0-38.5,13.9,542(+8),,,エルジャンクション,
2,2010/07/04,3阪神6,晴,10,米子S(OP),201009030610,,18,4,7,90.7,16,18,石橋守,54,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:37.9,4.1,**,1-1,33.8-37.2,41.3,534(+4),,,タマモナイスプレイ,
3,2010/06/05,4京都5,晴,10,天王山S(OP),201008040510,,16,3,6,202.9,15,12,太宰啓介,54,1.0,0.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:12.2,1.8,**,7-8,34.5-35.9,37.1,530(+2),,,サマーウインド,
4,2009/09/21,4阪神4,晴,10,エニフS(OP),200909040410,,16,7,14,70.9,12,9,太宰啓介,55,1.0,0.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:25.3,1.4,**,3-2,34.4-37.4,38.6,528(+2),,,グロリアスノア,
5,2009/02/28,2中山1,曇,11,千葉S(OP),200906020111,,16,3,5,81.7,13,10,吉田豊,57,1.0,0.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:09.9,1.2,**,8-7,33.0-35.7,36.3,526(-6),,,ガブリン,
6,2009/02/01,1東京2,晴,11,根岸S(G3),200905010211,,16,8,16,93.3,16,16,中舘英二,56,1.0,0.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:26.5,4.4,**,1-1,34.1-35.9,40.3,532(+2),,,フェラーリピサ,
7,2009/01/11,1中京2,晴,11,名鉄杯(OP),200907010211,,16,7,13,17.4,7,13,北村友一,55,1.0,0.0,0.0,1700,0.0,0.0,1.0,0.0,**,1:45.8,1.4,**,2-2-2-2,28.6-37.1,38.4,530(+2),,,ニシノナースコール,
8,2008/12/28,5阪神8,晴,11,ギャラクシーS(OP),200809050811,,16,5,9,22.5,8,5,武幸四郎,55,1.0,0.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:24.4,0.7,**,9-7,33.7-38.1,37.6,528(+8),,,オフィサー,240.0
9,2008/11/29,5京都7,曇,11,京阪杯(G3),200808050711,,18,7,13,74.7,13,17,長谷川浩,55,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.7,1.6,**,4-4,34.2-33.9,35.1,520(+8),,,ウエスタンダンサー,
10,2008/11/08,5京都1,曇,11,京洛S(OP),200808050111,,18,2,3,16.3,8,5,長谷川浩,55,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.1,0.3,**,2-2,33.6-34.2,34.3,512(0),,,スプリングソング,240.0
11,2008/10/11,4東京1,晴,11,ペルセウスS(OP),200805040111,,16,2,3,19.9,4,4,藤田伸二,54,1.0,0.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:23.3,0.6,**,1-1,34.8-36.1,36.7,512(+2),,,バンブーエール,360.0
12,2008/09/14,4中山2,晴,11,京成杯オータムH(G3),200806040211,,16,3,5,13.9,8,16,三浦皇成,54,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.5,3.4,**,2-2-4,32.8-36.2,39.4,510(+3),,,キストゥヘヴン,
13,2008/08/15,佐賀,曇,9,サマーチャンピオン(G3),200855081509,,12,6,8,3.5,2,2,藤田伸二,54,1.0,0.0,0.0,1400,1.0,0.0,0.0,0.0,,1:26.1,0.7,,3-3-3-2,,,507(+5),,,ヴァンクルタテヤマ,900.0
14,2008/05/11,2東京6,曇,11,NHKマイルC(G1),200805020611,,18,8,18,23.2,10,17,藤田伸二,57,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:37.1,2.9,**,2-2,34.6-35.0,37.8,502(+6),,,ディープスカイ,
15,2008/04/12,3中山5,晴,11,ニュージーランドT(G2),200806030511,,16,2,3,9.1,4,8,藤田伸二,56,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.4,0.4,**,1-1-1,34.5-37.3,37.7,496(-6),,,サトノプログレス,
16,2008/03/01,1阪神1,晴,11,アーリントンC(G3),200809010111,,12,8,12,19.7,5,1,藤田伸二,56,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.6,-0.3,**,1-1,35.2-36.2,36.2,502(-2),,,(エーシンフォワード),"4,050.4"
17,2008/02/03,2京都2,小雨,7,3歳500万下,200808020207,,14,4,6,6.0,3,1,藤田伸二,56,1.0,0.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:24.9,-0.4,**,1-1,35.4-37.3,37.3,504(+4),,,(オリジナルフェイト),700.0
18,2008/01/19,1京都5,晴,6,3歳500万下,200808010506,,15,3,4,9.6,3,4,長谷川浩,56,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:36.1,0.6,**,1-1,34.4-37.9,38.5,500(-6),,,ヴェルザンディ,110.0
19,2007/12/15,3中京5,曇,10,報知杯中京2歳S(OP),200707030510,,14,4,6,6.5,3,6,幸英明,55,0.0,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:48.3,0.6,**,3-2-2-2,35.5-35.8,35.8,506(0),,,ホッカイカンティ,
20,2007/11/17,5東京5,曇,11,東京スポーツ杯2歳S(G3),200705050511,,15,6,10,4.4,2,9,福永祐一,55,0.0,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:48.5,1.1,**,1-1-1,35.2-35.2,36.3,506(-4),,,フサイチアソート,
21,2007/10/27,4京都8,曇,9,萩S(OP),200708040809,,12,7,10,4.1,2,2,福永祐一,55,0.0,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:47.9,0.0,**,1-1,35.3-35.8,35.8,510(+8),,,フローテーション,648.4
22,2007/09/29,4阪神7,曇,5,2歳新馬,200709040705,,8,6,6,6.5,2,1,長谷川浩,54,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.8,-0.6,**,1-1,36.4-34.8,34.8,502(0),,,(エアパスカル),700.0
