,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2006/04/01,3中山3,晴,10,浅草特別(1000万下),200606030310,,10,8,10,5.3,3,5,柴田善臣,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.5,0.2,**,2-1-1,35.9-34.9,35.1,520(+2),,,イブキディリータ,148.0
1,2006/03/04,2中山3,晴,10,両国特別(1000万下),200606020310,,15,7,13,24.4,8,6,柴田善臣,57,0.0,1.0,1800,1.0,0.0,0.0,0.0,**,1:51.6,0.8,**,2-2-2-2,38.1-34.6,35.3,518(-4),,,エクスプロイト,
2,2006/02/11,1東京5,晴,12,4歳上1000万下,200605010512,,16,6,12,6.4,3,14,柴山雄一,57,1.0,0.0,1300,0.0,1.0,0.0,0.0,**,1:21.5,2.8,**,8-7,29.4-37.3,39.3,522(+14),,,リワードパットン,
3,2004/05/09,2東京6,雨,11,NHKマイルC(G1),200405020611,,18,4,7,18.0,7,10,柴田善臣,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,,1:34.2,1.7,,4-3,33.9-34.7,36.1,508(0),,,キングカメハメハ,
4,2004/04/18,3中山8,晴,11,皐月賞(G1),200406030811,,18,5,10,115.3,16,10,江田照男,57,0.0,1.0,2000,0.0,1.0,0.0,0.0,,1:59.9,1.3,,8-8-7-9,35.3-34.4,34.5,508(0),,,ダイワメジャー,
5,2004/03/21,2中山8,晴,11,フジTVスプリングS(G2),200406020811,,16,2,4,9.0,4,4,柴田善臣,56,0.0,1.0,1800,1.0,0.0,0.0,0.0,,1:48.6,0.3,,2-3-3-3,36.0-36.2,36.2,508(+2),,,ブラックタイド,810.0
6,2004/02/08,1東京4,晴,11,共同通信杯(G3),200405010411,,10,8,9,2.5,1,2,柴田善臣,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,,1:47.6,0.2,,2-3-3,36.1-34.2,34.1,506(0),,,マイネルデュプレ,"1,710.8"
7,2003/12/14,6中山4,晴,11,朝日杯FS(G1),200306060411,,16,1,2,34.3,10,3,柴田善臣,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,,1:33.8,0.1,,2-2-2,34.1-36.2,36.1,506(+4),,,コスモサンビーム,"1,516.6"
8,2003/11/15,4東京3,晴,11,京王杯2歳S(G2),200305040311,,10,3,3,10.9,5,2,柴田善臣,55,0.0,1.0,1400,0.0,1.0,0.0,0.0,,1:22.0,0.2,,3-2,35.1-34.7,34.7,502(0),,,コスモサンビーム,"1,511.0"
9,2003/11/01,3東京7,曇,4,2歳500万下,200305030704,,11,3,3,1.4,1,2,ペリエ,55,0.0,1.0,1400,0.0,1.0,0.0,0.0,,1:22.1,0.2,,1-1,35.1-34.6,34.8,502(+2),,,フサイチホクトセイ,280.0
10,2003/10/12,3東京2,曇,4,2歳新馬,200305030204,,10,4,4,1.5,1,1,武豊,55,0.0,1.0,1400,1.0,0.0,0.0,0.0,,1:24.2,-1.0,,1-1,36.6-35.0,35.0,500(0),,,(トラッドスキーム),700.0
