,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,良,稍,不,重,17,18,19,20,21,22,23,24,25,26,27,28
10,2015/10/25,4京都7,晴,10,桂川S(1600万下),201508040710,,15,7,12,2.6,1,1,福永祐一,57,0.0,1.0,1200,1.0,0.0,0.0,0.0,**,1:08.1,-0.1,**,2-2,34.5-33.6,33.5,472(+4),,,(ラインスピリット),"1,852.9"
11,2015/02/01,2京都2,晴,11,シルクロードS(G3),201508020211,,17,5,9,3.9,1,9,秋山真一,56,0.0,1.0,1200,1.0,0.0,0.0,0.0,**,1:08.7,0.8,**,8-9,33.9-34.0,34.3,468(+4),,,アンバルブライベン,
12,2015/01/12,1京都5,晴,11,淀短距離S(OP),201508010511,,16,7,14,3.1,1,1,福永祐一,55,0.0,1.0,1200,1.0,0.0,0.0,0.0,**,1:08.5,-0.2,**,2-2,34.9-33.6,33.4,464(+4),,,(アンバルブライベン),"2,237.8"
13,2014/11/09,5京都2,小雨,10,京洛S(OP),201408050210,,17,8,16,2.3,1,4,福永祐一,55,0.0,1.0,1200,1.0,0.0,0.0,0.0,**,1:07.8,0.4,**,8-7,33.4-34.0,33.2,460(+4),,,ワキノブレイブ,320.0
14,2014/10/12,4京都2,晴,11,夕刊フジ杯オパールS(OP),201408040211,,16,1,1,3.8,1,2,福永祐一,54,0.0,1.0,1200,1.0,0.0,0.0,0.0,**,1:06.9,0.2,**,6-5,32.6-34.1,33.5,456(+4),,,ヘニーハウンド,851.4
15,2014/08/31,2札幌4,晴,11,キーンランドC(G3),201401020411,,16,4,8,14.0,7,5,秋山真一,53,0.0,1.0,1200,1.0,0.0,0.0,0.0,**,1:09.1,0.1,**,10-9,34.1-34.9,34.3,452(+2),,,ローブティサージュ,400.0
16,2014/05/11,2東京6,晴,11,NHKマイルC(G1),201405020611,,18,8,16,13.5,5,13,福永祐一,57,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:34.0,0.8,**,10-14,34.6-34.8,34.4,450(-2),,,ミッキーアイル,
17,2014/03/29,2阪神1,晴,11,毎日杯(G3),201409020111,,14,2,2,6.2,3,2,秋山真一,56,0.0,1.0,1800,1.0,0.0,0.0,0.0,**,1:46.7,0.0,**,4-4,35.4-35.0,34.8,452(-4),,,マイネルフロスト,"1,514.8"
18,2014/03/01,1阪神1,小雨,11,アーリントンC(G3),201409010111,,10,8,9,3.8,2,7,Ｃ．デム,56,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:35.4,1.4,**,6-4,35.2-35.2,35.7,456(+2),,,ミッキーアイル,
19,2014/01/18,1京都6,晴,9,白梅賞(500万下),201408010609,,13,2,2,2.1,1,1,福永祐一,56,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:35.3,-0.4,**,1-1,36.8-33.8,33.8,454(+4),,,(ローハイド),"1,010.8"
20,2013/11/30,5阪神1,晴,10,千両賞(500万下),201309050110,,12,7,10,1.9,1,3,福永祐一,55,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:34.5,0.6,**,10-10,35.8-34.2,33.5,450(-4),,,ウインフルブルーム,243.8
21,2013/11/16,5京都5,晴,6,2歳新馬,201308050506,,16,6,12,1.5,1,1,福永祐一,55,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:37.4,-0.3,**,3-3,37.7-34.4,34.2,454(0),,,(マイネルセプター),700.0
