,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2014/03/23,2中山8,晴,4,障害4歳上OP,201406020804,,13,8,14,3.0,1,1,黒岩悠,60,0.0,0.0,1.0,3200,0.0,0.0,1.0,0.0,,3:36.2,-0.2,,1-1-1-1,107.0-39.9,13.5,478(-8),,,(サンライズロイヤル),"1,200.0"
1,2014/02/16,2京都6,晴,4,障害4歳上未勝利,201408020604,,14,8,13,34.1,9,1,黒岩悠,60,0.0,0.0,1.0,2910,0.0,0.0,0.0,1.0,,3:16.2,-1.7,,1-1-1-1,105.0-37.3,13.5,486(0),,,(トラバント),700.0
2,2013/12/22,5阪神8,曇,12,ギャラクシーS(OP),201309050812,,15,1,2,97.5,13,14,太宰啓介,55,1.0,0.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:24.5,1.7,**,1-1,35.3-35.5,37.2,486(+8),,,ウォータールルド,
3,2013/11/23,5東京7,晴,11,キャピタルS(OP),201305050711,,18,3,5,200.9,16,14,丸山元気,57,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.9,0.7,**,5-6,35.0-34.3,34.5,478(-8),,,サトノギャラント,
4,2013/11/02,5京都1,晴,11,京洛S(OP),201308050111,,15,1,1,79.1,12,10,太宰啓介,55,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:07.6,0.6,**,8-10,33.6-33.4,33.2,486(+2),,,ハノハノ,
5,2013/10/12,4京都3,晴,11,夕刊フジ杯オパールS(OP),201308040311,,12,6,7,96.1,12,11,太宰啓介,55,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.5,0.6,**,9-9,34.0-33.9,33.6,484(+10),,,エピセアローム,
6,2013/05/26,3京都12,晴,10,ディープインパクトC(OP),201308031210,,18,3,5,56.5,13,11,丸田恭介,56,0.0,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:21.5,1.2,**,5-7,35.1-33.9,34.5,474(-2),,,サクラアドニス,
7,2013/04/28,1福島8,晴,11,福島民友C(OP),201303010811,,16,1,1,40.3,13,10,村田一誠,55,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.9,0.7,**,7-8,32.5-35.7,35.2,476(+4),,,アウトクラトール,
8,2013/04/07,1福島2,雨,11,福島民報杯(OP),201303010211,,16,2,4,27.8,13,15,勝浦正樹,55,0.0,1.0,0.0,2000,1.0,0.0,0.0,0.0,**,2:04.9,2.6,**,2-2-2-5,34.8-37.5,39.9,472(+2),,,マイネルラクリマ,
9,2013/03/10,2中山6,曇,10,東風S(OP),201306020610,,16,4,7,24.4,12,15,太宰啓介,55,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.5,2.8,**,1-1-2,33.9-36.1,38.9,470(0),,,ムクドク,
