,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,良,稍,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/05/08,2東京6,晴,11,NHKマイルC(G1),201605020611,,18,2,4,2.3,1,1,ルメール,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:32.8,-0.1,**,1-1,34.3-35.1,35.1,496(-6),,,(ロードクエスト),"9,886.4"
1,2016/04/10,2阪神6,晴,11,桜花賞(G1),201609020611,,18,3,5,1.5,1,4,ルメール,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.8,0.4,**,7-7,34.8-34.3,34.2,502(+4),,,ジュエラー,"1,400.0"
2,2016/02/13,1東京5,晴,11,デイリー杯クイーンC(G3),201605010511,,16,3,6,1.3,1,1,ルメール,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:32.5,-0.8,**,1-1,34.4-34.7,34.7,498(+4),,,(フロンテアクイーン),"3,558.1"
3,2015/12/13,5阪神4,晴,11,阪神ジュベナイルF(G1),201509050411,,18,1,2,2.5,1,1,ルメール,54,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.5,-0.3,**,2-1,34.8-35.8,35.8,494(0),,,(ウインファビラス),"6,631.6"
4,2015/10/31,4東京8,曇,11,アルテミスS(G3),201505040811,,15,8,15,2.2,1,2,ルメール,54,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.1,0.0,**,1-1,34.9-34.2,34.2,494(-2),,,デンコウアンジュ,"1,115.0"
5,2015/09/12,4中山1,晴,9,アスター賞(500万下),201506040109,,9,2,2,1.2,1,1,ルメール,54,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:36.5,-0.4,**,6-2-2,37.7-34.6,34.5,496(+12),,,(マテラアリオン),"1,019.6"
6,2015/06/14,3東京4,曇,5,2歳新馬,201505030405,,14,7,12,2.6,1,1,ルメール,54,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:50.0,-0.2,**,3-2-1,37.8-33.8,33.8,484(0),,,(プランスシャルマン),700.0
