,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/16,3中山8,晴,12,春興S(1600万下),201706030812,,16,7,14,41.7,11,13,池添謙一,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.8,1.3,**,16-16-14,35.2-34.1,33.7,466(-2),,,ヒーズインラブ,
1,2017/04/02,3中山4,晴,11,船橋市80周年記念(1600万下),201706030411,,16,1,1,29.0,10,4,柴田大知,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.1,0.2,**,12-6,34.0-34.9,34.3,468(-6),,,アルティマブラッド,270.0
2,2017/02/25,2中山1,晴,10,アクアマリンS(1600万下),201706020110,,16,5,9,10.6,5,6,柴田大知,54,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.9,0.4,**,16-15,33.5-35.0,33.8,474(0),,,ファインニードル,
3,2017/01/08,1中山3,雨,10,サンライズS(1600万下),201706010310,,16,2,4,13.5,5,9,勝浦正樹,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.5,0.6,**,5-4,34.4-34.5,34.8,474(+2),,,ワンスインナムーン,
4,2016/12/18,5中山6,晴,10,南総S(1600万下),201606050610,,16,1,2,29.5,7,3,勝浦正樹,54,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.0,0.1,**,16-16,34.0-34.9,33.9,472(+10),,,トウカイセンス,464.9
5,2016/10/15,4東京4,晴,10,白秋S(1600万下),201605040410,,18,1,1,64.0,14,16,横山典弘,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.0,1.3,**,18-18,34.4-34.8,33.5,462(-4),,,ヴェルステルキング,
6,2016/09/24,4中山5,雨,11,セプテンバーS(1600万下),201606040511,,16,1,1,16.9,7,5,横山典弘,54,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:09.1,0.4,**,7-7,34.8-33.9,33.8,466(+6),,,メラグラーナ,182.0
7,2016/08/13,2新潟5,晴,11,新潟日報賞(1600万下),201604020511,,17,6,11,39.6,11,2,横山典弘,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.4,0.4,**,2-2,34.3-34.1,34.3,460(-4),,,ウインガニオン,740.8
8,2016/07/02,2福島1,曇,11,テレビユー福島賞(1600万下),201603020111,,14,5,8,10.5,4,10,柴田大知,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.8,0.6,**,14-13,34.3-33.9,33.2,464(-4),,,ジャストドゥイング,
9,2016/04/03,3中山4,曇,9,千葉日報杯(1000万下),201606030409,,12,7,9,23.6,6,1,柴田大知,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.4,0.0,**,12-9,35.2-34.2,33.5,468(0),,,(スーパーアース),"1,526.6"
