,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/10/09,4京都2,晴,11,夕刊フジ杯オパールS(OP),201608040211,,13,1,1,7.3,3,8,池添謙一,55,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:08.8,0.4,**,11-13,34.3-34.1,33.6,468(+6),,,ラインスピリット,
1,2016/05/29,3京都12,曇,10,安土城S(OP),201608031210,,18,3,5,27.6,8,14,武幸四郎,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.0,0.8,**,11-10,35.4-34.2,34.3,462(0),,,ミッキーラブソング,
2,2016/04/24,3京都2,曇,11,読売マイラーズC(G2),201608030211,,15,5,8,106.2,14,15,武幸四郎,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.5,1.9,**,2-2,34.1-34.7,36.5,462(-2),,,クルーガー,
3,2016/04/03,3中山4,曇,11,ダービー卿チャレンジ(G3),201606030411,,16,1,2,44.3,10,12,勝浦正樹,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.8,**,12-14-13,35.3-34.5,33.9,464(0),,,マジックタイム,
4,2016/02/07,1東京4,晴,11,東京新聞杯(G3),201605010411,,14,6,9,62.4,10,8,勝浦正樹,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.6,0.5,**,7-7,36.0-33.5,33.3,464(-4),,,スマートレイアー,
5,2015/12/26,5阪神7,晴,11,阪神C(G2),201509050711,,17,6,12,41.0,11,7,勝浦正樹,56,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:21.9,0.5,**,15-12,34.8-34.8,34.5,468(+6),,,ロサギガンティア,
6,2015/11/22,5京都6,曇,11,マイルチャンピオンS(G1),201508050611,,18,3,6,195.4,18,11,勝浦正樹,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.5,0.7,**,15-15,34.6-33.8,33.3,462(-2),,,モーリス,
7,2015/10/24,4東京6,晴,11,富士S(G3),201505040611,,16,5,10,50.9,14,16,勝浦正樹,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.8,1.1,**,5-5,35.1-33.7,34.5,464(-4),,,ダノンプラチナ,
8,2015/05/10,2東京6,晴,11,NHKマイルC(G1),201505020611,,18,5,10,10.7,6,9,勝浦正樹,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.2,0.7,**,12-9,35.3-34.2,34.3,468(+2),,,クラリティスカイ,
9,2015/04/11,3中山5,曇,11,ニュージーランドT(G2),201506030511,,16,6,12,4.1,2,3,勝浦正樹,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.9,0.1,**,13-11-10,35.0-35.8,34.7,466(0),,,ヤマカツエース,"1,316.6"
10,2015/02/28,1阪神1,晴,11,アーリントンC(G3),201509010111,,12,4,4,7.4,5,2,勝浦正樹,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.9,0.0,**,12-12,35.6-35.1,33.9,466(-4),,,ヤングマンパワー,"1,512.6"
11,2014/12/21,5阪神6,晴,11,朝日フューチュリティ(G1),201409050611,,18,3,6,64.7,14,2,勝浦正樹,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:36.0,0.1,**,14-12,34.9-36.1,35.5,470(+2),,,ダノンプラチナ,"2,836.4"
12,2014/11/15,5京都3,晴,11,デイリー杯2歳S(G2),201408050311,,9,3,3,5.6,3,4,勝浦正樹,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.6,0.5,**,3-3,36.0-34.0,34.3,468(+8),,,タガノエスプレッソ,540.0
13,2014/10/19,4京都5,晴,9,もみじS(OP),201408040509,,10,5,5,5.1,2,1,勝浦正樹,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.6,-0.2,**,8-7,35.2-34.4,33.8,460(-4),,,(ワキノヒビキ),"1,523.1"
14,2014/09/06,2札幌5,晴,11,札幌2歳S(G3),201401020511,,14,6,10,26.4,10,6,勝浦正樹,54,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:50.4,0.4,**,2-2-2-2,36.5-36.6,36.9,464(+2),,,ブライトエンブレム,
15,2014/08/23,2札幌1,晴,5,2歳新馬,201401020105,,12,1,1,1.8,1,1,勝浦正樹,54,1.0,0.0,1500,0.0,1.0,0.0,0.0,**,1:31.1,-0.6,**,1-1-1,31.1-34.8,34.8,462(0),,,(タマモホットポット),700.0
