,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/29,2東京3,晴,9,秩父特別(1000万下),201705020309,,11,2,2,1.7,1,2,ルメール,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.2,0.0,**,3-4,35.8-34.4,34.0,488(-8),,,マコトサダイジン,607.4
1,2017/01/29,1東京2,曇,12,4歳上1000万下,201705010212,,16,6,11,3.9,1,2,ルメール,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:48.3,0.0,**,5-9-8,37.2-34.2,33.5,496(+8),,,スモークフリー,420.0
2,2016/11/26,5京都7,曇,12,3歳上1000万下,201608050712,,14,6,10,4.2,2,3,ルメール,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:35.0,0.1,**,7-6,35.2-35.0,34.6,488(-6),,,ハクサンルドルフ,260.0
3,2016/10/30,4東京9,曇,12,三峰山特別(1000万下),201605040912,,16,6,12,11.6,6,6,ルメール,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:36.6,0.5,**,6-5,34.6-37.3,37.2,494(+14),,,クインズサターン,
4,2016/06/04,3東京1,曇,10,稲村ヶ崎特別(1000万下),201605030110,,9,4,4,2.3,1,4,ルメール,57,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:01.4,0.5,**,6-4-4,37.8-34.3,34.3,480(-12),,,ナスノセイカン,230.0
5,2015/12/19,5阪神5,晴,11,リゲルS(OP),201509050511,,16,6,12,8.9,4,13,Ｍ．デム,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:35.6,1.5,**,15-15,36.3-33.9,33.6,492(-2),,,ダッシングブレイズ,
6,2015/11/28,5東京8,晴,11,キャピタルS(OP),201505050811,,18,8,16,8.3,5,13,北村宏司,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.3,1.1,**,12-11,35.3-34.3,34.6,494(-8),,,サンライズメジャー,
7,2015/09/06,2新潟12,雨,11,新潟記念(G3),201504021211,,18,8,17,7.4,4,15,北村宏司,53,0.0,1.0,2000,1.0,0.0,0.0,0.0,**,1:59.4,1.2,**,8-8,35.5-35.1,34.8,502(+14),,,パッションダンス,
8,2015/05/10,2東京6,晴,11,NHKマイルC(G1),201505020611,,18,1,1,7.2,5,4,北村宏司,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.4,**,14-14,35.3-34.2,33.8,488(-4),,,クラリティスカイ,"1,400.0"
9,2015/02/15,1東京6,晴,11,共同通信杯(G3),201505010611,,12,3,3,4.1,2,5,北村宏司,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.6,0.5,**,9-9-11,35.2-34.5,33.9,492(-6),,,リアルスティール,370.0
10,2014/11/24,5東京7,晴,11,東京スポーツ杯2歳S(G3),201405050711,,13,2,2,2.4,1,2,北村宏司,55,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.9,0.0,**,5-5-5,35.4-34.9,34.3,498(+4),,,サトノクラウン,"1,313.4"
11,2014/08/31,2新潟10,晴,11,新潟2歳S(G3),201404021011,,18,4,7,3.2,1,2,北村宏司,54,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.4,0.0,**,14-14,35.2-34.3,33.0,494(+6),,,ミュゼスルタン,"1,218.0"
12,2014/06/15,3東京4,晴,5,2歳新馬,201405030405,,12,1,1,2.0,1,1,北村宏司,54,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:52.7,0.0,**,8-9-8,39.1-34.3,33.9,488(0),,,(ロジチャリス),700.0
