
2014/09/07,2札幌6,晴,11,丹頂S(OP),201401020611,,14,1,1,27.7,12,10,三浦皇成,54,芝2600,良,**,2:44.0,0.8,**,5-4-4-4,37.0-37.0,37.4,452(0),,,タマモベストプレイ,
2014/07/06,2函館2,晴,11,巴賞(OP),201402020211,,10,6,6,54.5,8,3,吉田隼人,57,芝1800,良,**,1:48.2,0.1,**,8-6-6-5,36.6-35.6,34.8,452(-4),,,アロマティコ,441.5
2014/05/24,2東京9,晴,11,メイS(OP),201405020911,,18,7,14,150.8,16,12,大野拓弥,54,芝1800,良,**,1:46.4,1.0,**,8-7-6,35.6-34.3,34.7,456(-2),,,スピルバーグ,
2014/04/13,2阪神6,曇,10,大阪ーハンブルクC(OP),201409020610,,18,2,4,176.7,14,13,松田大作,55,芝2400,良,**,2:25.4,1.2,**,4-3-3-4,36.7-35.1,35.8,458(-4),,,タニノエポレット,
2014/02/23,2京都8,晴,11,洛陽S(OP),201408020811,,16,6,11,34.6,9,7,村田一誠,56,芝1600,良,**,1:34.3,0.5,**,11-11,35.5-35.0,34.8,462(+10),,,ノーブルジュエリー,
2014/01/05,1中山1,晴,11,日刊スポ賞中山金杯(G3),201406010111,,16,1,2,42.6,10,13,蛯名正義,55,芝2000,良,**,2:00.9,0.8,**,5-5-6-8,35.1-36.6,35.7,452(-6),,,オーシャンブルー,
2013/12/14,5阪神5,晴,11,リゲルS(OP),201309050511,,17,8,16,293.2,15,6,秋山真一,56,芝1600,良,**,1:34.3,0.7,**,10-8,34.8-35.0,35.1,458(-2),,,トリップ,
2013/04/07,1福島2,雨,11,福島民報杯(OP),201303010211,,16,5,10,13.3,6,13,松山弘平,56,芝2000,不,**,2:04.4,2.1,**,5-6-7-9,34.8-37.5,39.0,460(+10),,,マイネルラクリマ,
2012/11/18,3福島6,晴,11,福島記念(G3),201203030611,,16,6,12,11.1,6,5,松山弘平,55,芝2000,稍,**,1:59.9,0.4,**,14-15-10-6,34.8-35.1,35.0,450(+4),,,ダイワファルコン,400.0
2012/10/14,4東京5,小雨,11,アイルランドT(OP),201205040511,,13,3,3,6.8,2,3,武士沢友,56,芝2000,良,**,1:59.0,0.3,**,2-3-3,36.1-34.7,34.7,446(-4),,,アカンサス,553.9
2012/08/19,2札幌2,晴,11,札幌記念(G2),201201020211,,14,7,11,23.6,8,7,池添謙一,57,芝2000,良,**,1:59.5,0.8,**,1-2-4-4,35.0-35.2,35.8,450(+4),,,フミノイマージン,
2012/07/15,2函館6,晴,11,函館記念(G3),201202020611,,16,2,4,15.1,7,3,池添謙一,55,芝2000,良,**,2:00.6,0.2,**,3-3-2-1,34.9-36.5,36.5,446(-6),,,トランスワープ,"1,008.0"
2012/07/01,2函館2,曇,11,巴賞(OP),201202020211,,12,1,1,5.8,3,6,池添謙一,56,芝1800,良,**,1:49.0,0.9,**,3-3-2-2,35.5-35.6,36.4,452(-4),,,トウカイパラダイス,
2012/05/12,3京都7,晴,11,都大路S(OP),201208030711,,16,2,4,5.8,3,7,池添謙一,56,芝1800,良,**,1:45.4,0.5,**,1-1,34.6-35.1,35.6,456(+8),,,ネオヴァンドーム,
2012/04/07,1福島1,晴,11,福島民報杯(OP),201203010111,,14,6,10,5.7,2,7,武士沢友,56,芝2000,良,**,1:58.6,0.4,**,5-5-3-2,34.3-35.2,35.2,448(-4),,,ヒットザターゲット,
2012/03/04,1阪神4,小雨,10,大阪城S(OP),201209010410,,9,4,4,9.3,4,1,池添謙一,55,芝1800,良,**,1:48.6,0.0,**,2-2,36.4-36.2,36.0,452(+2),,,(ショウナンマイティ),"2,224.5"
2012/01/28,1東京1,曇,11,白富士S(OP),201205010111,,14,1,1,20.5,5,4,武士沢友,55,芝2000,良,**,1:59.7,0.1,**,2-2-2,35.1-35.9,35.6,450(0),,,ヤングアットハート,330.0
2011/12/17,5中山5,晴,11,ディセンバーS(OP),201106050511,,16,4,7,63.9,10,3,武士沢友,55,芝1800,良,**,1:47.4,0.4,**,3-3-3-3,36.1-36.0,36.2,450(-4),,,ナカヤマナイト,585.1
2011/12/03,6阪神1,曇,11,鳴尾記念(G3),201109060111,,13,5,6,161.1,12,11,池添謙一,56,芝1800,良,**,1:46.6,1.0,**,1-1,35.1-34.7,35.7,454(+6),,,レッドデイヴィス,
2011/10/30,5京都8,小雨,11,カシオペアS(OP),201108050811,,18,4,8,29.9,7,14,幸英明,55,芝1800,良,**,1:47.2,1.0,**,9-11,35.0-35.7,35.0,448(-4),,,ダイワファルコン,
2011/07/10,1函館8,晴,11,巴賞(OP),201102010811,,9,3,3,4.8,2,4,池添謙一,55,芝1800,良,**,1:49.1,0.2,**,9-8-7-7,36.4-35.5,34.8,452(0),,,マイネルスターリー,350.0
2011/06/12,3東京8,曇,11,エプソムC(G3),201105030811,,18,8,17,84.4,14,5,池添謙一,56,芝1800,良,**,1:47.9,0.6,**,8-3-3,35.4-35.3,35.8,452(-2),,,ダークシャドウ,410.0
2011/05/08,3京都6,晴,11,都大路S(OP),201108030611,,15,6,11,13.1,6,9,川島信二,55,芝1800,良,**,1:46.1,1.3,**,10-8,34.7-34.7,35.0,454(-2),,,ネオヴァンドーム,
2011/03/19,1阪神7,晴,10,但馬S(1600万下),201109010710,,16,2,3,17.0,9,1,四位洋文,57,芝2000,良,**,2:02.2,0.0,**,1-1-1-1,37.6-34.2,34.2,456(+2),,,(スマートシルエット),"1,807.8"
2011/02/13,2京都6,晴,10,飛鳥S(1600万下),201108020610,,16,2,4,5.3,2,6,四位洋文,57,芝1800,良,**,1:47.7,0.3,**,6-6,35.0-36.1,35.8,454(0),,,レインボーペガサス,
2011/01/15,1京都5,曇,10,石清水S(1600万下),201108010510,,15,3,4,3.6,1,3,四位洋文,57,芝1600,良,**,1:35.8,0.4,**,3-3,36.7-34.3,34.3,454(0),,,クレバートウショウ,444.9
2010/12/19,5阪神6,晴,10,尼崎S(1600万下),201009050610,,14,8,13,12.0,5,2,四位洋文,57,芝1600,良,**,1:33.6,0.1,**,4-3,34.7-35.0,34.7,454(+8),,,リクエストソング,719.2
2010/11/07,6京都2,曇,9,八坂S(1600万下),201008060209,,13,5,6,3.5,1,6,四位洋文,57,芝1800,良,**,1:47.0,0.5,**,11-8,35.2-35.0,34.7,446(-2),,,オートドラゴン,
2010/10/09,5京都1,雨,10,大原S(1600万下),201008050110,,11,2,2,7.4,4,4,四位洋文,57,芝2000,不,**,2:03.5,0.9,**,9-8-9-9,36.0-36.7,36.9,448(+4),,,リルダヴァル,270.0
2010/08/21,1札幌3,晴,9,マレーシアC(1600万下),201001010309,,16,2,3,7.5,4,6,四位洋文,57,芝2000,良,**,2:00.0,0.3,**,13-12-12-13,35.8-35.0,34.5,444(0),,,ミッキーミラクル,
2010/07/31,2函館5,晴,9,漁火S(1600万下),201002020509,,14,5,7,30.8,8,2,四位洋文,57,芝1800,良,**,1:49.6,0.2,**,13-10-10-9,36.4-35.6,35.2,444(-10),,,トーセンジョーダン,718.6
2010/06/19,3阪神1,晴,10,ストークS(1600万下),201009030110,,17,6,11,7.4,2,12,福永祐一,57,芝1600,良,**,1:34.0,0.9,**,17-12,34.7-34.9,35.1,454(+6),,,マイネルクラリティ,
2010/05/09,3京都6,晴,10,都大路S(OP),201008030610,,14,7,11,8.9,4,11,武幸四郎,55,芝1800,良,**,1:46.3,1.5,**,10-10,35.2-35.3,33.2,448(+2),,,シルポート,
2010/04/11,1福島2,曇,10,福島民報杯(OP),201003010210,,16,6,11,18.6,8,3,太宰啓介,55,芝2000,良,**,1:59.3,0.2,**,15-15-13-9,34.4-35.9,35.0,446(-6),,,チョウカイファイト,585.4
2010/03/07,1阪神4,小雨,11,大阪城S(OP),201009010411,,12,7,10,7.0,3,5,岩田康誠,54,芝1800,稍,**,1:49.9,0.8,**,10-10,37.0-35.1,35.1,452(-4),,,マヤノライジン,230.0
2010/02/20,2京都7,晴,11,京都記念(G2),201008020711,,13,4,5,53.9,8,11,福永祐一,56,芝2200,良,**,2:16.0,1.6,**,12-12-11-12,36.5-34.4,34.1,456(+2),,,ブエナビスタ,
2009/12/12,4中京1,晴,11,中日新聞杯(G3),200907040111,,15,6,11,9.6,4,6,福永祐一,54,芝2000,良,**,1:58.6,1.2,**,12-11-9-8,34.0-35.8,36.2,454(0),,,アーネストリー,
2009/11/22,5京都6,小雨,10,修学院S(1600万下),200908050610,,15,7,12,11.5,5,1,福永祐一,55,芝2000,良,**,2:00.4,0.0,**,13-11-13-12,35.9-34.8,33.7,454(+8),,,(ナリタクリスタル),"1,813.6"
2009/10/18,4京都4,晴,10,清水S(1600万下),200908040410,,18,1,2,4.2,1,4,福永祐一,55,芝1600,良,**,1:33.7,0.2,**,6-4,35.2-34.5,34.3,446(+8),,,アンノルーチェ,270.0
2009/09/21,4阪神4,晴,9,西宮S(1600万下),200909040409,,18,4,7,10.8,4,5,福永祐一,55,芝1800,良,**,1:45.8,1.0,**,9-8,33.6-35.4,35.5,438(-6),,,ナムラクレセント,178.0
2009/05/10,2東京6,晴,11,NHKマイルC(G1),200905020611,,18,1,2,23.9,8,10,岩田康誠,57,芝1600,良,**,1:33.5,1.1,**,16-16,34.3-35.2,33.8,444(+4),,,ジョーカプチーノ,
2009/03/28,2阪神1,晴,10,毎日杯(G3),200909020110,,14,5,7,7.2,3,4,岩田康誠,56,芝1800,良,**,1:48.2,0.2,**,1-1,35.8-34.5,34.7,440(-4),,,アイアンルック,600.0
2009/02/28,1阪神1,晴,11,アーリントンC(G3),200909010111,,13,7,11,6.4,3,3,岩田康誠,56,芝1600,良,**,1:35.8,0.2,**,10-10,34.8-36.4,35.2,444(0),,,ダブルウェッジ,"1,007.3"
2009/01/11,1京都4,晴,11,日刊スポシンザン記念(G3),200908010411,,14,5,8,2.7,1,4,岩田康誠,56,芝1600,良,**,1:35.7,0.4,**,2-2,35.1-35.9,35.8,444(-6),,,アントニオバローズ,600.0
2008/12/21,5中山6,晴,11,朝日フューチュリティ(G1),200806050611,,16,1,1,5.8,3,6,ペリエ,55,芝1600,良,**,1:35.7,0.6,**,4-2-3,34.3-36.3,36.7,450(+4),,,セイウンワンダー,
2008/11/01,4京都7,晴,9,萩S(OP),200808040709,,6,1,1,5.7,3,1,岩田康誠,55,芝1800,良,**,1:47.7,-0.2,**,1-1,35.7-34.6,34.6,446(+4),,,(キングスレガリア),"1,618.9"
