,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/12/23,5阪神7,晴,11,六甲アイランドS(1600万下),201609050711,,18,6,11,53.1,14.0,11,国分恭介,57,0.0,1.0,1400,0.0,0.0,0.0,1.0,**,1:23.1,0.7,**,14-16,34.1-36.6,36.0,498(+6),,,スナッチマインド,
1,2016/11/12,5東京3,晴,10,三鷹特別(1000万下),201605050310,,18,4,8,17.1,6.0,1,松岡正海,55,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:22.1,0.0,**,9-8,35.4-34.9,34.0,492(+2),,,(アイファープリティ),"1,539.9"
2,2016/10/09,4東京2,曇,9,六社特別(1000万下),201605040209,,13,1,1,56.4,11.0,4,松岡正海,57,0.0,1.0,1600,0.0,0.0,0.0,1.0,**,1:35.6,0.3,**,6-4,36.0-34.6,34.5,490(+6),,,ロイカバード,230.0
3,2016/09/11,4中山2,曇,9,木更津特別(1000万下),201606040209,,10,3,3,18.8,6.0,6,丹内祐次,55,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:33.8,0.3,**,10-10-9,34.8-35.7,34.8,484(0),,,ドーヴァー,
4,2016/08/13,1札幌5,晴,11,STV賞(1000万下),201601010511,,14,7,12,38.5,11.0,6,丹内祐次,57,0.0,1.0,1500,0.0,0.0,1.0,0.0,**,1:29.0,0.2,**,10-9-9,30.1-34.6,34.1,484(0),,,ウインムート,
5,2016/05/07,2東京5,晴,9,高尾特別(1000万下),201605020509,,12,4,4,4.0,2.0,6,Ｍ．デム,57,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:22.1,0.7,**,8-8,35.8-33.8,33.6,484(-6),,,スマートプラネット,
6,2016/02/07,1東京4,晴,12,4歳上1000万下,201605010412,,16,1,1,20.9,9.0,11,石川裕紀,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:38.3,1.8,**,11-9,34.9-36.8,37.6,490(0),,,ブラゾンドゥリス,
7,2015/12/19,4中京5,晴,11,中京日経賞(1000万下),201507040511,,16,5,9,15.8,8.0,5,川須栄彦,56,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:36.8,0.3,**,9-8-8,37.2-34.6,34.0,490(0),,,ヴィルジニア,132.0
8,2015/12/12,5中山3,晴,12,3歳上1000万下,201506050312,,14,1,1,8.0,3.0,5,松岡正海,57,0.0,1.0,1800,0.0,0.0,1.0,0.0,**,1:49.6,0.8,**,11-11-9-9,37.5-36.0,34.4,490(+4),,,コスモグレースフル,105.0
9,2015/10/31,4東京8,曇,9,国立特別(1000万下),201505040809,,14,4,6,12.6,4.0,5,松岡正海,57,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:22.9,0.3,**,7-7,36.7-33.8,33.3,486(+4),,,クリノコマチ,150.0
