,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2013/11/16,5京都5,晴,11,修学院S(1600万下),201308050511,,13,2,2,23.4,9,13,幸英明,57,1.0,0.0,2000,0.0,0.0,1.0,0.0,**,2:05.5,4.6,**,13-13-12-12,38.4-34.7,38.2,478(-2),,,コアレスドラード,
1,2013/10/26,4京都8,晴,10,八坂S(1600万下),201308040810,,10,6,6,45.4,8,6,北村友一,57,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:51.1,0.5,**,5-7,37.6-34.3,34.2,480(+10),,,アルキメデス,
2,2012/10/07,4京都2,晴,10,大原S(1600万下),201208040210,,9,7,7,7.1,4,9,安藤勝己,57,1.0,0.0,2000,0.0,0.0,1.0,0.0,**,2:01.3,2.7,**,9-9-9-9,35.5-34.9,35.5,470(+6),,,オーシャンブルー,
3,2012/09/08,4阪神1,曇,11,西宮S(1600万下),201209040111,,8,2,2,3.0,2,4,岩田康誠,57,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:46.4,0.4,**,3-3,35.3-34.1,34.2,464(0),,,フレールジャック,260.0
4,2012/08/11,2小倉5,雨,11,釜山S(1600万下),201210020511,,9,1,1,7.5,3,2,川田将雅,57,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,1:59.9,0.3,**,2-2-2-2,36.0-35.9,35.0,464(+2),,,ダコール,685.6
5,2012/07/28,2小倉1,晴,11,九州スポーツ杯(1000万下),201210020111,,10,7,7,16.8,7,1,和田竜二,58,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:44.7,-0.1,**,7-8-8-3,33.4-35.7,34.6,462(+2),,,(カルドブレッサ),"1,423.8"
6,2012/07/07,2中京3,晴,10,賢島特別(1000万下),201207020310,,17,2,4,6.0,3,17,小牧太,58,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:23.8,1.8,**,8-8,34.3-35.6,36.7,460(-4),,,ウインドジャズ,
7,2012/03/04,1阪神4,小雨,10,大阪城S(OP),201209010410,,9,5,5,26.4,7,8,秋山真一,55,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:50.0,1.4,**,6-6,36.4-36.2,37.1,464(-2),,,ミッキーパンプキン,
8,2012/02/19,2京都8,晴,11,洛陽S(OP),201208020811,,16,8,16,27.7,8,3,小牧太,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.5,0.4,**,6-6,34.6-35.8,35.4,466(+2),,,トーセンレーヴ,535.0
9,2012/01/14,1中山4,晴,11,ニューイヤーS(OP),201206010411,,16,1,2,51.5,11,7,丸山元気,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.5,1.1,**,5-7-7,34.1-35.5,35.8,464(-2),,,コスモセンサー,
10,2011/12/25,6阪神8,晴,12,2011ファイナルS(OP),201109060812,,18,1,1,19.4,8,18,小牧太,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.8,1.6,**,12-13,35.3-35.7,36.4,466(+4),,,コスモセンサー,
11,2011/11/26,5東京7,晴,11,キャピタルS(OP),201105050711,,15,1,1,72.8,11,13,三浦皇成,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.0,1.1,**,1-1,34.8-34.7,35.8,462(-2),,,アプリコットフィズ,
12,2011/10/30,5京都8,小雨,11,カシオペアS(OP),201108050811,,18,5,9,54.0,11,17,国分恭介,53,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:47.4,1.2,**,16-16,35.0-35.7,34.6,464(+6),,,ダイワファルコン,
13,2011/05/29,3東京4,雨,11,東京優駿(G1),201105030411,,18,6,12,171.3,18,16,川田将雅,57,1.0,0.0,2400,1.0,0.0,0.0,0.0,**,2:33.7,3.2,**,10-10-8-7,36.8-36.5,38.4,458(+8),,,オルフェーヴル,
14,2011/05/08,2東京6,晴,11,NHKマイルC(G1),201105020611,,18,2,4,6.0,3,9,岩田康誠,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.1,0.9,**,14-13,33.9-34.6,34.5,450(-4),,,グランプリボス,
15,2011/04/09,2阪神5,曇,12,ニュージーランドT(G2),201109020512,,18,3,6,21.2,7,2,岩田康誠,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.7,0.2,**,12-8,35.9-34.6,33.5,454(-4),,,エイシンオスマン,"2,241.6"
16,2011/03/20,1阪神8,曇,7,3歳500万下,201109010807,,16,6,11,10.0,2,1,岩田康誠,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:21.3,-0.1,**,9-6,33.5-36.2,35.2,458(+8),,,(ベリアル),700.0
17,2010/09/19,4阪神3,晴,9,野路菊S(OP),201009040309,,8,3,3,15.7,4,6,内田博幸,54,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:48.5,0.8,**,2-2,35.1-34.2,35.0,450(-6),,,ウインバリアシオン,
18,2010/08/29,1札幌6,晴,8,クローバー賞(OP),201001010608,,10,4,4,4.8,2,6,岩田康誠,54,1.0,0.0,1500,0.0,0.0,1.0,0.0,**,1:31.5,0.7,**,5-6-7,29.9-35.2,35.2,456(-8),,,サクラベル,
19,2010/08/08,2函館8,晴,9,函館2歳S(G3),201002020809,,13,7,11,11.0,6,4,秋山真一,54,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:11.5,0.3,**,4-3,35.0-36.2,36.4,464(-2),,,マジカルポケット,480.0
20,2010/07/25,2函館4,晴,4,2歳新馬,201002020404,,14,7,11,13.0,5,1,ホワイト,54,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:10.4,0.0,**,1-1,34.7-35.7,35.7,466(0),,,(コウミョウガツジ),700.0
