,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/03/28,高知,晴,4,C2C3混合,201754032804,,12,4,4,80.8,11.0,9.0,松木大地,54,1.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:36.1,2.7,**,12-12-11-9,,43.1,533(-3),,,ブリーロ,
1,2017/03/19,高知,晴,3,小松菜の煮浸し特別,201754031903,,10,5,5,56.2,8.0,8.0,塚本雄大,53,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:36.7,3.5,**,5-6-5-6,,43.3,536(+5),,,ウォーターサルーン,
2,2017/03/05,高知,曇,10,トサミズキ特別,201754030510,,10,3,3,112.2,10.0,6.0,山頭信義,56,1.0,0.0,1300,0.0,1.0,0.0,0.0,**,1:27.4,2.9,**,9-10-9-8,,41.1,531(-5),,,ヴィリープ,
3,2017/02/15,高知,晴,2,C3ー9,201754021502,,8,6,6,16.5,8.0,1.0,木村直輝,53,1.0,0.0,1300,0.0,1.0,0.0,0.0,**,1:28.2,-0.2,**,3-3-3-1,,40.9,536(+9),,,(オラシオン),20.0
4,2017/02/01,高知,晴,7,C3ー9,201754020107,,12,8,12,20.4,8.0,11.0,塚本雄大,53,1.0,0.0,1300,0.0,0.0,1.0,0.0,**,1:29.0,1.6,**,7-8-8-11,,42.0,527(-3),,,ネオヴァンプアップ,
5,2017/01/18,高知,曇,12,ファイナルレース,201754011812,,9,2,2,11.5,6.0,5.0,山頭信義,56,1.0,0.0,1300,0.0,0.0,0.0,1.0,**,1:27.7,0.4,**,6-6-4-3,,41.1,530(-6),,,デイロングストーリ,1.0
6,2017/01/09,高知,曇,6,C3ー6,201754010906,,10,4,4,183.0,7.0,8.0,塚本雄大,53,1.0,0.0,1300,1.0,0.0,0.0,0.0,**,1:27.1,3.6,**,6-6-8-9,,42.0,536(+11),,,ジャングルターザン,
7,2016/12/21,高知,晴,6,C3ー6,201654122106,,11,6,7,94.3,8.0,7.0,松木大地,54,1.0,0.0,1300,0.0,0.0,0.0,1.0,**,1:27.2,1.3,**,9-9-9-8,,41.1,525(0),,,コスモラピッド,
8,2016/12/10,高知,晴,9,むらぼっくり特別,201654121009,,12,5,6,156.7,12.0,9.0,藤原良一,56,1.0,0.0,1300,0.0,0.0,0.0,1.0,**,1:28.5,3.4,**,6-8-7-9,,42.6,525(-5),,,ティアップストーム,
9,2016/11/22,高知,晴,1,C3ー4,201654112201,,12,5,5,124.6,9.0,12.0,塚本雄大,53,1.0,0.0,1300,1.0,0.0,0.0,0.0,**,1:27.4,4.3,**,6-7-7-8,,41.9,530(+8),,,ウインプロスパー,
10,2016/11/12,高知,晴,8,こすけ氏結婚出産特別,201654111208,,9,8,8,28.2,6.0,5.0,塚本雄大,53,1.0,0.0,1300,0.0,1.0,0.0,0.0,**,1:28.3,2.6,**,3-5-5-4,,41.8,522(+2),,,ジュモット,0.7
11,2016/10/29,高知,晴,8,C3ー7,201654102908,,12,3,3,389.4,10.0,5.0,塚本雄大,53,1.0,0.0,1300,1.0,0.0,0.0,0.0,**,1:26.8,1.3,**,3-3-3-2,,41.1,520(+1),,,トウカイエンプレス,0.7
12,2016/10/15,高知,晴,8,C3ー7,201654101508,,12,6,8,101.9,8.0,3.0,塚本雄大,53,1.0,0.0,1300,0.0,1.0,0.0,0.0,**,1:27.5,1.6,**,4-4-4-3,,40.8,519(-9),,,ゴセイバイシキモク,1.8
13,2016/09/03,高知,雨,12,ファイナルレース,201654090312,,12,3,3,8.3,5.0,9.0,嬉勝則,56,1.0,0.0,1300,0.0,0.0,1.0,0.0,**,1:28.9,2.1,**,5-5-5-7,,42.7,528(+2),,,エメラルタイガー,
14,2016/08/20,高知,晴,8,C2ー3,201654082008,,11,7,9,235.4,10.0,8.0,塚本雄大,53,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:35.9,2.4,**,8-9-8-6,,42.2,526(+4),,,クロフネエアロール,
15,2016/07/17,高知,曇,12,ファイナルレース,201654071712,,10,8,9,5.2,4.0,4.0,林謙佑,55,1.0,0.0,1300,0.0,1.0,0.0,0.0,**,1:27.7,0.3,**,4-4-3-4,,41.0,522(-1),,,ファイアバード,1.2
16,2016/07/02,高知,晴,10,C2ー2,201654070210,,12,4,4,145.5,11.0,12.0,吉本隆記,56,1.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:36.2,4.3,**,10-9-9-11,,43.9,523(0),,,コアレスランナー,
17,2016/06/18,高知,晴,10,MAHALOまる特別,201654061810,,12,6,7,164.7,10.0,10.0,吉本隆記,56,1.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:35.3,2.4,**,8-7-7-8,,42.2,523(-9),,,サダムサルート,
18,2016/06/05,高知,曇,12,ファイナルレース,201654060512,,12,6,7,20.8,9.0,7.0,嬉勝則,56,1.0,0.0,1300,1.0,0.0,0.0,0.0,**,1:26.6,1.8,**,8-7-6-4,,40.8,532(+4),,,ラグーンシティー,
19,2016/05/21,高知,晴,10,C2ー2,201654052110,,12,8,12,116.7,10.0,11.0,吉本隆記,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:36.4,3.2,**,5-3-4-8,,44.7,528(-1),,,エイシンルフィー,
20,2016/05/01,高知,晴,11,ファイナルレース,201654050111,,11,3,3,75.3,9.0,8.0,吉本隆記,56,1.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:35.1,2.1,**,6-4-4-5,,41.7,529(-3),,,シュラ,
21,2016/04/16,高知,晴,9,C2ー3,201654041609,,11,6,6,51.9,10.0,5.0,吉本隆記,56,1.0,0.0,1300,0.0,0.0,0.0,1.0,**,1:26.8,1.4,**,6-7-7-7,,40.7,532(+1),,,グリッターパール,0.8
22,2016/04/02,高知,曇,11,お花見特別,201654040211,,11,3,3,107.0,9.0,8.0,吉本隆記,56,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:32.9,2.3,**,6-4-8-8,,40.8,531(-8),,,シェードカーテン,
23,2016/03/27,高知,晴,5,高知城特別,201654032705,,11,1,1,393.9,11.0,11.0,吉本隆記,56,1.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:36.0,4.9,**,10-9-11-11,,43.8,539(+1),,,チョウサンペガサス,
24,2016/03/15,高知,晴,7,戦国BASARA特別,201654031507,,11,6,7,179.7,10.0,11.0,吉本隆記,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:50.9,6.3,**,11-11-10-11,,45.2,538(-1),,,イチザゴールド,
25,2016/02/28,高知,晴,6,ゴマサバ特別,201654022806,,9,6,6,94.3,9.0,9.0,吉本隆記,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:36.6,2.3,**,6-8-7-7,,41.9,539(+2),,,カットニス,
26,2016/01/31,高知,晴,10,Aー4,201654013110,,11,1,1,274.3,11.0,11.0,松木大地,53,1.0,0.0,1300,1.0,0.0,0.0,0.0,**,1:26.3,3.6,**,11-11-10-11,,40.7,537(+6),,,ルタドール,
27,2016/01/09,高知,晴,12,ファイナルレース,201654010912,,10,7,7,49.6,9.0,10.0,松木大地,53,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:37.0,3.3,**,9-10-9-9,,43.0,531(+4),,,ハッツオフ,
28,2015/12/20,高知,晴,8,Aー4,201554122008,,8,5,5,212.2,8.0,8.0,松木大地,53,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:35.5,4.1,**,8-8-8-8,,42.9,527(-6),,,ストリートハンター,
29,2015/12/06,高知,曇,7,Aー3,201554120607,,9,8,9,110.3,7.0,7.0,松木大地,53,1.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:33.5,3.7,**,7-7-8-8,,41.6,533(+5),,,サイモンリッター,
30,2015/11/08,高知,晴,10,Aー3,201554110810,,10,6,6,260.5,9.0,10.0,吉本隆記,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:54.9,10.6,**,7-7-10-10,,48.4,528(+2),,,リワードアンク,
31,2015/10/24,高知,晴,5,祝理恵さん誕生日特別,201554102405,,9,7,7,232.5,9.0,9.0,吉本隆記,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:34.0,2.8,**,7-7-7-8,,41.7,526(0),,,マイネルセプター,
32,2015/10/11,高知,晴,10,Aー2,201554101110,,8,8,8,187.6,8.0,8.0,吉本隆記,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:49.4,3.7,**,6-6-6-7,,42.4,526(+4),,,ブラックバカラ,
33,2015/09/13,高知,晴,8,Aー4,201554091308,,8,1,1,210.8,8.0,6.0,吉本隆記,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:33.2,1.6,**,5-3-4-4,,40.9,522(0),,,チェルカトローバ,
