,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2014/02/22,1東京7,晴,9,初音S(1600万下),201405010709,,11,7,9,14.2,7,4,ブノワ,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.3,0.4,**,9-9,36.1-34.1,33.6,478(+10),,,トーセンベニザクラ,270.0
1,2013/12/01,5中山2,晴,11,ターコイズS(OP),201306050211,,12,7,10,13.4,7,7,柴田善臣,53,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.1,0.5,**,11-8-8,34.5-36.0,34.9,468(0),,,レイカーラ,
2,2013/11/03,5東京2,晴,10,ユートピアS(1600万下),201305050210,,12,5,5,10.3,4,8,柴田善臣,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.4,0.6,**,5-5,35.2-34.9,34.6,468(-4),,,ゴールデンナンバー,
3,2013/08/31,2新潟11,曇,11,長岡S(1600万下),201304021111,,17,3,6,24.0,11,2,柴田善臣,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:31.9,0.2,**,10-10,34.3-34.7,33.6,472(-4),,,スイートサルサ,711.6
4,2013/08/10,2新潟5,晴,11,新潟日報賞(1600万下),201304020511,,18,5,10,22.7,8,12,柴田善臣,55,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:20.5,0.8,**,17-17,33.1-35.5,34.1,476(-2),,,エクセラントカーヴ,
5,2013/06/29,1函館5,曇,11,TVh杯(1600万下),201302010511,,14,6,10,10.3,4,10,北村宏司,55,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.9,0.8,**,11-10,33.6-34.5,34.3,478(+2),,,ファインチョイス,
6,2013/06/09,3東京4,晴,10,多摩川S(1600万下),201305030410,,18,6,11,7.3,3,11,内田博幸,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.3,0.7,**,13-15,35.5-33.1,32.8,476(+8),,,サトノギャラント,
7,2013/05/05,2東京6,晴,9,湘南S(1600万下),201305020609,,18,4,8,21.5,10,2,Ｍ．デム,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:32.5,0.0,**,16-17,34.9-34.1,32.6,468(+16),,,フジマサエンペラー,712.4
8,2013/03/09,1阪神5,晴,10,うずしおS(1600万下),201309010510,,16,7,13,16.2,7,12,古川吉洋,55,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:22.2,0.9,**,13-13,34.4-35.0,34.9,452(-16),,,メモリアルイヤー,
9,2013/02/16,1東京7,晴,10,初音S(1600万下),201305010710,,16,5,9,26.9,12,2,ブノワ,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.2,0.1,**,13-13,35.4-35.2,34.3,468(+6),,,アラフネ,710.4
10,2012/12/16,5中山6,晴,12,南総S(1600万下),201206050612,,16,8,16,15.9,8,16,北村宏司,55,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.2,1.2,**,11-13,33.1-34.9,35.1,462(0),,,ボストンエンペラー,
11,2012/10/01,4阪神9,曇,10,道頓堀S(1600万下),201209040910,,16,1,1,8.2,3,8,ピンナ,55,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.8,0.8,**,6-6,33.5-34.5,34.4,462(-12),,,ハクサンムーン,
