,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/02,3中山4,晴,11,船橋市80周年記念(1600万下),201706030411,,16,5,10,30.5,11,12,柴田善臣,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.2,0.3,**,10-9,34.0-34.9,34.6,476(+6),,,アルティマブラッド,
1,2017/02/05,2京都4,曇,12,4歳上1000万下,201708020412,,16,3,6,4.7,2,1,福永祐一,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:10.3,0.0,**,9-6,34.9-35.4,34.7,470(0),,,(ウイングパラダイス),"1,050.0"
2,2017/01/14,1中山4,曇,12,4歳上1000万下,201706010412,,16,8,16,3.9,1,3,戸崎圭太,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.6,0.3,**,11-11,34.8-34.5,33.9,470(0),,,イオラニ,260.0
3,2016/11/05,3福島1,晴,11,河北新報杯(1000万下),201603030111,,15,3,5,10.5,5,6,伊藤工真,56,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.5,0.3,**,8-7,33.2-35.0,34.7,470(+2),,,キングハート,
4,2016/09/17,4中山3,曇,10,初風特別(1000万下),201606040310,,16,1,2,6.5,4,5,丸田恭介,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.8,0.4,**,8-9,34.1-34.3,34.3,468(-4),,,デンコウウノ,150.0
5,2016/07/23,2福島7,曇,11,白河特別(1000万下),201603020711,,16,2,4,7.1,3,2,丸田恭介,56,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.0,0.0,**,10-8,33.5-35.5,34.2,472(0),,,フルールシチー,609.8
6,2016/06/26,1函館4,曇,11,UHB杯(1000万下),201602010411,,13,7,11,21.7,9,3,丸田恭介,56,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:09.6,0.2,**,6-4,34.1-35.3,34.6,472(-6),,,ウォーターショパン,384.2
7,2016/06/18,1函館1,晴,11,HTB杯(1000万下),201602010111,,16,8,15,13.6,6,12,伊藤工真,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.6,1.0,**,7-6,33.5-35.1,35.6,478(+10),,,モズハツコイ,
8,2016/03/27,2阪神2,曇,10,淀屋橋S(1600万下),201609020210,,14,8,13,26.7,9,13,国分優作,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.0,0.6,**,12-12,33.3-35.1,33.8,468(-2),,,マルヨバクシン,
9,2016/02/27,2中山1,晴,10,アクアマリンS(1600万下),201606020110,,16,2,3,8.1,5,5,田中勝春,54,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.9,0.2,**,5-4,34.7-34.0,33.9,470(0),,,ローズミラクル,182.0
10,2016/01/16,1中山5,晴,11,カーバンクルS(OP),201606010511,,16,3,5,8.3,3,7,伊藤工真,51,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.1,0.4,**,6-3,33.2-34.5,34.4,470(-6),,,カハラビスティー,
11,2016/01/11,1中山4,晴,10,サンライズS(1600万下),201606010410,,16,1,1,15.4,8,8,田中勝春,56,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.6,0.4,**,3-3,34.0-34.2,34.4,476(+8),,,スカイキューティー,
12,2015/10/18,4東京5,晴,12,白秋S(1600万下),201505040512,,18,6,11,22.7,9,12,田中勝春,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.7,1.3,**,14-13,34.0-34.7,34.8,468(-4),,,アイライン,
13,2015/09/21,4阪神5,晴,11,仲秋S(1600万下),201509040511,,11,8,10,25.8,10,5,国分優作,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.6,0.5,**,8-8,34.1-35.4,34.8,472(0),,,ダンスアミーガ,182.0
14,2015/05/10,2東京6,晴,11,NHKマイルC(G1),201505020611,,18,4,8,142.6,17,15,田中勝春,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.0,1.5,**,9-9,35.3-34.2,35.2,472(+6),,,クラリティスカイ,
15,2015/04/25,3京都1,晴,10,橘S(OP),201508030110,,12,8,11,8.3,4,8,川田将雅,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.8,0.6,**,6-6,34.2-34.8,34.9,466(-2),,,マテンロウハピネス,
16,2015/04/11,3中山5,曇,11,ニュージーランドT(G2),201506030511,,16,4,7,16.0,8,4,田中勝春,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.0,0.2,**,9-7-6,35.0-35.8,35.2,468(+2),,,ヤマカツエース,780.0
17,2015/02/28,1阪神1,晴,11,アーリントンC(G3),201509010111,,12,2,2,7.7,6,10,武豊,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:37.0,1.1,**,8-8,35.6-35.1,35.4,466(0),,,ヤングマンパワー,
18,2015/01/04,1中山1,晴,10,ジュニアC(OP),201506010110,,9,3,3,2.5,1,1,北村宏司,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.9,0.0,**,2-3-2,35.5-34.6,34.4,466(0),,,(エイムハイ),"1,923.1"
