,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2015/10/25,4東京7,晴,11,ブラジルC(OP),201505040711,,15,7,13,320.2,15.0,15,井上敏樹,52,1.0,0.0,2100,0.0,1.0,0.0,0.0,**,2:16.2,5.6,**,3-3-3-6,30.5-36.6,41.6,466(-14),,,ドコフクカゼ,
1,2015/07/12,2函館2,晴,11,マリーンS(OP),201502020211,,13,8,13,201.5,13.0,11,黛弘人,52,1.0,0.0,1700,0.0,1.0,0.0,0.0,**,1:46.4,2.1,**,6-7-10-10,30.3-37.0,38.4,480(-10),,,ソロル,
2,2015/04/12,3中山6,晴,11,春雷S(OP),201506030611,,16,8,15,187.8,16.0,12,嘉藤貴行,56,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.1,0.8,**,13-12,34.5-33.8,33.6,490(+2),,,サカジロロイヤル,
3,2015/03/15,2中山6,晴,10,東風S(OP),201506020610,,14,4,5,234.1,14.0,12,江田照男,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:35.0,1.2,**,12-11-13,35.2-35.4,34.9,488(+2),,,クラリティシチー,
4,2015/01/05,1中山2,晴,11,ジャニュアリーS(OP),201506010211,,16,8,16,224.6,16.0,16,黛弘人,53,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:11.9,1.5,**,12-13,33.8-36.6,37.0,486(+12),,,レーザーバレット,
5,2014/08/31,2新潟10,晴,10,朱鷺S(OP),201404021010,,14,4,5,20.1,6.0,14,国分優作,56,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.6,0.8,**,6-3,34.6-34.6,35.0,474(+4),,,サクラアドニス,
6,2014/08/17,2新潟6,曇,11,関屋記念(G3),201404020611,,16,3,6,64.2,14.0,11,国分優作,56,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:33.8,1.3,**,2-2,34.9-34.4,35.5,470(0),,,クラレント,
7,2014/07/27,3中京8,曇,11,トヨタ賞中京記念(G3),201407030811,,16,2,3,170.5,16.0,6,国分優作,53,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:37.4,0.3,**,2-3-1,35.5-37.0,37.3,470(-8),,,サダムパテック,
8,2014/07/06,3中京2,曇,11,CBC賞(G3),201407030211,,16,7,13,160.7,15.0,7,北村友一,53,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.1,0.5,**,9-10,34.2-34.4,34.0,478(0),,,トーホウアマポーラ,
9,2014/03/30,2阪神2,曇,11,六甲S(OP),201409020211,,18,5,9,65.3,13.0,12,荻野琢真,56,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:37.5,1.6,**,10-8,35.4-36.6,37.6,478(-4),,,フィエロ,
10,2014/01/13,1京都5,晴,11,淀短距離S(OP),201408010511,,16,7,14,78.1,13.0,15,太宰啓介,56,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.6,1.2,**,9-11,33.8-33.6,34.1,482(+4),,,レディオブオペラ,
11,2013/11/03,5京都2,雨,10,長岡京S(1600万下),201308050210,,12,5,5,37.5,9.0,1,太宰啓介,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:20.8,-0.1,**,1-1,35.9-33.4,33.4,478(+2),,,(エールブリーズ),"1,765.9"
12,2013/10/14,4京都5,晴,11,清水S(1600万下),201308040511,,16,5,9,98.5,14.0,3,太宰啓介,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.1,0.3,**,1-1,35.1-34.3,34.6,476(+2),,,ウインプリメーラ,445.1
13,2013/09/29,4阪神9,晴,10,道頓堀S(1600万下),201309040910,,16,5,9,82.3,14.0,15,国分優作,57,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.6,1.2,**,2-2,33.9-34.5,35.7,474(-12),,,リトルゲルダ,
14,2013/05/11,3京都7,雨,10,彦根S(1600万下),201308030710,,15,7,12,13.5,6.0,9,幸英明,57,0.0,1.0,1200,1.0,0.0,0.0,0.0,**,1:10.6,0.9,**,7-7,34.6-35.1,35.4,486(-4),,,リュンヌ,
15,2013/04/20,3京都1,曇,11,錦S(1600万下),201308030111,,13,1,1,89.9,13.0,7,幸英明,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.4,0.4,**,1-1,35.1-34.9,35.3,490(+12),,,セイルラージ,
16,2013/02/10,1東京6,晴,10,雲雀S(1600万下),201305010610,,15,4,8,,,除,津村明秀,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,,,**,,35.4-33.9,,466(-12),,,セイウンジャガーズ,
17,2012/10/28,4京都9,曇,10,長岡京S(1600万下),201208040910,,10,8,9,4.6,2.0,10,浜中俊,57,0.0,1.0,1400,1.0,0.0,0.0,0.0,**,1:25.2,3.1,**,1-1,35.7-34.9,38.0,478(-12),,,シャイニーホーク,
18,2012/05/26,3京都11,晴,11,朱雀S(1600万下),201208031111,,11,1,1,3.7,2.0,11,浜中俊,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:24.0,3.1,**,3-3,35.1-34.1,36.9,490(0),,,ノーブルディード,
19,2012/04/21,3京都1,晴,11,オーストラリアT(1600万下),201208030111,,14,3,4,4.3,2.0,11,浜中俊,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.7,**,2-2,34.2-35.3,35.9,490(+6),,,ブレイブファイト,
20,2012/03/25,2阪神2,晴,10,心斎橋S(1600万下),201209020210,,16,4,7,3.8,2.0,2,幸英明,57,0.0,1.0,1400,1.0,0.0,0.0,0.0,**,1:23.2,0.1,**,6-6,34.5-37.0,36.5,484(-4),,,レオプライム,690.6
21,2012/02/04,2京都3,晴,9,斑鳩S(1600万下),201208020309,,13,7,10,3.9,2.0,3,藤岡佑介,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:22.3,0.0,**,2-2,36.0-34.4,34.3,488(+4),,,ルナキッズ,434.0
22,2012/01/21,1京都6,雨,10,花見小路特別(1000万下),201208010610,,12,7,10,15.4,6.0,1,浜中俊,57,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:22.6,-1.0,**,1-1,36.2-34.7,34.7,484(+14),,,(タマモコントラバス),"1,430.1"
23,2011/07/17,4京都6,晴,10,聖護院特別(1000万下),201108040610,,9,2,2,13.6,4.0,4,武豊,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.6,0.7,**,3-4,37.0-33.6,34.0,470(-4),,,シースナイプ,220.0
24,2011/07/02,4京都1,曇,10,丹後半島特別(1000万下),201108040110,,14,1,1,12.1,5.0,3,浜中俊,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.8,0.4,**,4-7,35.1-34.5,34.4,474(-2),,,ピースピース,374.6
25,2011/06/12,3阪神4,小雨,9,小豆島特別(1000万下),201109030409,,13,1,1,8.4,3.0,6,藤岡佑介,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:35.2,0.3,**,6-8,36.1-34.0,33.8,476(+2),,,セイクリッドセブン,
26,2011/05/14,2東京7,晴,10,立川特別(1000万下),201105020710,,8,5,5,4.3,2.0,6,後藤浩輝,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,0.4,**,6-5,36.0-34.1,34.0,474(0),,,エイシンサクセス,
27,2011/04/24,3京都2,晴,12,4歳上1000万下,201108030212,,14,5,7,6.6,4.0,2,藤岡佑介,57,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:35.0,0.2,**,7-5,35.3-35.2,35.0,474(+2),,,ガンダーラ,420.0
28,2011/04/03,2阪神4,晴,8,4歳上1000万下,201109020408,,16,8,15,5.2,3.0,13,藤岡佑介,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:25.8,1.0,**,9-8,34.7-37.6,37.6,472(+2),,,ハイローラー,
29,2010/12/12,5阪神4,晴,8,3歳上1000万下,201009050408,,16,3,5,4.0,2.0,5,池添謙一,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:24.3,0.3,**,8-8,33.7-38.5,37.8,470(-2),,,アンヴァルト,105.0
30,2010/11/27,6京都7,晴,12,3歳上1000万下,201008060712,,16,1,1,6.3,4.0,2,池添謙一,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:24.7,0.0,**,8-6,35.2-37.3,36.7,472(+2),,,ハードウォン,420.0
31,2010/10/30,5京都7,曇,12,3歳上1000万下,201008050712,,11,3,3,3.7,1.0,6,池添謙一,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:23.5,0.4,**,9-9,36.9-34.4,33.4,470(+4),,,ドリームゼロワン,
32,2010/01/30,1東京1,晴,11,東京新聞杯(G3),201005010111,,16,6,11,171.8,16.0,15,勝浦正樹,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.8,1.7,**,8-8,34.8-33.9,34.7,466(-8),,,レッドスパーダ,
33,2010/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),201008010111,,15,1,2,12.7,4.0,13,池添謙一,53,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.9,0.8,**,7-9,34.2-35.9,35.6,474(-2),,,ライブコンサート,
34,2009/12/19,5中山5,晴,11,ディセンバーS(OP),200906050511,,9,8,9,7.9,4.0,8,勝浦正樹,54,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:49.0,0.5,**,6-6-9-9,37.5-34.4,33.7,476(+4),,,ショウワモダン,
35,2009/11/15,5東京4,晴,11,オーロC(OP),200905050411,,18,3,5,7.7,4.0,5,勝浦正樹,53,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.2,0.4,**,16-14,34.4-35.0,34.1,472(+6),,,アイアムカミノマゴ,230.0
36,2009/10/24,4東京5,曇,11,富士S(G3),200905040511,,18,7,15,65.8,14.0,12,池添謙一,54,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.8,0.5,**,12-13,34.4-35.0,34.3,466(0),,,アブソリュート,
37,2009/05/10,2東京6,晴,11,NHKマイルC(G1),200905020611,,18,7,15,22.2,7.0,14,池添謙一,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,1.6,**,15-11,34.3-35.2,34.5,466(0),,,ジョーカプチーノ,
38,2009/04/11,3中山5,晴,11,ニュージーランドT(G2),200906030511,,16,7,14,8.8,5.0,2,池添謙一,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,0.3,**,4-10-6,34.9-35.4,35.0,466(0),,,サンカルロ,"2,234.0"
39,2009/03/22,1阪神8,曇,6,3歳500万下,200909010806,,16,5,10,3.8,2.0,1,池添謙一,56,0.0,1.0,1400,1.0,0.0,0.0,0.0,**,1:23.5,-0.3,**,4-4,34.0-37.6,37.2,466(+4),,,(アルーリングムーン),700.0
40,2008/12/14,3中京2,晴,10,報知杯中京2歳S(OP),200807030210,,10,4,4,3.6,2.0,7,長谷川浩,55,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:49.9,0.6,**,3-4-5-5,36.4-35.2,35.5,462(0),,,メイショウドンタク,
41,2008/11/16,5京都4,曇,9,黄菊賞(500万下),200808050409,,9,4,4,6.9,4.0,3,長谷川浩,55,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:48.9,0.2,**,9-6,36.1-34.9,34.5,462(-6),,,ジェルミナル,253.1
42,2008/11/02,4京都8,晴,3,2歳未勝利,200808040803,,16,2,4,10.1,4.0,1,長谷川浩,55,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:49.2,-0.4,**,3-2,34.4-35.4,34.8,468(-6),,,(ゴールデンチケット),500.0
43,2008/10/19,4京都4,晴,4,2歳新馬,200808040404,,13,1,1,5.0,2.0,3,長谷川浩,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:36.3,0.2,**,6-7,35.5-35.4,35.1,474(0),,,テスタマッタ,180.0
