,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/01,3中山3,曇,11,ダービー卿チャレンジ(G3),201706030311,,16,8,15,15.2,7,6,丸山元気,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.1,0.4,**,10-12-10,36.2-34.7,34.1,502(-2),,,ロジチャリス,
1,2017/03/05,1阪神4,晴,11,大阪城S(OP),201709010411,,16,7,13,13.2,6,16,丸山元気,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:48.0,0.9,**,5-4,36.5-33.7,34.4,504(-2),,,アストラエンブレム,
2,2017/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),201708010111,,18,6,11,42.0,9,6,丸山元気,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.3,0.5,**,3-3,33.9-35.2,35.5,506(+2),,,エアスピネル,
3,2016/11/26,5東京7,晴,11,キャピタルS(OP),201605050711,,15,2,2,7.5,4,6,丸山元気,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.5,1.0,**,4-4,34.1-35.2,35.8,504(-4),,,ブラックムーン,
4,2016/10/30,4京都9,晴,11,カシオペアS(OP),201608040911,,12,2,2,4.2,2,6,浜中俊,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:46.5,0.4,**,4-3,35.4-34.8,34.8,508(+14),,,ヒルノマテーラ,
5,2016/05/08,2東京6,晴,11,NHKマイルC(G1),201605020611,,18,5,10,21.2,7,4,丸山元気,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.1,0.3,**,6-6,34.3-35.1,34.9,494(-4),,,メジャーエンブレム,"1,400.0"
6,2016/04/09,3中山5,曇,11,ニュージーランドT(G2),201606030511,,16,3,5,5.5,2,1,丸山元気,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.0,**,8-5-3,34.9-35.2,34.8,498(-8),,,(ストーミーシー),"5,519.0"
7,2016/02/27,1阪神1,曇,11,アーリントンC(G3),201609010111,,14,7,12,20.4,9,2,丸山元気,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,0.0,**,8-5,34.4-35.0,34.6,506(+2),,,レインボーライン,"1,515.8"
8,2016/01/05,1中山1,晴,10,ジュニアC(OP),201606010110,,10,4,4,10.4,4,1,丸山元気,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.2,0.0,**,3-4-4,36.2-34.4,34.0,504(+6),,,(アーバンキッド),"1,923.8"
9,2015/12/13,4中京4,晴,10,こうやまき賞(500万下),201507040410,,12,3,3,4.9,2,3,丸山元気,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.5,0.0,**,6-6-6,34.8-36.5,36.0,498(-2),,,マディディ,254.0
10,2015/11/28,5京都8,晴,11,ラジオN杯京都2歳S(G3),201508050811,,12,6,7,41.7,9,9,和田竜二,55,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:02.0,0.7,**,2-3-3-3,35.6-34.2,34.6,500(0),,,ドレッドノータス,
11,2015/11/01,3福島2,晴,10,きんもくせい特別(500万下),201503030210,,8,4,4,10.1,5,2,丸山元気,55,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:49.7,0.2,**,3-2-4-3,36.1-34.9,34.7,500(-4),,,ケルフロイデ,405.4
12,2015/10/18,3新潟2,晴,3,2歳未勝利,201504030203,,12,2,2,3.6,2,1,松若風馬,54,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:03.6,-0.2,**,6-5-9-8,35.7-36.2,35.6,504(+22),,,(マイネルツィール),500.0
13,2015/07/12,3中京4,晴,1,2歳未勝利,201507030401,,15,3,5,12.0,5,3,松山弘平,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:37.8,0.3,**,2-5-5,36.7-35.9,35.6,482(-10),,,デアリングエッジ,130.0
14,2015/06/27,3阪神7,曇,1,2歳未勝利,201509030701,,9,8,9,5.2,3,2,和田竜二,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:37.9,0.2,**,3-3,35.9-36.3,36.2,492(-2),,,マイネルサグラ,200.0
15,2015/06/21,3阪神6,晴,5,2歳新馬,201509030605,,9,5,5,7.2,3,4,松若風馬,53,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:38.8,0.3,**,7-7,37.2-34.9,34.6,494(0),,,ウインクルサルーテ,110.0
