,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2011/04/30,2東京3,晴,10,立夏S(1600万下),201105020310,,15,3,6,104.9,11,6,柴山雄一,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:26.2,1.3,**,10-9,35.6-37.1,37.3,506(0),,,ピューター,
1,2011/04/03,2阪神4,晴,10,難波S(1600万下),201109020410,,18,8,16,83.4,16,11,難波剛健,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:46.4,1.0,**,15-14,35.0-35.0,34.8,506(0),,,ストロングリターン,
2,2011/03/27,2阪神2,晴,10,梅田S(1600万下),201109020210,,15,2,3,45.3,9,9,北村宏司,57,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:54.0,1.4,**,6-5-7-11,37.2-37.4,38.1,506(+8),,,サンライズモール,
3,2010/12/19,5阪神6,晴,10,尼崎S(1600万下),201009050610,,14,6,10,70.1,12,10,松山弘平,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.4,0.9,**,11-12,34.7-35.0,34.8,498(+4),,,リクエストソング,
4,2010/10/31,4東京8,曇,10,紅葉S(1600万下),201005040810,,14,6,11,36.6,10,7,蛯名正義,57,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:34.5,1.0,**,12-12,35.1-34.6,34.5,494(+2),,,フラガラッハ,
5,2010/09/20,4阪神4,晴,9,西宮S(1600万下),201009040409,,10,3,3,8.3,4,10,蛯名正義,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.8,1.1,**,8-8,35.4-33.4,33.5,492(-12),,,テイエムオーロラ,
6,2010/08/15,3新潟2,晴,11,天の川S(1600万下),201004030211,,16,8,16,9.0,4,15,江田照男,57,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:00.5,2.0,**,4-3,35.9-34.3,35.8,504(+8),,,ミステリアスライト,
7,2010/07/31,2新潟5,曇,11,新潟日報賞(1600万下),201004020511,,18,8,18,14.8,8,3,蛯名正義,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.0,0.1,**,12-12,35.1-34.7,33.5,496(-8),,,キングストリート,456.0
8,2010/06/27,3阪神4,晴,9,垂水S(1600万下),201009030409,,12,2,2,62.8,9,2,蛯名正義,57,0.0,1.0,2000,1.0,0.0,0.0,0.0,**,2:01.4,0.4,**,8-8-7-5,35.8-36.5,36.3,504(-2),,,アドマイヤメジャー,717.4
9,2010/05/09,2東京6,晴,12,東京スマイルP(1600万下),201005020612,,14,3,4,23.8,8,13,福永祐一,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.9,0.7,**,10-10,36.4-33.8,33.8,506(+6),,,カウアイレーン,
10,2010/04/04,2阪神4,晴,9,難波S(1600万下),201009020409,,16,1,2,19.8,8,9,福永祐一,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.5,0.9,**,9-9,36.6-34.2,34.0,500(+10),,,シルポート,
11,2010/02/20,1東京7,晴,10,アメジストS(1600万下),201005010710,,10,8,10,6.7,4,9,小牧太,57,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:01.6,1.0,**,9-9-9,36.3-35.2,34.9,490(-8),,,シャインモーメント,
12,2009/12/19,5阪神5,晴,10,逆瀬川S(1600万下),200909050510,,11,1,1,6.6,4,8,岩田康誠,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.0,0.6,**,7-7,35.2-35.8,34.5,498(+2),,,ナリタクリスタル,
13,2009/12/06,5阪神2,晴,12,ゴールデンホイップT(1600万下),200909050212,,15,6,10,17.5,7,4,岩田康誠,58,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:35.0,0.2,**,12-15,36.2-34.4,33.6,496(+6),,,ファイアーフロート,270.0
14,2009/11/15,5東京4,晴,10,ノベンバーS(1600万下),200905050410,,18,5,10,9.4,4,5,小野次郎,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.2,0.3,**,8-8-10,36.4-34.7,34.2,490(-6),,,チョウカイファイト,178.0
15,2009/10/31,4京都7,晴,10,八坂S(1600万下),200908040710,,14,6,10,58.1,9,7,四位洋文,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:46.4,0.6,**,7-8,35.0-34.9,34.6,496(-10),,,アクシオン,
16,2008/11/01,4東京7,晴,10,紅葉S(1600万下),200805040710,,16,6,11,6.5,3,4,内田博幸,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.1,0.4,**,8-7,34.9-34.9,34.5,506(+4),,,ホッカイカンティ,270.0
17,2008/10/18,4東京3,晴,11,アイルランドT(OP),200805040311,,16,7,14,10.8,5,10,内田博幸,55,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,1:59.6,1.3,**,5-5-5,35.5-34.8,34.7,502(+4),,,オペラブラーボ,
18,2008/03/09,1中京4,晴,11,トヨタ賞中京記念(G3),200807010411,,18,7,13,7.4,4,10,的場勇人,55,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,1:58.9,0.5,**,13-13-12-11,34.8-35.1,35.0,498(-12),,,タスカータソルテ,
19,2008/02/16,1東京5,曇,11,バレンタインS(OP),200805010511,,16,4,8,4.7,2,6,北村宏司,55,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.6,0.3,**,10-13,35.4-34.3,33.5,510(+8),,,ナスノストローク,
20,2007/12/02,3中京2,晴,11,中日新聞杯(G3),200707030211,,16,3,5,21.8,8,2,小牧太,53,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,1:58.6,0.1,**,12-12-12-11,33.5-35.1,34.5,502(+12),,,サンライズマックス,"1,619.6"
21,2007/05/26,2中京3,晴,10,白百合S(OP),200707020310,,13,8,12,4.3,2,4,安藤勝己,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.4,0.2,**,9-9-8-7,35.4-35.1,34.5,490(+2),,,オースミダイドウ,290.0
22,2007/05/06,2東京6,雨,11,NHKマイルC(G1),200705020611,,18,7,13,7.0,4,10,北村宏司,57,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:35.3,1.0,**,16-14,34.2-35.8,35.9,488(0),,,ピンクカメオ,
23,2007/02/04,1東京4,晴,11,共同通信杯(G3),200705010411,,9,5,5,26.3,5,2,北村宏司,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.7,0.0,**,4-6-8,35.9-34.7,34.0,488(0),,,フサイチホウオー,"1,710.0"
24,2007/01/14,1中山5,晴,11,京成杯(G3),200706010511,,12,8,11,7.3,4,5,北村宏司,56,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:02.0,0.4,**,7-7-9-7,37.6-35.0,34.6,488(-6),,,サンツェッペリン,400.0
25,2006/12/24,5中山8,晴,6,ホープフルS(OP),200606050806,,15,6,10,13.2,8,6,安藤勝己,55,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:01.9,0.8,**,9-9-12-12,34.8-37.8,36.5,494(+4),,,ニュービギニング,
26,2006/10/29,4東京8,晴,4,2歳新馬,200605040804,,9,2,2,8.8,3,1,内田博幸,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:37.4,-0.2,**,7-7,37.8-34.1,33.4,490(0),,,(キングリーウィーク),700.0
