,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2015/11/22,5京都6,曇,11.0,マイルチャンピオンS(G1),201508050611,,18.0,7.0,13,95.9,17,8,ボウマン,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.3,0.5,**,14-13,34.6-33.8,33.2,516(-14),,,モーリス,
1,2015/10/11,4東京2,曇,11.0,毎日王冠(G2),201505040211,,13.0,7.0,10,48.3,12,12,ルメール,58,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:46.6,1.0,**,5-2-2,35.9-34.0,34.7,530(+6),,,エイシンヒカリ,
2,2015/06/07,3東京2,晴,11.0,安田記念(G1),201505030211,,17.0,5.0,9,13.1,6,12,内田博幸,58,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:32.9,0.9,**,1-1,34.3-34.7,35.6,524(0),,,モーリス,
3,2015/04/06,オースト,晴,,ドンカスターマイル(G1),2015B6a00509,,,,4,,5,2,マクドナ,55,1.0,0.0,1600,0.0,0.0,0.0,1.0,,,,,,,,計不,,,,
4,2015/03/21,オースト,曇,,ジョージライダーS(G1),2015B6a00108,,,,4,,6,1,マクドナ,59,1.0,0.0,1500,0.0,1.0,0.0,0.0,,1:28.2,,,,,,計不,,,(),
5,2014/12/27,5阪神7,曇,11.0,阪神C(G2),201409050711,,18.0,4.0,8,14.4,8,1,ビュイッ,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:20.7,0.0,**,6-5,34.3-35.2,34.7,518(-20),,,(コパノリチャード),"6,635.8"
6,2014/11/30,5東京9,曇,9.0,キャピタルS(OP),201405050909,,16.0,3.0,6,8.4,4,6,ムーア,58,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.8,0.2,**,2-2,35.5-34.8,35.0,538(+18),,,シェルビー,
7,2014/06/08,3東京2,小雨,11.0,安田記念(G1),201405030211,,17.0,2.0,4,85.7,14,13,戸崎圭太,58,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:38.4,1.6,**,2-2,35.1-37.7,39.2,520(+8),,,ジャスタウェイ,
8,2014/03/30,2中京6,曇,11.0,高松宮記念(G1),201407020611,,18.0,3.0,6,16.7,7,9,戸崎圭太,57,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:13.3,1.1,**,7-6,34.5-37.7,37.6,512(-16),,,コパノリチャード,
9,2014/03/08,2中山3,晴,11.0,夕刊フジオーシャンS(G3),201406020311,,16.0,6.0,11,6.4,2,8,戸崎圭太,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.6,0.7,**,15-14,33.9-35.0,34.5,528(+14),,,スマートオリオン,
10,2013/12/23,5阪神9,晴,11.0,阪神C(G2),201309050911,,18.0,5.0,10,15.4,8,1,ムーア,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:21.4,0.0,**,1-1,35.0-34.8,34.8,514(-6),,,(ガルボ),"6,633.0"
11,2013/11/17,5京都6,晴,11.0,マイルチャンピオンS(G1),201308050611,,18.0,8.0,18,34.1,13,10,戸崎圭太,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.2,0.8,**,5-4,35.1-34.1,34.7,520(-8),,,トーセンラー,
12,2013/10/19,4東京6,曇,11.0,富士S(G3),201305040611,,15.0,7.0,12,29.6,9,2,戸崎圭太,58,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.6,0.1,**,2-2,35.8-33.8,33.8,528(+8),,,ダノンシャーク,"1,516.8"
