,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/16,3中山8,晴,10,春雷S(OP),201706030810,,15,8,14,12.9,6,9,田辺裕信,56,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:07.9,0.4,**,13-12,34.1-33.4,32.8,480(+6),,,フィドゥーシア,
1,2016/12/24,5阪神8,晴,11,阪神C(G2),201609050811,,15,6,11,49.9,11,13,バルザロ,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:23.0,1.1,**,12-13,34.9-35.4,35.4,474(-2),,,シュウジ,
2,2016/11/13,5東京4,曇,11,オーロC(OP),201605050411,,18,8,17,3.6,1,13,内田博幸,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:22.2,0.6,**,14-14,35.2-34.7,34.2,476(+4),,,ナックビーナス,
3,2016/10/16,3新潟2,晴,11,信越S(OP),201604030211,,17,2,4,3.1,1,1,吉田豊,54,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:20.4,0.0,**,11-11,33.6-35.2,34.3,472(+2),,,(アルバタックス),"2,339.2"
4,2016/09/11,4中山2,曇,11,京成杯オータムH(G3),201606040211,,15,7,13,20.7,10,6,吉田豊,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.6,0.6,**,15-15-13,35.1-35.0,34.3,470(+10),,,ロードクエスト,
5,2016/07/24,3中京8,曇,11,トヨタ賞中京記念(G3),201607030811,,16,3,6,5.3,2,12,田辺裕信,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.5,0.9,**,14-13-12,35.5-34.6,34.6,460(0),,,ガリバルディ,
6,2016/05/08,2東京6,晴,11,NHKマイルC(G1),201605020611,,18,4,7,10.0,5,5,田辺裕信,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.1,0.3,**,14-13,34.3-35.1,34.2,460(-4),,,メジャーエンブレム,950.0
7,2016/03/19,2中京3,晴,11,中スポ賞ファルコンS(G3),201607020311,,18,3,5,3.0,2,1,田辺裕信,57,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:25.0,-0.3,**,12-12,33.3-39.7,38.5,464(-6),,,(ブレイブスマッシュ),"3,867.2"
8,2016/01/30,1東京1,曇,10,クロッカスS(OP),201605010110,,10,3,3,4.6,3,1,田辺裕信,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.7,-0.5,**,8-7,35.0-34.8,34.1,470(+10),,,(オデュッセウス),"1,923.8"
9,2015/11/22,5東京6,曇,9,からまつ賞(500万下),201505050609,,10,4,4,2.9,2,1,田辺裕信,55,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:21.6,-0.2,**,8-8,34.8-34.5,33.8,460(+4),,,(ルグランフリソン),"1,027.3"
10,2015/11/07,5東京1,曇,11,京王杯2歳S(G2),201505050111,,18,7,13,9.2,5,5,吉田豊,55,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:22.8,0.2,**,5-6,36.5-33.5,33.3,456(+4),,,ボールライトニング,360.0
11,2015/10/10,4東京1,曇,11,サウジアラビアRC(G),201505040111,,12,1,1,51.7,7,7,吉田豊,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.7,0.5,**,2-2,34.7-34.9,35.3,452(-8),,,ブレイブスマッシュ,
12,2015/08/30,2新潟10,曇,11,新潟2歳S(G3),201504021011,,18,5,10,28.3,9,11,吉田豊,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.4,1.6,**,10-8,35.4-33.9,34.9,460(+8),,,ロードクエスト,
13,2015/06/13,3東京3,晴,5,2歳新馬,201505030305,,18,4,8,12.9,7,1,吉田豊,54,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:22.7,-0.4,**,2-2,36.0-34.6,34.6,452(0),,,(ピュアブリリアン),700.0
