,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/01,3中山3,曇,11,ダービー卿チャレンジ(G3),201706030311,,16,4,8,3.6,2,3,戸崎圭太,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.8,0.1,**,11-10-10,36.2-34.7,33.9,506(-2),,,ロジチャリス,988.2
1,2017/01/15,1中山5,晴,10,ニューイヤーS(OP),201706010510,,16,2,3,2.4,1,2,戸崎圭太,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.7,0.2,**,7-8-6,35.1-34.9,34.6,508(+2),,,マイネルアウラート,929.6
2,2016/12/24,5阪神8,晴,11,阪神C(G2),201609050811,,15,8,16,10.4,3,7,福永祐一,57,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.2,0.3,**,8-8,34.9-35.4,35.0,506(+2),,,シュウジ,
3,2016/11/13,5東京4,曇,10,奥多摩S(1600万下),201605050410,,14,3,4,1.6,1,1,戸崎圭太,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.9,-0.3,**,11-11,35.7-34.1,33.2,504(+4),,,(ウエスタンメルシー),"1,850.1"
4,2016/10/01,4中山7,曇,11,秋風S(1600万下),201606040711,,16,5,9,2.9,1,2,戸崎圭太,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.8,0.2,**,10-11-10,35.7-34.9,34.0,500(+2),,,マルターズアポジー,739.8
5,2016/06/18,3東京5,晴,10,相模湖特別(1000万下),201605030510,,11,8,11,1.5,1,1,ルメール,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.6,-0.3,**,7-7,35.7-33.6,32.9,498(+2),,,(レインボーラヴラヴ),"1,524.5"
6,2016/03/13,2中山6,曇,10,東風S(OP),201606020610,,13,3,3,2.5,1,6,岩田康誠,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.7,0.2,**,10-12-13,35.7-35.3,34.7,496(+4),,,インパルスヒーロー,
7,2016/02/07,1東京4,晴,11,東京新聞杯(G3),201605010411,,14,1,1,8.3,3,10,池添謙一,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.8,0.7,**,12-12,36.0-33.5,33.0,492(-2),,,スマートレイアー,
8,2016/01/10,1中山3,晴,11,ニューイヤーS(OP),201606010311,,9,5,5,2.2,1,3,戸崎圭太,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.3,0.0,**,9-8-7,36.6-33.9,32.9,494(+2),,,ダイワリベラル,583.0
9,2015/11/28,5東京8,晴,11,キャピタルS(OP),201505050811,,18,2,4,6.4,3,3,ベリー,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.4,0.2,**,9-11,35.3-34.3,33.7,492(-2),,,サンライズメジャー,555.9
10,2015/10/24,4東京6,晴,11,富士S(G3),201505040611,,16,8,15,11.6,5,6,福永祐一,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.1,0.4,**,10-9,35.1-33.7,33.6,494(+2),,,ダノンプラチナ,
11,2015/09/13,4中山2,曇,11,京成杯オータムH(G3),201506040211,,16,3,6,5.7,3,4,福永祐一,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.3,0.0,**,12-11-9,35.4-34.6,34.0,492(+12),,,フラアンジェリコ,570.0
12,2015/05/10,2東京6,晴,11,NHKマイルC(G1),201505020611,,18,1,2,4.3,1,5,戸崎圭太,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.4,**,9-9,35.3-34.2,34.1,480(+2),,,クラリティスカイ,920.0
13,2015/04/11,3中山5,曇,11,ニュージーランドT(G2),201506030511,,16,5,9,3.0,1,2,戸崎圭太,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.9,0.1,**,16-16-16,35.0-35.8,33.7,478(-4),,,ヤマカツエース,"2,133.2"
14,2015/03/15,2中山6,曇,6,3歳500万下,201506020606,,12,7,9,2.8,2,1,戸崎圭太,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.4,-0.2,**,6-4-3,35.1-35.5,35.1,482(+4),,,(ミッキードラマ),720.0
15,2015/01/12,1中山5,晴,5,3歳未勝利,201506010505,,15,8,15,2.8,2,1,戸崎圭太,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.1,-0.3,**,11-6-6,34.7-36.1,35.7,478(+6),,,(ジャストフォーユー),500.0
16,2014/12/14,4中山4,晴,4,2歳未勝利,201406040404,,16,7,13,2.6,1,3,戸崎圭太,55,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:50.5,0.4,**,6-5-5-2,36.5-36.5,36.6,472(-4),,,ボルゲーゼ,130.0
17,2014/11/24,5東京7,晴,5,2歳新馬,201405050705,,13,6,9,2.4,1,2,福永祐一,55,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:52.0,0.0,**,5-5-5,38.5-34.1,33.7,476(0),,,カボスチャン,280.0
