,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2011/12/28,園田,晴,10.0,兵庫ゴールドトロフィ(G3),201150122810,,11,5.0,5,13.0,5.0,4,岩田康誠,58.5,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:27.8,0.5,,9-10-9-7,,36.6,494(+10),,,スーニ,168.0
1,2011/12/17,6阪神5,晴,11.0,阪神C(G2),201109060511,,18,2.0,3,25.4,9.0,7,岩田康誠,57.0,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.2,0.7,**,7-7,34.0-35.1,35.2,484(0),,,サンカルロ,
2,2011/11/20,6京都6,晴,11.0,マイルチャンピオンS(G1),201108060611,,18,3.0,6,24.5,10.0,15,岩田康誠,57.0,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:35.2,1.3,**,12-13,34.4-35.3,35.7,484(-4),,,エイシンアポロン,
3,2011/10/29,5京都7,晴,11.0,毎日放送賞スワンS(G2),201108050711,,18,8.0,16,23.5,9.0,6,岩田康誠,59.0,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:20.4,1.0,**,11-9,34.4-34.1,34.0,488(-4),,,リディル,
4,2011/06/05,3東京6,曇,11.0,安田記念(G1),201105030611,,18,8.0,17,30.9,10.0,12,岩田康誠,58.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.0,1.0,**,18-18,33.9-35.0,34.3,492(0),,,リアルインパクト,
5,2011/05/14,2東京7,晴,11.0,京王杯スプリングC(G2),201105020711,,17,8.0,16,9.8,5.0,8,岩田康誠,59.0,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:20.7,0.5,**,3-3,35.0-33.8,33.9,492(0),,,ストロングリターン,
6,2011/03/27,2阪神2,晴,11.0,高松宮記念(G1),201109020211,,16,7.0,14,12.7,6.0,9,岩田康誠,57.0,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.7,0.8,**,11-9,33.6-34.3,34.0,492(+4),,,キンシャサノキセキ,
7,2010/12/12,香港,,,香港マイル(G1),2010G0a00e07,,13,,6,,,4,岩田康誠,57.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,,1:35.0,,,,,,計不,,,,
8,2010/11/21,6京都6,晴,11.0,マイルチャンピオンS(G1),201008060611,,18,7.0,13,52.4,13.0,1,岩田康誠,57.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:31.8,0.0,**,8-7,33.7-35.1,34.3,488(+10),,,(ダノンヨーヨー),"10,403.2"
9,2010/10/30,5京都7,曇,11.0,毎日放送賞スワンS(G2),201008050711,,14,4.0,6,3.6,1.0,8,スミヨン,57.0,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.6,0.6,**,7-8,34.6-34.7,34.3,478(-8),,,マルカフェニックス,
10,2010/06/06,3東京6,晴,11.0,安田記念(G1),201005030611,,18,8.0,18,17.4,9.0,10,岩田康誠,58.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:32.6,0.9,**,1-1,33.6-35.4,36.3,486(+6),,,ショウワモダン,
11,2010/05/15,2東京7,晴,11.0,京王杯スプリングC(G2),201005020711,,17,8.0,17,2.3,1.0,4,岩田康誠,57.0,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:20.2,0.4,**,4-4,34.6-33.9,33.6,480(-2),,,サンクスノート,870.0
