,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2012/05/27,3京都12,晴,10,安土城S(OP),201208031210,,11,2,2,72.0,10,10,高倉稜,55,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.2,1.4,**,8-8,34.4-34.0,34.5,456(+2),,,ドリームバレンチノ,
1,2011/09/11,4中山2,晴,11,京成杯オータムH(G3),201106040211,,14,3,4,91.6,12,9,丹内祐次,54,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:32.7,0.8,**,9-10-10,34.0-35.3,35.2,454(-10),,,フィフスペトル,
2,2010/12/18,5阪神5,晴,11,阪神C(G2),201009050511,,17,2,4,140.8,15,3,ルメール,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:20.5,0.2,**,6-7,34.6-34.5,34.2,464(0),,,キンシャサノキセキ,"1,818.8"
3,2010/11/13,6京都3,曇,11,アンドロメダS(OP),201008060311,,13,8,13,216.6,12,12,川島信二,54,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:01.3,1.8,**,1-1-1-1,35.1-35.4,37.2,464(+8),,,アドマイヤメジャー,
4,2010/10/30,5京都7,曇,11,毎日放送賞スワンS(G2),201008050711,,14,3,3,115.1,14,6,川島信二,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.5,0.5,**,4-3,34.6-34.7,34.6,456(-4),,,マルカフェニックス,
5,2010/08/28,3新潟5,晴,11,朱鷺S(OP),201004030511,,14,1,1,10.7,5,7,伊藤工真,55,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.6,0.4,**,11-11,34.4-35.1,34.6,460(0),,,コパノオーシャンズ,
6,2010/06/20,2福島2,晴,11,バーデンバーデンC(OP),201003020211,,16,5,10,26.3,10,11,石橋脩,54,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.3,1.0,**,11-10,32.7-34.6,34.7,460(-4),,,ウエスタンビーナス,
7,2010/04/24,3京都1,晴,10,オーストラリアT(OP),201008030110,,18,8,16,71.5,15,11,小牧太,54,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:07.9,0.4,**,9-8,32.9-34.6,34.0,464(+2),,,サンダルフォン,
8,2010/02/13,1東京5,小雨,11,バレンタインS(OP),201005010511,,16,2,3,35.8,12,3,津村明秀,54,0.0,1.0,1400,1.0,0.0,0.0,0.0,**,1:22.3,0.2,**,5-5,35.4-35.0,34.8,462(-4),,,ゲイルスパーキー,555.0
9,2010/01/16,1中山5,晴,11,ニューイヤーS(OP),201006010511,,16,7,14,98.9,12,10,石橋脩,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,1.0,**,7-7-8,34.6-35.7,36.0,466(+4),,,レッドスパーダ,
10,2009/12/27,5阪神8,晴,12,2009ファイナルS(OP),200909050812,,13,1,1,33.4,9,7,和田竜二,54,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,0.8,**,3-2,35.4-34.7,35.2,462(+8),,,エーシンフォワード,
11,2009/11/28,5東京7,晴,11,キャピタルS(OP),200905050711,,18,4,7,92.0,14,13,三浦皇成,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.7,1.0,**,8-7,34.1-34.5,34.9,454(-6),,,トライアンフマーチ,
12,2009/10/04,4阪神8,晴,10,ポートアイランドS(OP),200909040810,,18,1,1,37.7,10,9,和田竜二,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,0.7,**,11-9,35.5-34.7,34.2,460(0),,,クラウンプリンセス,
13,2009/08/29,3新潟5,晴,11,朱鷺S(OP),200904030511,,18,3,6,17.3,9,10,木幡初広,55,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.8,0.8,**,12-14,33.5-35.6,35.5,460(0),,,マイケルバローズ,
14,2008/10/05,4阪神8,曇,10,ポートアイランドS(OP),200809040810,,18,6,11,13.2,5,4,川島信二,55,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:35.5,0.8,**,10-11,36.5-34.1,34.2,460(+8),,,マイネルレーニア,360.0
15,2008/09/14,4中山2,晴,11,京成杯オータムH(G3),200806040211,,16,8,15,12.9,7,9,松岡正海,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.1,1.0,**,9-9-10,32.8-36.2,36.3,452(-2),,,キストゥヘヴン,
