,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/12/24,5阪神8,晴,11.0,阪神C(G2),201609050811,,15,4.0,8,2.1,1,6,浜中俊,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.2,0.3,**,1-1,34.9-35.4,35.7,488(+4),,,シュウジ,
1,2016/11/20,5京都6,曇,11.0,マイルチャンピオンS(G1),201608050611,,18,8.0,16,5.9,3,1,浜中俊,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.1,0.0,**,1-1,34.4-35.6,35.6,484(-2),,,(イスラボニータ),"10,678.0"
2,2016/10/02,4中山8,晴,11.0,スプリンターズS(G1),201606040811,,16,8.0,15,8.2,2,2,松山弘平,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:07.6,0.0,**,1-1,33.4-34.2,34.2,486(-4),,,レッドファルクス,"3,996.0"
3,2016/03/27,2中京6,曇,11.0,高松宮記念(G1),201607020611,,18,3.0,6,3.9,2,2,松山弘平,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:06.8,0.1,**,3-3,32.7-34.0,33.8,490(+2),,,ビッグアーサー,"4,009.2"
4,2016/02/28,1阪神2,晴,11.0,阪急杯(G3),201609010211,,18,7.0,13,3.8,1,1,松山弘平,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:19.9,-0.1,**,1-1,33.8-34.7,34.7,488(+8),,,(オメガヴェンデッタ),"4,163.7"
5,2015/12/13,香港,,,香港スプリント(G1),2015G0a01a05,,14,,5,,5,7,浜中俊,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,,1:09.6,,,,,,計不,,,,
6,2015/10/04,4中山9,晴,11.0,スプリンターズS(G1),201506040911,,15,7.0,13,6.5,4,4,浜中俊,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.3,0.2,**,2-3,34.1-34.0,33.8,478(-2),,,ストレイトガール,"1,400.0"
7,2015/06/07,3東京2,晴,11.0,安田記念(G1),201505030211,,17,3.0,5,8.1,4,15,浜中俊,58,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.0,1.0,**,5-7,34.3-34.7,35.1,480(-6),,,モーリス,
8,2015/03/29,2中京6,小雨,11.0,高松宮記念(G1),201507020611,,18,8.0,16,5.2,3,3,浜中俊,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.6,0.1,**,4-4,34.0-34.5,34.2,486(+4),,,エアロヴェロシティ,"2,454.0"
9,2015/03/01,1阪神2,雨,11.0,阪急杯(G3),201509010211,,16,3.0,5,7.9,4,2,浜中俊,58,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.8,0.0,**,2-4,34.9-36.8,36.5,482(+4),,,ダイワマッジョーレ,"1,619.4"
10,2014/12/27,5阪神7,曇,11.0,阪神C(G2),201409050711,,18,3.0,6,3.7,1,7,浜中俊,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:21.1,0.4,**,2-2,34.3-35.2,35.5,478(0),,,リアルインパクト,
11,2014/11/23,5京都6,晴,11.0,マイルチャンピオンS(G1),201408050611,,17,8.0,15,4.4,1,13,浜中俊,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:32.8,1.3,**,2-1,33.7-34.8,36.1,478(+4),,,ダノンシャーク,
12,2014/11/01,4京都8,曇,11.0,毎日放送賞スワンS(G2),201408040811,,13,7.0,11,2.5,1,1,浜中俊,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:20.3,-0.1,**,1-1,35.1-33.9,33.9,474(+2),,,(サンライズメジャー),"5,798.0"
13,2014/06/08,3東京2,小雨,11.0,安田記念(G1),201405030211,,17,4.0,8,7.4,2,16,浜中俊,54,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:38.8,2.0,**,1-1,35.1-37.7,39.7,472(-6),,,ジャスタウェイ,
14,2014/05/11,2東京6,晴,11.0,NHKマイルC(G1),201405020611,,18,5.0,10,1.9,1,1,浜中俊,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.2,0.0,**,1-1,34.6-34.8,34.8,478(+8),,,(タガノブルグ),"9,582.2"
15,2014/03/01,1阪神1,小雨,11.0,アーリントンC(G3),201409010111,,10,8.0,10,1.4,1,1,浜中俊,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.0,-0.6,**,1-1,35.2-35.2,35.2,470(-6),,,(タガノグランパ),"3,735.7"
16,2014/01/12,1京都4,晴,11.0,日刊スポシンザン記念(G3),201408010411,,13,8.0,12,1.6,1,1,浜中俊,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.8,-0.1,**,1-1,35.5-34.1,34.1,476(-2),,,(ウインフルブルーム),"3,748.3"
17,2013/12/14,5中山5,晴,9.0,ひいらぎ賞(500万下),201306050509,,15,2.0,2,1.3,1,1,ムーア,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.2,-0.6,**,1-1-1,35.3-34.7,34.7,478(+2),,,(ピークトラム),983.6
18,2013/11/02,5京都1,晴,2.0,2歳未勝利,201308050102,,14,3.0,3,1.2,1,1,浜中俊,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:32.3,-0.8,**,1-1,34.5-34.6,34.6,476(-2),,,(エアカミュゼ),500.0
19,2013/09/07,4阪神1,曇,5.0,2歳新馬,201309040105,,13,8.0,12,3.5,2,2,浜中俊,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:37.6,0.1,**,2-2,36.2-34.6,34.7,478(0),,,アトム,280.0
