,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2009/10/04,4阪神8,晴,10.0,ポートアイランドS(OP),200909040810,,18,6,12,181.3,15,18,幸英明,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.4,2.0,**,2-2,35.5-34.7,36.4,534(+12),,,クラウンプリンセス,
1,2008/07/06,3阪神6,晴,10.0,米子S(OP),200809030610,,10,8,10,4.4,2,6,福永祐一,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.7,0.7,**,6-5,35.5-34.7,33.7,522(0),,,フサイチアウステル,
2,2008/04/27,香港,晴,,チャンピオンズマイル(G1),2008G0a00107,,10,8,9,,10,10,蛯名正義,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1.35.3,,,,,,計不,,,,
3,2008/03/30,1中京10,小雨,11.0,高松宮記念(G1),200807011011,,18,7,13,44.3,10,18,柴山雄一,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.4,1.3,**,17-17,33.4-33.7,33.5,526(+4),,,ファイングレイン,
4,2007/12/16,5阪神6,晴,11.0,阪神C(G2),200709050611,,18,7,13,37.4,11,6,四位洋文,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.9,0.3,**,3-3,34.4-34.6,34.8,522(-2),,,スズカフェニックス,
5,2007/11/18,5京都6,曇,11.0,マイルチャンピオンS(G1),200708050611,,18,2,4,31.6,10,10,後藤浩輝,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.5,0.8,**,4-2,34.4-34.7,35.3,524(+10),,,ダイワメジャー,
6,2007/10/20,4東京6,晴,11.0,富士S(G3),200705040611,,18,2,4,8.3,4,1,後藤浩輝,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.3,0.0,**,3-3,34.9-35.1,34.6,514(+4),,,(マイケルバローズ),"4,171.4"
7,2007/09/09,4中山2,晴,11.0,京成杯オータムH(G3),200706040211,,16,3,5,5.8,1,3,後藤浩輝,53,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.0,0.4,**,7-9-9,35.1-34.8,34.4,510(+8),,,キングストレイル,"1,008.6"
8,2007/05/06,2東京6,雨,11.0,NHKマイルC(G1),200705020611,,18,3,5,10.8,6,8,後藤浩輝,57,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.3,1.0,**,8-8,34.2-35.8,36.3,502(0),,,ピンクカメオ,
9,2007/04/15,3中山8,晴,11.0,皐月賞(G1),200706030811,,18,2,3,67.0,12,10,後藤浩輝,57,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:00.6,0.7,**,7-7-7-7,35.5-35.9,35.2,502(-2),,,ヴィクトリー,
10,2007/03/18,2中山8,晴,11.0,フジTVスプリングS(G2),200706020811,,11,8,11,5.2,3,2,後藤浩輝,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:49.1,0.1,**,2-2-2-2,36.0-36.7,36.7,504(-4),,,フライングアップル,"2,225.2"
11,2007/01/07,1中山2,晴,9.0,ジュニアC(OP),200706010209,,8,1,1,1.7,1,1,後藤浩輝,57,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:36.4,0.0,**,6-6-5,36.0-35.8,34.6,508(-4),,,(スズカコーズウェイ),"1,926.6"
12,2006/12/10,5中山4,晴,11.0,朝日フューチュリティ(G1),200606050411,,15,7,12,9.8,5,6,後藤浩輝,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.8,0.4,**,5-8-5,34.9-35.5,35.2,512(+10),,,ドリームジャーニー,
13,2006/10/21,4東京5,曇,9.0,いちょうS(OP),200605040509,,9,3,3,3.3,2,1,後藤浩輝,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.9,-0.1,**,7-6,36.0-35.0,34.5,502(+8),,,(エイシンイチモンジ),"1,621.7"
14,2006/10/08,4東京2,晴,5.0,2歳新馬,200605040205,,10,6,6,2.4,2,1,後藤浩輝,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:23.3,-0.5,**,6-6,35.5-35.3,34.6,494(0),,,(ドリームウィン),700.0
