,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2011/05/21,3東京1,晴,11,メイS(OP),201105030111,,18,2,4,153.3,14,16,柴田大知,57,0.0,1.0,1800,0.0,0.0,1.0,0.0,**,1:46.5,1.2,**,3-3-5,35.9-33.5,34.3,504(-8),,,ダンツホウテイ,
1,2011/05/01,1新潟4,曇,11,谷川岳S(OP),201104010411,,15,6,11,53.1,11,14,津村明秀,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.6,1.8,**,2-2,34.7-34.6,36.3,512(+4),,,リディル,
2,2011/03/26,2阪神1,晴,10,六甲S(OP),201109020110,,18,8,18,100.8,13,8,戸崎圭太,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:34.6,0.6,**,2-2,35.8-34.7,35.3,508(-6),,,ロードバリオス,
3,2011/02/20,2京都8,曇,11,洛陽S(OP),201108020811,,16,8,16,84.7,11,12,丹内祐次,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:36.3,1.7,**,2-2,34.8-36.3,37.8,514(+10),,,キングストリート,
4,2010/12/26,5阪神8,晴,12,2010ファイナルS(OP),201009050812,,14,8,14,44.4,9,10,和田竜二,56,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:35.3,1.2,**,4-4,35.9-34.3,35.1,504(-16),,,シルポート,
5,2010/11/28,5東京8,晴,9,キャピタルS(OP),201005050809,,18,4,7,58.7,11,15,松岡正海,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:34.2,1.0,**,3-3,35.0-34.8,35.6,520(+12),,,サンディエゴシチー,
6,2010/07/04,3阪神6,晴,10,米子S(OP),201009030610,,18,8,16,12.1,6,6,和田竜二,56,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:34.3,0.5,**,5-5,33.8-37.2,36.2,508(-6),,,タマモナイスプレイ,
7,2010/05/22,4京都1,曇,10,テレビ愛知OP(OP),201008040110,,18,8,18,8.5,5,4,福永祐一,57,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:20.5,0.3,**,5-4,34.9-34.0,34.0,514(+2),,,ショウナンラノビア,330.0
8,2010/05/02,1新潟2,晴,10,谷川岳S(OP),201004010210,,14,4,5,8.3,5,3,丹内祐次,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:33.6,0.2,**,1-1,35.8-34.3,34.5,512(-4),,,ラインプレアー,556.2
9,2010/04/03,2阪神3,晴,10,コーラルS(OP),201009020310,,16,1,1,12.0,4,14,和田竜二,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:25.8,3.0,**,1-1,34.5-36.3,39.3,516(-10),,,ナムラタイタン,
10,2009/10/24,4東京5,曇,11,富士S(G3),200905040511,,18,2,4,28.3,10,17,石橋脩,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:34.1,0.8,**,1-1,34.4-35.0,35.8,526(+10),,,アブソリュート,
11,2009/09/13,4中山2,晴,11,京成杯オータムH(G3),200906040211,,16,7,14,7.5,3,3,石橋脩,56,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:32.4,0.3,**,2-2-2,34.1-35.3,35.5,516(-6),,,ザレマ,"1,008.8"
12,2009/08/09,2新潟8,雨,11,関屋記念(G3),200904020811,,18,7,14,65.1,13,3,石橋脩,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.2,0.5,**,2-2,34.6-33.7,34.0,522(0),,,スマイルジャック,"1,009.1"
13,2009/05/03,1新潟2,曇,10,谷川岳S(OP),200904010210,,16,8,16,4.1,2,4,津村明秀,57,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:21.5,0.5,**,2-2,33.8-35.2,35.5,522(0),,,ホッカイカンティ,350.0
14,2009/04/05,3中山4,晴,11,ダービー卿チャレンジ(G3),200906030411,,15,1,2,7.0,2,6,松岡正海,56,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:33.9,0.2,**,4-3-4,35.2-35.0,35.0,522(-6),,,タケミカヅチ,
15,2009/03/14,2中山5,曇,11,東風S(OP),200906020511,,16,2,3,4.1,1,3,松岡正海,57,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:37.3,0.8,**,3-3-3,34.9-37.1,37.5,528(0),,,ショウワモダン,585.7
16,2009/02/14,1東京5,晴,11,バレンタインS(OP),200905010511,,16,3,5,6.6,4,4,松岡正海,56,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:21.4,0.1,**,2-4,35.4-34.3,34.2,528(+8),,,トウショウカレッジ,350.0
17,2008/07/06,1函館6,晴,11,函館スプリントS(G3),200802010611,,16,4,7,35.7,11,9,三浦皇成,56,0.0,1.0,1200,0.0,0.0,1.0,0.0,**,1:09.1,0.7,**,5-5,32.8-35.6,35.7,520(-6),,,キンシャサノキセキ,
18,2008/03/15,2中山5,晴,11,千葉S(OP),200806020511,,16,1,2,3.4,1,15,松岡正海,57,1.0,0.0,1200,0.0,0.0,0.0,1.0,**,1:11.3,1.8,**,1-1,33.5-36.0,37.8,526(+6),,,ゼンノコーラル,
19,2008/02/16,2京都5,曇,11,すばるS(OP),200808020511,,15,2,3,3.9,1,3,池添謙一,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:23.3,0.6,**,2-2,34.4-36.6,37.1,520(-6),,,ゼンノパルテノン,605.8
