,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2009/08/23,3小倉4,晴,10,小倉日経OP(OP),200910030410,,16,3,5,25.7,11,12,上村洋行,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:46.9,1.2,**,9-9-10-12,35.1-35.7,36.0,514(+8),,,マストビートゥルー,
1,2009/07/12,3阪神8,晴,10,プロキオンS(G3),200909030810,,16,5,9,103.4,13,9,上村洋行,58,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:24.1,1.4,**,7-7,34.6-36.3,37.0,506(-6),,,ランザローテ,
2,2008/05/11,3京都6,晴,11,都大路S(OP),200808030611,,18,6,12,15.8,7,15,上村洋行,56,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:36.1,1.0,**,9-7,35.9-35.2,35.8,512(+2),,,フサイチアウステル,
3,2008/04/13,1福島2,曇,11,福島民報杯(OP),200803010211,,16,7,13,10.9,5,12,北村友一,56,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:01.5,1.3,**,5-5-6-6,34.8-37.0,37.9,510(-2),,,フィールドベアー,
4,2008/03/15,1阪神5,晴,11,大阪城S(OP),200809010511,,16,1,2,15.3,8,4,上村洋行,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:46.6,0.5,**,9-9,34.9-35.3,35.2,512(+6),,,オースミグラスワン,360.0
5,2008/02/09,1小倉7,曇,11,小倉大賞典(G3),200810010711,,16,1,2,73.3,12,9,北村友一,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:48.3,0.6,**,14-14-11-10,35.8-35.9,35.8,506(+6),,,アサカディフィート,
6,2007/05/05,1新潟3,晴,11,新潟大賞典(G3),200704010311,,16,7,14,21.6,12,8,藤岡佑介,56,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,1:58.1,0.4,**,5-5,35.3-34.4,34.3,500(+2),,,ブライトトゥモロー,
7,2007/04/01,3中山4,晴,11,ダービー卿チャレンジ(G3),200706030411,,15,7,12,6.4,2,11,内田博幸,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,0.9,**,6-6-6,35.0-35.4,35.7,498(-12),,,ピカレスクコート,
8,2007/03/10,1阪神5,曇,11,大阪城S(OP),200709010511,,12,4,4,10.7,6,8,安藤勝己,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.4,0.2,**,9-7,36.0-34.7,34.3,510(0),,,スーパーホーネット,
9,2007/02/17,2京都7,雨,11,京都記念(G2),200708020711,,14,4,6,35.4,7,8,ルメール,56,0.0,1.0,2200,1.0,0.0,0.0,0.0,**,2:17.9,0.7,**,5-5-5-5,38.6-35.6,35.9,510(+6),,,アドマイヤムーン,
10,2007/01/06,1中山1,雨,11,日刊スポ賞中山金杯(G3),200706010111,,16,5,10,24.4,11,4,内田博幸,56,0.0,1.0,2000,0.0,0.0,1.0,0.0,**,2:04.0,1.6,**,9-9-11-9,36.0-38.0,38.9,504(-2),,,シャドウゲイト,650.0
11,2006/11/19,6京都6,小雨,11,マイルチャンピオンS(G1),200608060611,,18,2,4,36.7,9,17,ルメール,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,1.4,**,12-11,34.0-35.2,35.6,506(-4),,,ダイワメジャー,
12,2006/11/04,6京都1,晴,11,カシオペアS(OP),200608060111,,13,5,6,4.0,3,8,武豊,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.3,0.5,**,5-5,37.0-33.4,33.4,510(+8),,,スーパーホーネット,
13,2006/10/08,4東京2,晴,11,毎日王冠(G2),200605040211,,16,4,8,11.1,5,16,武豊,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:46.6,1.1,**,4-4-5,34.7-34.6,35.4,502(+14),,,ダイワメジャー,
14,2006/05/28,3東京4,晴,10,東京優駿(G1),200605030410,,18,2,3,46.3,11,5,幸英明,57,0.0,1.0,2400,1.0,0.0,0.0,0.0,**,2:28.5,0.6,**,10-10-6-7,37.4-35.3,35.4,488(0),,,メイショウサムソン,"1,500.0"
15,2006/05/07,2東京6,雨,11,NHKマイルC(G1),200605020611,,18,3,6,8.7,3,1,武豊,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.2,0.0,**,11-10,34.2-35.7,35.0,488(0),,,(ファイングレイン),"9,599.0"
16,2006/04/08,3中山5,曇,11,ニュージーランドT(G2),200606030511,,12,6,8,5.3,2,3,内田博幸,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.7,0.2,**,6-7-6,34.6-35.7,35.2,488(-6),,,マイネルスケルツィ,"1,413.2"
17,2006/02/25,1阪神1,晴,11,アーリントンC(G3),200609010111,,15,4,6,9.4,5,2,武豊,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:35.3,0.6,**,9-9-5,35.1-35.6,35.3,494(+2),,,ステキシンスケクン,"1,616.4"
18,2006/01/09,1京都4,晴,11,日刊スポシンザン記念(G3),200608010411,,9,7,7,3.0,2,3,武豊,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.9,0.5,**,2-2,35.6-34.7,35.1,492(-8),,,ゴウゴウキリシマ,"1,005.3"
19,2005/12/17,5阪神5,晴,9,さざんかS(OP),200509050509,,9,5,5,3.3,2,2,武豊,56,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:22.0,0.0,**,3-2,34.3-35.9,35.3,500(-2),,,イースター,647.4
20,2005/11/20,5京都6,晴,5,2歳500万下,200508050605,,8,1,1,2.3,2,1,武豊,55,0.0,1.0,1400,0.0,1.0,0.0,0.0,,1:22.7,-0.2,,3-3,35.8-35.1,34.8,502(-6),,,(ウインレジェンド),700.0
21,2005/10/29,4京都7,曇,9,萩S(OP),200508040709,,8,1,1,4.6,3,3,安藤勝己,55,0.0,1.0,1800,0.0,0.0,1.0,0.0,,1:50.0,0.9,,3-3,36.6-34.4,34.8,508(+2),,,フサイチリシャール,402.9
