,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
23,2007/05/06,3京都6,雨,11,都大路S(OP),200708030611,,15,1,1,13.6,6,2,角田晃一,54,1.0,0.0,1600,0.0,0.0,0.0,1.0,**,1:36.6,0.2,**,15-15,35.1-37.2,35.6,494(0),,,スーパーホーネット,971.0
24,2007/04/29,1新潟2,晴,11,谷川岳S(OP),200704010211,,16,8,16,38.4,11,9,安藤光彰,55,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:20.8,0.7,**,16-16,33.4-35.3,34.4,494(+4),,,キンシャサノキセキ,
25,2007/04/01,3中山4,晴,11,ダービー卿チャレンジ(G3),200706030411,,15,1,1,33.4,11,3,吉田隼人,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.5,0.4,**,13-15-15,35.0-35.4,34.5,490(-2),,,ピカレスクコート,"1,008.8"
26,2007/03/18,2中山8,晴,10,東風S(OP),200706020810,,16,8,16,44.5,10,11,木幡初広,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.1,0.5,**,16-16-15,34.5-36.4,34.7,492(+2),,,キングストレイル,
27,2007/02/25,1阪神2,晴,11,阪急杯(G3),200709010211,,16,5,10,282.9,15,12,スボリッ,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:21.2,0.7,**,14-13,34.3-34.8,34.5,490(-4),,,プリサイスマシーン,
28,2007/02/03,1小倉5,晴,11,小倉大賞典(G3),200710010511,,15,8,16,107.4,15,10,赤木高太,54,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:47.6,0.8,**,15-15-14-13,35.5-36.0,35.3,494(+4),,,アサカディフィート,
29,2007/01/13,1中山4,晴,11,ニューイヤーS(OP),200706010411,,15,6,12,42.2,12,7,塚田祥雄,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.0,0.6,**,14-12-12,35.1-35.5,34.8,490(+6),,,ダンスインザモア,
30,2006/09/10,4中山2,晴,11,京成杯オータムH(G3),200606040211,,15,5,9,46.3,14,11,木幡初広,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.0,1.0,**,15-14-13,34.3-35.3,35.0,484(-6),,,ステキシンスケクン,
31,2006/07/30,2函館6,晴,9,UHB杯(OP),200602020609,,14,5,7,20.5,10,7,藤田伸二,55,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:10.9,0.2,**,11-10,34.1-36.6,35.7,490(+4),,,ツルガオカハヤテ,
32,2006/07/02,1函館6,曇,11,函館スプリントS(G3),200602010611,,13,8,14,60.7,12,11,塚田祥雄,56,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:10.0,0.9,**,13-13,34.1-35.0,34.1,486(-4),,,ビーナスライン,
33,2006/05/20,2中京1,晴,11,テレビ愛知OP(OP),200607020111,,15,8,14,11.1,5,7,幸英明,56,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.7,0.7,**,7-7,34.2-34.8,34.9,490(-2),,,ワイルドシャウト,
34,2006/05/07,3京都6,雨,11,都大路S(OP),200608030611,,10,6,6,12.8,7,4,幸英明,55,1.0,0.0,1600,0.0,0.0,0.0,1.0,**,1:36.0,0.5,**,10-10,35.6-36.8,35.2,492(0),,,ロードマジェスティ,360.0
35,2006/04/15,2阪神7,雨,11,読売マイラーズC(G2),200609020711,,11,7,9,58.7,9,9,幸英明,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:37.6,1.4,**,11-10-9,36.7-34.9,35.2,492(+6),,,ダイワメジャー,
36,2006/04/02,3中山4,曇,11,ダービー卿チャレンジ(G3),200606030411,,16,7,13,18.2,9,10,内田博幸,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.2,0.8,**,16-13-13,35.1-34.3,33.5,486(+4),,,グレイトジャーニー,
37,2006/01/14,1中山5,雨,11,ニューイヤーS(OP),200606010511,,15,3,4,6.9,3,7,木幡初広,55,1.0,0.0,1600,0.0,0.0,0.0,1.0,**,1:36.6,1.0,**,15-15-15,35.3-36.9,35.3,482(-4),,,ロードマジェスティ,
38,2006/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),200608010111,,16,7,14,18.4,8,13,安藤勝己,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.1,1.1,**,15-14,35.1-34.9,34.9,486(+2),,,ビッグプラネット,
39,2005/11/20,5京都6,晴,11,マイルチャンピオンS(G1),200508050611,,17,5,10,68.2,11,15,安藤勝己,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:33.1,1.0,,17-17,34.2-35.0,33.4,484(+2),,,ハットトリック,
40,2005/10/29,4京都7,曇,11,毎日放送賞スワンS(G2),200508040711,,18,5,9,15.1,9,4,安藤勝己,56,1.0,0.0,1400,0.0,0.0,0.0,1.0,,1:21.6,0.1,,18-17,34.3-35.9,33.7,482(0),,,コスモサンビーム,900.0
