,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2010/09/09,笠松,晴,9,高原特別,201047090909,,9,3,3,39.4,6,9,小林拓未,58,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,,1:45.8,5.5,,9-9-9,,37.6,471(-2),,,エーシンアクセラン,
1,2010/08/16,盛岡,曇,9,クラスターC(G3),201035081609,,11,4,4,579.8,11,11,坂口裕一,56,1.0,0.0,0.0,1200,0.0,1.0,0.0,0.0,,1:14.6,5.7,,11-11,,38.0,473(+1),,,サマーウインド,
2,2010/07/22,笠松,晴,10,第9回飛騨牛C,201047072210,,7,4,4,44.6,7,6,森島貴之,55,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,,1:45.1,2.5,,7-7-7,,38.3,472(-5),,,エーシンエヴァン,
3,2010/07/01,園田,曇,11,園田フレンドリーカッ,201050070111,,12,8,12,188.3,12,10,花本正三,56,1.0,0.0,0.0,1230,0.0,0.0,1.0,0.0,,1:19.9,1.5,,12-12-12-12,,38.0,477(-6),,,アルドラゴン,
4,2010/06/11,笠松,晴,10,サマーC(OP),201047061110,,10,8,10,45.5,8,8,尾島徹,57,1.0,0.0,0.0,1400,0.0,0.0,1.0,0.0,,1:28.3,2.9,,9-9-9,,37.1,483(-1),,,エーシンアクセラン,
5,2010/05/28,笠松,晴,10,ローレル争覇(OP),201047052810,,9,2,2,66.7,9,7,高木健,58,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,,1:57.2,3.5,,4-5-8-5,,40.8,484(+3),,,ヒシウォーシイ,
6,2010/05/14,笠松,晴,12,東海クラウン(OP),201047051412,,10,8,9,65.8,7,6,花本正三,56,1.0,0.0,0.0,1400,0.0,0.0,1.0,0.0,,1:28.7,1.6,,9-9-9,,37.9,481(-4),,,エーシンアクセラン,
7,2010/04/09,笠松,曇,10,スプリング争覇(OP),201047040910,,10,4,4,34.9,6,7,尾島徹,56,1.0,0.0,0.0,1900,0.0,0.0,1.0,0.0,,2:05.1,3.7,,3-3-2-7,,42.4,485(+1),,,ヒシウォーシイ,
8,2010/03/30,名古屋,晴,10,アクアマリンOP,201048033010,,11,8,10,9.2,4,8,尾島徹,56,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,,1:45.4,1.8,,6-6-7,,41.1,484(+1),,,サンキンスピーチ,
9,2010/03/04,園田,雨,10,六甲盃,201050030410,,10,7,7,24.3,5,4,尾島徹,56,1.0,0.0,0.0,2400,0.0,0.0,0.0,1.0,,2:43.8,1.0,,3-3-5-5,,38.8,483(-2),,,アルドラゴン,21.0
10,2010/02/11,笠松,雨,10,東海クラウン(OP),201047021110,,10,8,9,2.4,2,4,山口竜一,58,1.0,0.0,0.0,1800,1.0,0.0,0.0,0.0,,1:55.8,0.6,,3-3-3-2,,,485(+5),,,エーシンアクセラン,7.0
11,2010/01/22,笠松,晴,9,ウインター争覇(OP),201047012209,,10,2,2,17.8,3,2,山口竜一,56,1.0,0.0,0.0,1900,0.0,0.0,0.0,1.0,,2:01.9,0.4,,2-2-3-2,,,480(-6),,,マイネルアラバンサ,52.5
12,2010/01/08,笠松,晴,10,白銀争覇(OP),201047010810,,10,3,3,9.8,4,9,山口竜一,57,1.0,0.0,0.0,1400,0.0,0.0,0.0,1.0,,1:28.9,2.0,,7-7-9,,,486(+2),,,ベストタイザン,
13,2009/11/29,5京都8,曇,10,北國新聞杯(1000万下),200908050810,,12,4,4,278.3,12,7,安藤光彰,57,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:51.7,1.4,**,7-6-6-6,35.5-37.2,37.8,484(0),,,ピイラニハイウェイ,
14,2009/11/07,5京都1,晴,9,花背特別(1000万下),200908050109,,16,8,16,271.9,14,15,安藤光彰,57,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:54.2,2.9,**,3-3-3-3,36.0-38.0,40.6,484(-4),,,チャームナデシコ,
15,2009/05/02,3京都3,晴,11,4歳上1000万下,200908030311,,14,8,14,9.7,3,12,武豊,57,1.0,0.0,0.0,1900,0.0,0.0,1.0,0.0,**,2:00.5,1.1,**,6-7-9-13,29.6-38.0,38.4,488(+2),,,モチ,
16,2009/04/11,2阪神5,晴,11,4歳上1000万下,200909020511,,15,7,12,21.7,6,9,田中勝春,57,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:53.2,2.3,**,3-4-3-4,36.3-36.6,38.3,486(-4),,,バンブーアズーリ,
17,2009/03/29,2阪神2,晴,9,四国新聞杯(1000万下),200909020209,,15,7,12,10.3,4,5,小牧太,57,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:53.3,0.3,**,1-1-1-1,37.2-38.1,38.4,490(+12),,,テイエムザエックス,148.0
18,2009/01/18,1中京4,雨,12,天白川特別(1000万下),200907010412,,16,6,12,14.9,7,5,安藤光彰,57,1.0,0.0,0.0,1700,0.0,0.0,1.0,0.0,**,1:45.8,0.4,**,5-6-5-4,28.4-39.2,38.9,478(0),,,トーホウアタック,143.0
19,2009/01/05,1京都2,曇,8,4歳上1000万下,200908010208,,12,7,10,6.0,4,4,小牧太,57,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:53.1,0.2,**,2-2-2-2,36.4-36.6,36.7,478(-2),,,ハードシーキング,160.0
20,2008/12/21,3中京4,曇,10,香嵐渓特別(1000万下),200807030410,,16,1,2,28.1,6,4,安藤光彰,57,1.0,0.0,0.0,1700,0.0,0.0,1.0,0.0,**,1:45.9,0.5,**,4-4-4-4,29.0-37.1,37.3,480(+4),,,ランザローテ,210.0
21,2008/10/05,4中山8,曇,12,江戸川特別(1000万下),200806040812,,15,3,6,5.5,2,8,柴田善臣,57,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:53.9,0.8,**,3-3-2-2,37.1-38.6,39.1,476(0),,,エアマックール,
22,2008/09/20,4中山3,晴,10,松戸特別(1000万下),200806040310,,15,7,13,11.8,5,2,柴田善臣,55,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:51.0,0.3,**,1-1-1-1,36.9-37.2,37.5,476(+2),,,ハイオン,601.8
23,2008/08/31,3小倉6,晴,10,平尾台特別(1000万下),200810030610,,16,1,2,5.1,3,14,石橋守,57,1.0,0.0,0.0,1700,0.0,1.0,0.0,0.0,**,1:46.2,1.5,**,3-3-3-2,29.4-38.0,39.4,474(-2),,,キクノサリーレ,
24,2008/08/10,2新潟8,晴,10,瀬波温泉特別(1000万下),200804020810,,15,8,15,10.9,4,3,松岡正海,57,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:52.4,0.4,**,2-2-2-2,35.0-38.8,39.0,476(+2),,,トーセンベルボーイ,374.8
25,2008/07/13,3阪神8,晴,11,小豆島特別(1000万下),200809030811,,18,6,11,34.2,14,14,石橋守,57,0.0,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:23.1,1.3,**,12-10,34.4-35.8,36.2,474(-2),,,ホーマンファラオ,
26,2008/07/05,3阪神5,晴,11,三木特別(1000万下),200809030511,,9,6,6,20.7,6,4,石橋守,57,0.0,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:47.8,0.7,**,1-1,35.7-34.8,35.5,476(-2),,,エルソルダード,220.0
27,2008/03/29,2阪神1,晴,9,山陽特別(1000万下),200809020109,,15,5,8,79.8,12,3,石橋守,57,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.5,0.2,**,2-2,35.7-34.3,34.4,478(-2),,,キャプテンベガ,375.2
28,2008/03/16,1阪神6,晴,9,丹波特別(1000万下),200809010609,,13,8,13,21.1,6,9,石橋守,56,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:36.9,0.8,**,2-2,37.2-33.9,34.5,480(+2),,,ライトグランデュア,
29,2008/03/01,1中京1,晴,11,中京スポニチ賞(1000万下),200807010111,,18,4,7,15.0,7,5,赤木高太,56,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.2,0.4,**,7-7,33.1-35.7,34.8,478(0),,,バルバレスコ,143.0
30,2008/02/16,2京都5,曇,9,宇治川特別(1000万下),200808020509,,16,7,13,21.4,8,12,石橋守,57,0.0,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:23.6,1.1,**,8-8,35.4-35.1,35.7,478(-4),,,スーパーワシントン,
