,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/11/20,5京都6,曇,11,マイルチャンピオンS(G1),201608050611,,18,2,4,12.4,6,9,池添謙一,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.5,**,15-14,34.4-35.6,34.8,450(-2),,,ミッキーアイル,
1,2016/10/22,4東京6,曇,11,富士S(G3),201605040611,,11,8,11,2.1,1,9,池添謙一,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.5,0.5,**,11-10,36.3-34.2,33.6,452(0),,,ヤングマンパワー,
2,2016/09/11,4中山2,曇,11,京成杯オータムH(G3),201606040211,,15,5,10,2.8,1,1,池添謙一,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.0,-0.1,**,12-10-6,35.1-35.0,34.2,452(+2),,,(カフェブリリアント),"3,956.0"
3,2016/05/29,2東京12,晴,10,東京優駿(G1),201605021210,,18,4,7,70.0,9,11,岩田康誠,57,1.0,0.0,2400,0.0,1.0,0.0,0.0,**,2:25.0,1.0,**,11-11-11-10,35.6-34.2,34.2,450(+4),,,マカヒキ,
4,2016/05/08,2東京6,晴,11,NHKマイルC(G1),201605020611,,18,3,5,6.4,2,2,池添謙一,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:32.9,0.1,**,16-16,34.3-35.1,33.8,446(-6),,,メジャーエンブレム,"3,910.4"
5,2016/04/17,3中山8,晴,11,皐月賞(G1),201606030811,,18,7,14,21.8,5,8,池添謙一,57,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,1:59.1,1.2,**,10-10-11-5,34.2-35.6,35.4,452(-2),,,ディーマジェスティ,
6,2016/03/20,2中山7,晴,11,フジTVスプリングS(G2),201606020711,,11,8,10,1.7,1,3,池添謙一,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:48.2,0.1,**,10-10-10-10,36.0-36.2,35.0,454(+2),,,マウントロブソン,"1,411.4"
7,2015/12/27,5中山8,曇,9,ホープフルS(G2),201506050809,,12,6,9,1.9,1,2,Ｍ．デム,55,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:02.0,0.2,**,12-12-11-7,36.6-35.3,34.1,452(+4),,,ハートレー,"2,613.6"
8,2015/08/30,2新潟10,曇,11,新潟2歳S(G3),201504021011,,18,1,2,3.6,1,1,田辺裕信,54,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.8,-0.7,**,18-17,35.4-33.9,32.8,448(+4),,,(ウインファビラス),"3,063.0"
9,2015/06/07,3東京2,晴,5,2歳新馬,201505030205,,14,8,14,21.2,6,1,Ｍ．デム,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.7,-0.3,**,11-10,37.4-33.9,33.2,444(0),,,(ブレイブスマッシュ),700.0
