,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2008/04/26,3京都1,晴,4,障害4歳上OP,200808030104,,12,8,11,13.3,3,6,金折知則,59,0.0,0.0,1.0,3170,0.0,0.0,1.0,0.0,,3:33.8,3.2,,2-3-3-4,106.0-40.0,13.5,494(+2),,,ゴールデンシャイン,
1,2008/04/05,2阪神3,晴,4,障害4歳上未勝利,200809020304,,14,1,1,4.1,2,1,金折知則,60,0.0,0.0,1.0,2970,0.0,0.0,1.0,0.0,,3:17.4,-1.2,,1-1-1-1,107.0-41.3,13.3,492(+2),,,(インカム),850.0
2,2008/03/16,1阪神6,晴,4,障害4歳上未勝利,200809010604,,14,6,9,15.2,5,3,金折知則,60,0.0,0.0,1.0,2970,0.0,0.0,1.0,0.0,,3:19.1,0.6,,3-3-3-3,107.0-40.6,13.4,490(-4),,,トーセンエタニティ,210.0
3,2008/01/20,1小倉2,雨,9,4歳上500万下,200810010209,,17,6,12,15.3,5,9,鮫島克也,57,0.0,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:12.3,0.9,**,10-8,34.1-37.3,37.3,494(+12),,,ベレッツァ,
4,2007/06/23,3阪神3,晴,12,3歳上500万下,200709030312,,16,1,1,17.5,6,6,金折知則,57,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.2,1.0,**,8-8,33.7-34.5,34.5,482(-8),,,サインゴールド,
5,2007/05/26,2中京3,晴,9,御嶽特別(1000万下),200707020309,,16,8,15,59.7,12,16,藤岡康太,52,1.0,0.0,0.0,1700,0.0,0.0,0.0,1.0,**,1:48.0,3.1,**,3-3-6-10,29.4-38.9,41.2,490(-2),,,キーンゲイル,
6,2007/03/10,1中京3,晴,12,伊良湖特別(1000万下),200707010312,,16,5,10,93.2,12,16,赤木高太,57,1.0,0.0,0.0,1700,0.0,0.0,1.0,0.0,**,1:48.9,2.9,**,3-4-3-5,29.9-37.4,40.0,492(-12),,,チャイナドール,
7,2007/02/03,2京都3,晴,9,大津特別(1000万下),200708020309,,16,4,8,72.5,11,8,渡辺薫彦,52,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:53.3,0.8,**,11-11-8-8,36.6-36.9,36.8,504(0),,,タガノエクリプス,
8,2007/01/20,1京都6,晴,12,4歳上1000万下,200708010612,,15,2,3,32.0,7,9,ルメール,56,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:54.2,0.8,**,7-7-7-8,36.9-36.9,37.1,504(+4),,,ロングベネフィット,
9,2007/01/07,1京都2,晴,12,4歳上1000万下,200708010212,,16,3,5,108.9,15,7,太宰啓介,56,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:53.5,1.1,**,8-8-12-14,35.7-38.1,37.9,500(+2),,,アグネスケイオー,
10,2006/11/12,6京都4,晴,9,3歳上1000万下,200608060409,,16,6,11,115.4,14,10,金折知則,55,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:53.7,2.3,**,7-6-6-7,35.8-37.4,39.2,498(+4),,,メガトレンド,
11,2006/10/29,5京都8,曇,10,高雄特別(1000万下),200608050810,,17,7,13,131.3,15,13,金折知則,52,0.0,1.0,0.0,2400,0.0,0.0,1.0,0.0,**,2:27.3,1.9,**,8-8-5-4,34.3-36.1,37.0,494(+6),,,トウカイエリート,
12,2006/07/23,2小倉4,雨,9,天草特別(1000万下),200610020409,,15,7,13,13.6,6,13,金折知則,52,1.0,0.0,0.0,1700,0.0,1.0,0.0,0.0,**,1:46.5,2.2,**,3-3-4-9,28.6-38.3,40.2,488(-4),,,セルリアングルーヴ,
13,2006/06/18,4京都2,晴,9,乙訓特別(1000万下),200608040209,,17,1,1,17.3,9,12,和田竜二,52,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.6,1.0,**,1-1,35.3-35.8,36.8,492(+8),,,ワディラム,
14,2006/05/27,2中京3,曇,10,白百合S(OP),200607020310,,16,4,8,59.4,13,9,小牧太,56,0.0,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:48.2,0.6,**,1-1-1-1,35.2-36.6,37.2,484(+8),,,エムエスワールド,
