,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2011/12/01,園田,曇,11,西宮えべっさんの酒特,201150120111,,12,7,9,8.8,5,中,三野孝徳,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,,,,,8-8,,,531(-3),,,タガノブリガデイロ,
1,2011/01/10,1京都4,曇,11,淀短距離S(OP),201108010411,,16,5,10,59.7,12,10,渡辺薫彦,55,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.6,0.8,**,1-1,33.6-35.2,36.0,534(+16),,,ショウナンカザン,
2,2010/07/04,3阪神6,晴,10,米子S(OP),201009030610,,18,2,3,10.2,5,16,浜中俊,53,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:35.3,1.5,**,3-3,33.8-37.2,37.5,518(+6),,,タマモナイスプレイ,
3,2010/05/22,3東京1,晴,11,メイS(OP),201005030111,,16,6,12,58.5,10,7,勝浦正樹,55,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:46.5,0.8,**,1-2-3,34.6-35.3,35.7,512(-12),,,ショウワモダン,
4,2010/03/14,2中山6,晴,10,東風S(OP),201006020610,,14,7,12,55.8,10,4,岩田康誠,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.3,0.4,**,2-2-2,35.6-35.0,35.3,524(+6),,,フィフスペトル,330.0
5,2009/12/27,4中京6,晴,12,尾張S(OP),200907040612,,15,6,10,7.3,3,9,鮫島良太,55,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.1,0.8,**,4-4,33.4-33.9,34.3,518(-2),,,ヘッドライナー,
6,2009/11/28,5京都7,晴,11,京阪杯(G3),200908050711,,18,8,17,49.6,11,14,ルメール,56,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.7,1.1,**,17-16,33.1-34.5,33.6,520(0),,,プレミアムボックス,
7,2009/11/07,5京都1,晴,11,京洛S(OP),200908050111,,18,6,12,80.5,12,6,小牧太,53,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:07.7,0.1,**,2-1,33.6-34.0,34.1,520(+6),,,エイシンタイガー,
8,2008/12/28,5阪神8,晴,12,2008ファイナルS(OP),200809050812,,18,2,4,81.8,15,17,武幸四郎,53,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:36.1,1.4,**,2-3,35.8-35.5,36.5,514(+4),,,フィールドベアー,
9,2008/12/20,5中山5,晴,11,ディセンバーS(OP),200806050511,,11,3,3,17.6,9,11,村田一誠,55,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:48.7,1.2,**,1-1-2-2,35.9-36.0,36.9,510(-4),,,トウショウシロッコ,
10,2008/11/16,5東京4,曇,11,オーロC(OP),200805050411,,18,5,10,24.1,10,11,村田一誠,53,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.7,1.2,**,2-2,34.6-34.2,35.2,514(-4),,,ヤマニンエマイユ,
11,2008/10/25,4京都5,曇,11,室町S(OP),200808040511,,16,6,11,18.0,7,15,浜中俊,54,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:12.4,2.3,**,2-2,33.8-36.3,38.4,518(0),,,カルナバリート,
12,2008/09/27,4阪神5,晴,10,エニフS(OP),200809040510,,16,6,12,8.4,4,12,武豊,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:24.8,1.3,**,2-2,34.1-37.5,38.4,518(+10),,,アイスドール,
13,2008/03/02,1阪神2,晴,11,阪急杯(G3),200809010211,,16,4,8,59.0,13,14,長谷川浩,56,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:22.4,1.7,**,2-2,34.7-34.6,36.2,508(-6),,,ローレルゲレイロ,
14,2008/02/09,1小倉7,曇,11,小倉大賞典(G3),200810010711,,16,5,9,8.9,4,15,和田竜二,55,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:50.5,2.8,**,2-3-3-6,35.8-35.9,38.5,514(-8),,,アサカディフィート,
15,2008/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),200808010111,,16,1,1,22.1,8,14,和田竜二,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:35.1,1.5,**,1-1,35.3-34.6,36.1,522(+12),,,エイシンデピュティ,
16,2007/05/26,2中京3,晴,10,白百合S(OP),200707020310,,13,6,8,4.4,3,1,武豊,58,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:47.2,0.0,**,1-1-1-1,35.4-35.1,35.1,510(0),,,(コンティネント),"1,931.5"
17,2007/05/06,2東京6,雨,11,NHKマイルC(G1),200705020611,,18,2,3,6.7,2,12,岩田康誠,57,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:35.5,1.2,**,2-2,34.2-35.8,36.9,510(+2),,,ピンクカメオ,
18,2006/12/10,5中山4,晴,11,朝日フューチュリティ(G1),200606050411,,15,6,11,2.1,1,3,ペリエ,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.6,0.2,**,2-1-1,34.9-35.5,35.7,508(-2),,,ドリームジャーニー,"1,516.4"
19,2006/10/14,5京都3,晴,11,デイリー杯2歳S(G2),200608050311,,13,4,4,1.3,1,1,武豊,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.3,-0.1,**,8-6,35.3-35.0,34.6,510(+4),,,(ローレルゲレイロ),"3,850.4"
20,2006/09/17,3中京3,曇,9,野路菊S(OP),200607030309,,10,2,2,1.2,1,1,武豊,54,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:49.3,-0.3,**,1-1-1-1,36.9-34.2,34.2,506(+12),,,(ケイアイマイスキー),"1,621.0"
21,2006/06/18,4京都2,晴,5,2歳新馬,200608040205,,10,4,4,1.2,1,1,武豊,54,0.0,1.0,1200,1.0,0.0,0.0,0.0,**,1:11.6,-0.8,**,1-1,36.4-35.2,35.2,494(0),,,(マイネルカーロ),700.0
