,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/09,3中山6,雨,10,隅田川特別(1000万下),201706030610,,16,2,3,149.6,15,10,石橋脩,55.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:38.5,2.6,**,3-5-6,35.9-36.6,38.8,466(+4),,,エクラミレネール,
1,2016/11/19,5東京5,曇,12,3歳上1000万下,201605050512,,15,2,3,21.8,8,12,柴田大知,57.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.4,1.2,**,2-2,36.1-34.2,35.3,462(+4),,,ワキノヒビキ,
2,2016/11/12,5東京3,晴,10,三鷹特別(1000万下),201605050310,,18,8,17,61.7,11,6,柴田大知,55.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.4,0.3,**,4-4,35.4-34.9,34.6,458(0),,,カシノピカチュウ,
3,2016/10/16,4東京5,晴,12,神奈川新聞杯(1000万下),201605040512,,15,1,1,49.5,13,7,柴田大知,55.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.4,0.9,**,10-9,34.1-35.3,35.5,458(-4),,,アルジャンテ,
4,2016/09/11,4中山2,曇,9,木更津特別(1000万下),201606040209,,10,4,4,51.5,10,8,柴田大知,55.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.2,0.7,**,4-4-7,34.8-35.7,35.9,462(-2),,,ドーヴァー,
5,2016/08/14,2新潟6,晴,10,豊栄特別(1000万下),201604020610,,18,6,11,76.5,15,11,柴田大知,56.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.9,1.0,**,5-7,33.3-34.9,35.4,464(0),,,ロワアブソリュー,
6,2016/06/18,3東京5,晴,10,相模湖特別(1000万下),201605030510,,11,3,3,55.9,9,5,津村明秀,57.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.1,0.5,**,3-3,35.7-33.6,33.8,464(0),,,グランシルク,150.0
7,2016/06/05,3東京2,晴,10,由比ヶ浜特別(1000万下),201605030210,,18,8,17,34.3,10,14,柴田大知,56.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.3,1.0,**,3-2,35.2-34.5,35.4,464(0),,,ショウナンライズ,
8,2016/05/07,2東京5,晴,9,高尾特別(1000万下),201605020509,,12,7,10,5.5,4,4,柴田大知,57.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.7,0.3,**,1-1,35.8-33.8,34.1,464(-8),,,スマートプラネット,230.0
9,2015/12/20,5中山6,晴,12,3歳上1000万下,201506050612,,15,3,4,30.7,10,8,松岡正海,57.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.2,0.6,**,1-1-1,35.8-34.2,34.8,472(+2),,,ゴットフリート,
10,2015/11/28,5東京8,晴,12,3歳上1000万下,201505050812,,16,8,16,10.4,5,13,ムーア,57.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.8,2.0,**,5-5,34.7-34.5,35.7,470(+2),,,マイネルアウラート,
11,2015/11/14,5東京3,雨,10,三鷹特別(1000万下),201505050310,,15,5,8,9.4,5,2,松岡正海,57.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.3,0.0,**,1-1,36.9-34.1,34.1,468(0),,,トータルヒート,609.6
12,2015/10/17,4東京4,曇,10,神奈川新聞杯(1000万下),201505040410,,15,6,10,13.7,6,4,松岡正海,57.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:21.9,0.1,**,1-1,35.1-34.8,34.9,468(+8),,,マリオーロ,230.0
13,2015/09/20,4阪神4,晴,10,瀬戸内海特別(1000万下),201509040410,,18,7,15,29.2,9,14,和田竜二,57.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.8,0.8,**,4-4,34.6-35.2,35.6,460(-4),,,ラッフォルツァート,
14,2015/08/16,2新潟6,晴,10,豊栄特別(1000万下),201504020610,,18,4,8,42.3,14,9,松岡正海,57.5,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.9,0.8,**,4-4,33.9-34.6,34.9,464(+16),,,クリノタカラチャン,
15,2015/07/25,3中京7,晴,10,知多特別(1000万下),201507030710,,16,4,7,6.7,4,16,柴田大知,57.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:23.0,1.4,**,2-2,34.1-35.9,37.1,448(-8),,,ジルダ,
