,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/30,1新潟2,晴,11,谷川岳S(OP),201704010211,,14,3,3,47.8,13,10(降),丸田恭介,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.2,0.8,**,10-10,36.0-34.5,34.1,456(-2),,,ウインガニオン,
1,2017/04/09,2阪神6,曇,10,大阪ーハンブルクC(OP),201709020610,,12,3,3,40.3,11,8,川田将雅,56,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.4,1.0,**,9-12,35.5-35.2,35.5,458(0),,,エポワス,
2,2017/02/05,1東京4,小雨,11,東京新聞杯(G3),201705010411,,10,7,8,147.3,9,10,吉田隼人,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:36.2,1.3,**,7-6,37.2-32.7,33.3,458(+4),,,ブラックスピネル,
3,2016/12/04,5阪神2,雨,11,タンザナイトS(OP),201609050211,,14,8,14,15.9,7,11,藤岡康太,55,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.3,1.2,**,12-11,35.7-34.4,34.5,454(+6),,,サンライズメジャー,
4,2016/11/13,5東京4,曇,11,オーロC(OP),201605050411,,18,7,13,13.8,6,4,田辺裕信,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.8,0.2,**,18-17,35.2-34.7,33.5,448(-6),,,ナックビーナス,350.0
5,2016/10/16,3新潟2,晴,11,信越S(OP),201604030211,,17,7,14,9.5,4,3,吉田隼人,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.4,0.0,**,11-8,33.6-35.2,34.3,454(-6),,,トウショウドラフタ,585.6
6,2016/08/28,2新潟10,晴,10,朱鷺S(OP),201604021010,,10,6,6,6.8,3,3,大野拓弥,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.7,0.3,**,9-9,34.3-34.7,34.3,460(+8),,,ペイシャフェリス,583.1
7,2016/06/26,3東京8,晴,11,パラダイスS(OP),201605030811,,13,7,11,36.5,11,4,大野拓弥,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.2,0.2,**,10-8,34.9-34.6,34.0,452(-8),,,マイネルアウラート,350.0
8,2016/05/08,3京都6,晴,11,鞍馬S(OP),201608030611,,18,8,16,33.7,10,15,小崎綾也,54,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.5,1.0,**,18-18,33.6-33.9,32.5,460(+6),,,セカンドテーブル,
9,2016/04/03,3中山4,曇,11,ダービー卿チャレンジ(G3),201606030411,,16,8,16,225.2,16,13,北村友一,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.7,0.9,**,16-15-15,35.3-34.5,33.9,454(-4),,,マジックタイム,
10,2016/02/28,1阪神2,晴,11,阪急杯(G3),201609010211,,18,8,17,111.6,14,10,秋山真一,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.6,0.7,**,18-18,33.8-34.7,33.9,458(+4),,,ミッキーアイル,
11,2016/02/07,1東京4,晴,11,東京新聞杯(G3),201605010411,,14,4,5,123.3,14,12,三浦皇成,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.2,1.1,**,5-5,36.0-33.5,34.1,454(-10),,,スマートレイアー,
12,2015/12/26,5阪神7,晴,11,阪神C(G2),201509050711,,17,6,11,105.7,14,11,川田将雅,57,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.3,0.9,**,17-17,34.8-34.8,34.5,464(+14),,,ロサギガンティア,
13,2015/11/15,5東京4,晴,11,オーロC(OP),201505050411,,18,5,10,9.7,6,7,北村宏司,54,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.1,0.4,**,14-11,35.5-34.3,33.8,450(-2),,,ロサギガンティア,
14,2015/10/18,3新潟2,晴,11,信越S(OP),201504030211,,18,7,14,7.8,4,3,北村友一,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.7,0.2,**,14-14,33.6-35.5,34.4,452(+6),,,ダノンプログラマー,555.8
