,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/06/19,3東京6,曇,10,青梅特別(1000万下),201605030610,,16,2,3,7.7,3,1,田辺裕信,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:36.3,-0.4,**,2-2,35.3-36.7,36.5,466(0),,,(ゴールデンバローズ),"1,544.8"
1,2015/09/06,2新潟12,雨,11,新潟記念(G3),201504021211,,18,5,10,6.1,1,16,柴田善臣,54,0.0,1.0,2000,1.0,0.0,0.0,0.0,**,1:59.4,1.2,**,6-6,35.5-35.1,34.9,466(0),,,パッションダンス,
2,2015/05/31,2東京12,晴,10,東京優駿(G1),201505021210,,18,7,15,54.4,9,6,柴田善臣,57,0.0,1.0,2400,0.0,1.0,0.0,0.0,**,2:24.0,0.8,**,16-16-16-16,35.4-34.6,34.0,466(-4),,,ドゥラメンテ,
3,2015/05/10,2東京6,晴,11,NHKマイルC(G1),201505020611,,18,6,12,5.9,2,3,柴田善臣,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.7,0.2,**,11-9,35.3-34.2,33.8,470(-6),,,クラリティスカイ,"2,354.6"
4,2015/03/22,2中山8,晴,11,フジTVスプリングS(G2),201506020811,,12,6,7,14.9,6,7,柴田善臣,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:49.6,0.5,**,12-11-12-10,36.7-34.5,33.6,476(+2),,,キタサンブラック,
5,2014/08/31,2新潟10,晴,11,新潟2歳S(G3),201404021011,,18,2,4,4.1,3,1,柴田善臣,54,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.4,0.0,**,14-11,35.2-34.3,33.4,474(+8),,,(アヴニールマルシェ),"3,063.0"
6,2014/08/10,2新潟4,曇,5,2歳新馬,201404020405,,18,3,5,3.5,2,1,柴田善臣,54,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:37.0,-0.2,**,7-9,37.8-33.7,33.2,466(0),,,(ソールインパクト),700.0
