,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ダ,芝,1,不,稍,良,重,16,17,18,19,20,21,22,23,24,25,26,27
0,2008/05/17,1新潟5,晴,12,石打特別(500万下),,16,3,5,136.0,15,16,安藤光彰,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:36.4,2.4,**,13-13,35.8-34.4,35.6,494(-12),,,ライフブリーズ,
1,2008/04/27,2東京2,晴,7,4歳上500万下,,16,2,4,256.1,16,16,戸崎圭太,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:28.2,3.3,**,11-13,35.0-37.9,39.5,506(0),,,アイアムレギュラー,
2,2008/04/06,3中山4,晴,8,4歳上500万下,,14,4,6,138.0,11,14,江田照男,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:14.3,1.8,**,14-14,34.7-37.8,37.9,506(0),,,ローランバーク,
3,2008/03/23,1中京8,晴,7,4歳上500万下,,16,5,10,119.4,11,14,的場勇人,55,1.0,0.0,1000,0.0,0.0,1.0,0.0,**,1:00.8,1.9,**,16-16,34.5-36.0,35.9,506(+2),,,アクロスザスター,
4,2008/03/16,1中京6,晴,7,4歳上500万下,,12,8,12,131.9,9,11,赤木高太,57,1.0,0.0,1000,0.0,1.0,0.0,0.0,**,1:00.8,1.7,**,11-11,34.9-36.3,35.4,504(-12),,,カリスマダンディー,
5,2008/02/27,川崎,晴,9,フェブラリースター賞,,10,7,7,26.2,5,10,江田照男,56,1.0,0.0,1600,0.0,0.0,0.0,1.0,**,1:47.3,4.0,**,9-7-5-10,38.0-39.1,42.9,516(+6),,,グローリーソング,
6,2008/01/27,1中山8,晴,8,4歳上500万下,,16,3,5,143.6,13,7,江田照男,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:13.8,1.2,**,15-14,33.7-38.9,38.1,510(+10),,,フィクシアス,
7,2007/12/24,名古屋,晴,8,名古屋チャレンジカッ,,7,5,5,13.7,5,6,吉田稔,57,1.0,0.0,1400,1.0,0.0,0.0,0.0,,1:29.9,3.1,,6-6-6,,,500(0),,,スナークハーバー,
8,2007/11/29,大井,曇,10,アーバンステージ霜月,,14,1,1,20.5,5,13,的場文男,56,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:14.7,1.2,**,6-6,35.6-37.9,38.5,500(+4),,,ジャスミンフレイズ,
9,2007/11/04,5東京2,晴,12,3歳上500万下,,16,2,3,94.0,14,9,角田晃一,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:26.3,1.3,**,15-13,35.2-37.1,37.2,496(0),,,サクセスサーマル,
