
b'2011/04/03',b'2\xe9\x98\xaa\xe7\xa5\x9e4',b'\xe6\x99\xb4',b'11',b'\xe7\x94\xa3\xe7\xb5\x8c\xe5\xa4\xa7\xe9\x98\xaa\xe6\x9d\xaf(G2)',b'',b'15',b'6',b'10',b'5.7',b'5',b'4',b'\xe5\xae\x89\xe8\x97\xa4\xe5\x8b\x9d\xe5\xb7\xb1',b'59',b'\xe8\x8a\x9d2000',b'\xe8\x89\xaf',b'**',b'1:57.9',b'0.1',b'**',b'15-15-15-14',b'35.8-35.3',b'33.6',b'480(0)',b'',b'',b'\xe3\x83\x92\xe3\x83\xab\xe3\x83\x8e\xe3\x83\x80\xe3\x83\xa0\xe3\x83\xbc\xe3\x83\xab',b'960.0'
b'2011/02/13',b'2\xe4\xba\xac\xe9\x83\xbd6',b'\xe6\x99\xb4',b'11',b'\xe4\xba\xac\xe9\x83\xbd\xe8\xa8\x98\xe5\xbf\xb5(G2)',b'',b'12',b'4',b'4',b'5.3',b'3',b'4',b'\xe5\xae\x89\xe8\x97\xa4\xe5\x8b\x9d\xe5\xb7\xb1',b'58',b'\xe8\x8a\x9d2200',b'\xe8\x89\xaf',b'**',b'2:14.4',b'0.5',b'**',b'7-7-9-9',b'37.1-34.8',b'34.6',b'480(-2)',b'',b'',b'\xe3\x83\x88\xe3\x82\xa5\xe3\x82\xb6\xe3\x82\xb0\xe3\x83\xad\xe3\x83\xbc\xe3\x83\xaa\xe3\x83\xbc',b'960.0'
b'2010/12/26',b'5\xe4\xb8\xad\xe5\xb1\xb18',b'\xe6\x99\xb4',b'10',b'\xe6\x9c\x89\xe9\xa6\xac\xe8\xa8\x98\xe5\xbf\xb5(G1)',b'',b'15',b'5',b'9',b'39.5',b'10',b'9',b'\xe3\x83\x99\xe3\x83\xaa\xe3\x83\xbc',b'55',b'\xe8\x8a\x9d2500',b'\xe8\x89\xaf',b'**',b'2:33.6',b'1.0',b'**',b'13-13-14-13',b'30.3-34.6',b'34.3',b'482(+14)',b'',b'',b'\xe3\x83\xb4\xe3\x82\xa3\xe3\x82\xaf\xe3\x83\x88\xe3\x83\xaf\xe3\x83\xbc\xe3\x83\xab\xe3\x83\x94\xe3\x82\xb5',b''
b'2010/05/30',b'3\xe6\x9d\xb1\xe4\xba\xac4',b'\xe6\x9b\x87',b'10',b'\xe6\x9d\xb1\xe4\xba\xac\xe5\x84\xaa\xe9\xa7\xbf(G1)',b'',b'17',b'8',b'18',b'',b'',b'\xe5\x8f\x96',b'\xe5\xae\x89\xe8\x97\xa4\xe5\x8b\x9d\xe5\xb7\xb1',b'57',b'\xe8\x8a\x9d2400',b'\xe8\x89\xaf',b'**',b'',b'',b'**',b'',b'36.1-33.4',b'',b'\xe8\xa8\x88\xe4\xb8\x8d',b'',b'',b'\xe3\x82\xa8\xe3\x82\xa4\xe3\x82\xb7\xe3\x83\xb3\xe3\x83\x95\xe3\x83\xa9\xe3\x83\x83\xe3\x82\xb7\xe3\x83\xa5',b''
b'2010/05/09',b'2\xe6\x9d\xb1\xe4\xba\xac6',b'\xe6\x99\xb4',b'11',b'NHK\xe3\x83\x9e\xe3\x82\xa4\xe3\x83\xabC(G1)',b'',b'18',b'7',b'13',b'2.6',b'1',b'1',b'\xe5\xae\x89\xe8\x97\xa4\xe5\x8b\x9d\xe5\xb7\xb1',b'57',b'\xe8\x8a\x9d1600',b'\xe8\x89\xaf',b'**',b'1:31.4',b'-0.2',b'**',b'16-16',b'33.4-35.1',b'33.5',b'468(+2)',b'',b'',b'(\xe3\x83\x80\xe3\x82\xa4\xe3\x83\xaf\xe3\x83\x90\xe3\x83\xbc\xe3\x83\x90\xe3\x83\xaa\xe3\x82\xa2\xe3\x83\xb3)',"b'9,590.6'"
b'2010/03/27',b'2\xe9\x98\xaa\xe7\xa5\x9e1',b'\xe6\x99\xb4',b'10',b'\xe6\xaf\x8e\xe6\x97\xa5\xe6\x9d\xaf(G3)',b'',b'11',b'4',b'4',b'3.7',b'3',b'1',b'\xe5\xae\x89\xe8\x97\xa4\xe5\x8b\x9d\xe5\xb7\xb1',b'56',b'\xe8\x8a\x9d1800',b'\xe8\x89\xaf',b'**',b'1:49.3',b'-0.2',b'**',b'5-5',b'36.6-34.1',b'33.4',b'466(-6)',b'',b'',b'(\xe3\x83\x9f\xe3\x83\x83\xe3\x82\xad\xe3\x83\xbc\xe3\x83\x89\xe3\x83\xaa\xe3\x83\xbc\xe3\x83\xa0)',"b'3,940.6'"
b'2010/02/07',b'1\xe6\x9d\xb1\xe4\xba\xac4',b'\xe6\x99\xb4',b'11',b'\xe5\x85\xb1\xe5\x90\x8c\xe9\x80\x9a\xe4\xbf\xa1\xe6\x9d\xaf(G3)',b'',b'13',b'3',b'3',b'4.1',b'2',b'2',b'\xe5\x90\x89\xe7\x94\xb0\xe8\xb1\x8a',b'56',b'\xe8\x8a\x9d1800',b'\xe8\x89\xaf',b'**',b'1:48.2',b'0.0',b'**',b'10-9-7',b'36.2-34.2',b'33.5',b'472(+4)',b'',b'',b'\xe3\x83\x8f\xe3\x83\xb3\xe3\x82\xbd\xe3\x83\x87\xe3\x83\x90\xe3\x83\xb3\xe3\x83\x89',"b'1,613.8'"
b'2009/12/26',b'5\xe9\x98\xaa\xe7\xa5\x9e7',b'\xe6\x99\xb4',b'11',b'\xe3\x83\xa9\xe3\x82\xb8\xe3\x82\xaaNIKKEI\xe6\x9d\xaf(G3)',b'',b'15',b'3',b'4',b'27.8',b'7',b'3',b'\xe5\x86\x85\xe7\x94\xb0\xe5\x8d\x9a\xe5\xb9\xb8',b'55',b'\xe8\x8a\x9d2000',b'\xe8\x89\xaf',b'**',b'2:01.5',b'0.2',b'**',b'5-6-8-8',b'36.3-34.8',b'34.4',b'468(-2)',b'',b'',b'\xe3\x83\xb4\xe3\x82\xa3\xe3\x82\xaf\xe3\x83\x88\xe3\x83\xaf\xe3\x83\xbc\xe3\x83\xab\xe3\x83\x94\xe3\x82\xb5',b'808.4'
b'2009/11/22',b'5\xe4\xba\xac\xe9\x83\xbd6',b'\xe6\x99\xb4',b'5',b'2\xe6\xad\xb3\xe6\x96\xb0\xe9\xa6\xac',b'',b'12',b'8',b'12',b'3.1',b'2',b'1',b'\xe5\x86\x85\xe7\x94\xb0\xe5\x8d\x9a\xe5\xb9\xb8',b'55',b'\xe8\x8a\x9d1800',b'\xe8\x89\xaf',b'**',b'1:52.5',b'-0.1',b'**',b'3-3',b'37.6-34.2',b'34.1',b'470(0)',b'',b'',b'(\xe3\x82\xbb\xe3\x82\xa4\xe3\x83\xab\xe3\x83\xa9\xe3\x83\xbc\xe3\x82\xb8)',b'700.0'
