,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2011/06/26,4阪神4,晴,11,宝塚記念(G1),201109040411,,16,3,6,232.9,15,16,浜中俊,58,1.0,0.0,2200,0.0,1.0,0.0,0.0,**,2:14.4,4.3,**,3-3-4-5,33.6-35.2,39.0,504(-22),,,アーネストリー,
1,2010/03/21,1阪神8,晴,11,阪神大賞典(G2),201009010811,,14,8,14,7.3,6,4,岩田康誠,58,1.0,0.0,3000,0.0,1.0,0.0,0.0,**,3:07.5,0.2,**,3-2-2-3,37.2-37.4,37.3,526(+28),,,トウカイトリック,980.0
2,2009/11/29,5東京8,曇,10,ジャパンC(G1),200905050810,,18,1,1,43.9,10,16,岩田康誠,57,1.0,0.0,2400,0.0,1.0,0.0,0.0,**,2:25.5,3.1,**,1-2-2-3,35.2-35.1,38.0,498(-2),,,ウオッカ,
3,2009/11/01,4東京8,晴,11,天皇賞(秋)(G1),200905040811,,18,3,6,47.5,11,18,四位洋文,58,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,1:59.3,2.1,**,15-17-16,35.6-33.7,34.5,500(-2),,,カンパニー,
4,2009/05/03,3京都4,曇,10,天皇賞(春)(G1),200908030410,,18,8,17,3.5,1,9,四位洋文,58,1.0,0.0,3200,0.0,1.0,0.0,0.0,**,3:15.3,0.9,**,6-6-3-2,36.4-35.1,35.8,502(-6),,,マイネルキッツ,
5,2009/03/22,1阪神8,雨,11,阪神大賞典(G2),200909010811,,12,6,7,3.7,2,1,四位洋文,58,1.0,0.0,3000,0.0,0.0,1.0,0.0,**,3:13.2,0.0,**,6-7-6-2,37.4-40.6,38.3,508(0),,,(ヒカルカザブエ),"6,592.4"
6,2009/02/21,2京都7,晴,11,京都記念(G2),200908020711,,12,6,9,8.9,3,1,四位洋文,58,1.0,0.0,2200,0.0,1.0,0.0,0.0,**,2:14.6,0.0,**,4-4-3-2,36.1-36.0,35.6,508(+10),,,(サクラメガワンダー),"6,496.6"
7,2008/12/28,5中山8,晴,10,有馬記念(G1),200806050810,,14,7,12,29.5,9,14,四位洋文,57,1.0,0.0,2500,0.0,1.0,0.0,0.0,**,2:34.3,2.8,**,4-4-2-4,30.0-36.4,39.1,498(0),,,ダイワスカーレット,
8,2008/11/30,5東京8,晴,10,ジャパンC(G1),200805050810,,17,7,15,12.9,6,8,ルメール,57,1.0,0.0,2400,0.0,1.0,0.0,0.0,**,2:26.1,0.6,**,10-9-8-8,36.6-34.4,34.4,498(+4),,,スクリーンヒーロー,
9,2008/11/02,4東京8,晴,11,天皇賞(秋)(G1),200805040811,,17,1,1,21.2,6,8,藤岡佑介,58,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,1:57.7,0.5,**,5-5-5,35.2-35.2,35.0,494(0),,,ウオッカ,
10,2008/06/29,3阪神4,小雨,10,宝塚記念(G1),200809030410,,14,7,11,8.7,4,5,四位洋文,58,1.0,0.0,2200,0.0,0.0,1.0,0.0,**,2:15.7,0.4,**,3-5-5-2,35.5-37.3,37.5,494(-6),,,エイシンデピュティ,"1,320.0"
11,2008/05/04,3京都4,晴,11,天皇賞(春)(G1),200808030411,,14,8,13,3.6,1,3,四位洋文,58,1.0,0.0,3200,0.0,1.0,0.0,0.0,**,3:15.5,0.4,**,3-4-2-2,36.8-35.3,35.5,500(-4),,,アドマイヤジュピタ,"3,345.0"
