,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2006/05/14,2東京8,曇,11,ヴィクトリアマイル(G1),200605020811,,18,3,6,2.4,1,9,福永祐一,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.8,0.8,**,8-7,35.4-34.3,34.4,466(-2),,,ダンスインザムード,
1,2006/04/08,2阪神5,晴,11,サンスポ杯阪神牝馬S(G2),200609020511,,12,4,4,1.7,1,1,福永祐一,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.2,-0.5,**,3-3,33.8-36.2,35.8,468(-2),,,(エアメサイア),"5,588.2"
2,2006/03/26,1中京8,晴,11,高松宮記念(G1),200607010811,,18,7,14,4.7,2,2,福永祐一,55,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.0,0.0,**,5-5,33.7-34.3,34.0,470(+4),,,オレハマッテルゼ,"3,908.0"
3,2005/12/18,5阪神6,晴,11,サンスポ杯阪神牝馬S(G2),200509050611,,11,2,2,1.6,1,4,福永祐一,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.1,0.6,**,1-1-1,36.3-35.7,36.3,466(+2),,,アドマイヤグルーヴ,830.0
4,2005/11/20,5京都6,晴,11,マイルチャンピオンS(G1),200508050611,,17,1,1,6.9,2,3,福永祐一,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:32.3,0.2,,9-8,34.2-35.0,34.1,464(-2),,,ハットトリック,"2,455.8"
5,2005/10/16,4京都4,晴,11,秋華賞(G1),200508040411,,18,3,5,1.8,1,2,福永祐一,55,1.0,0.0,2000,0.0,1.0,0.0,0.0,,1:59.2,0.0,,5-5-4-2,35.6-35.0,34.7,466(+8),,,エアメサイア,"3,711.6"
6,2005/09/18,4阪神3,晴,11,関西TVローズS(G2),200509040311,,15,6,10,2.2,1,2,福永祐一,54,1.0,0.0,2000,0.0,1.0,0.0,0.0,,2:00.2,0.1,,2-2-2-1,36.2-34.7,34.8,458(+4),,,エアメサイア,"2,130.8"
7,2005/05/08,2東京6,曇,11,NHKマイルC(G1),200505020611,,18,6,12,3.9,2,1,福永祐一,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:33.6,-0.3,,4-4,35.5-34.2,33.6,454(0),,,(デアリングハート),"9,599.0"
8,2005/04/10,2阪神6,晴,11,桜花賞(G1),200509020611,,18,8,17,4.6,2,1,福永祐一,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:33.5,0.0,,3-4-4,33.8-35.5,34.7,454(-6),,,(シーザリオ),"11,548.1"
9,2005/03/13,1阪神6,曇,11,フィリーズレビュー(G2),200509010611,,15,5,8,1.8,1,1,福永祐一,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:21.2,0.0,,9-9,34.4-35.1,34.3,460(+8),,,(デアリングハート),"5,327.4"
10,2004/12/05,5阪神2,晴,11,阪神ジュベナイルF(G1),200409050211,,18,2,3,1.5,1,3,福永祐一,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:35.2,0.0,,6-7-7,35.2-35.8,35.0,452(0),,,ショウナンパントル,"1,518.6"
11,2004/11/07,5京都2,晴,11,KBSファンタジーS(G3),200408050211,,13,3,3,2.7,2,1,福永祐一,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:21.6,-0.7,,3-3,35.5-34.6,34.3,452(-2),,,(モンローブロンド),"3,245.5"
12,2004/10/16,4京都3,晴,3,2歳新馬,200408040303,,16,4,7,5.3,3,1,福永祐一,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:21.8,-0.8,,3-3,35.5-34.4,34.1,454(0),,,(ルスナイオブサクラ),700.0
