,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2009/08/22,3新潟3,晴,10,両津湾特別(1000万下),200904030310,,15,8,14,21.0,9,13,柴山雄一,57,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:54.9,2.3,**,5-5-3-3,36.6-38.4,40.3,542(-12),,,ヒラボクオウショー,
1,2009/07/26,2新潟4,曇,10,麒麟山特別(1000万下),200904020410,,14,5,9,10.9,4,7,田中勝春,57,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:51.5,2.0,**,6-6-5-4,35.1-37.4,38.7,554(+8),,,トランセンド,
2,2009/06/21,2福島2,曇,10,横手特別(1000万下),200903020210,,15,1,1,14.2,4,5,柴山雄一,57,1.0,0.0,1700,0.0,0.0,0.0,1.0,**,1:44.9,1.4,**,5-6-4-5,29.2-36.8,37.9,546(-12),,,トシナギサ,148.0
3,2009/05/24,3東京2,晴,10,薫風S(1600万下),200905030210,,16,1,2,47.6,14,8,柴山雄一,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:37.5,1.0,**,9-9,35.1-37.2,37.6,558(+6),,,フライデイフライト,
4,2008/11/02,4東京8,晴,10,錦秋S(1600万下),200805040810,,16,2,4,24.6,7,16,後藤浩輝,53,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:38.7,3.4,**,4-4,34.9-36.1,39.1,552(-4),,,エスポワールシチー,
5,2008/10/26,4東京6,曇,10,神無月S(1600万下),200805040610,,16,6,11,13.8,6,11,吉田豊,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:23.8,1.0,**,9-9,35.3-36.1,35.6,556(+5),,,トロピカルライト,
6,2008/07/07,盛岡,曇,10,東京カップけやき賞,200835070710,,12,2,2,3.3,2,1,沢田盛夫,56,1.0,0.0,1800,1.0,0.0,0.0,0.0,,1:50.7,-0.2,,2-2-2-2,,,551(+1),,,(レントゲン),250.0
7,2008/06/15,2中京8,曇,9,あおぎりS(1000万下),200807020809,,14,7,11,12.3,4,10,武幸四郎,56,1.0,0.0,1700,0.0,0.0,1.0,0.0,**,1:45.9,0.9,**,7-7-5-5,29.2-37.3,37.8,550(+10),,,ヤマニンリュバン,
8,2008/05/11,2東京6,曇,11,NHKマイルC(G1),200805020611,,18,7,13,59.8,16,16,田中勝春,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:36.4,2.2,**,4-3,34.6-35.0,36.7,540(0),,,ディープスカイ,
9,2008/02/24,1東京8,晴,9,ヒヤシンスS(OP),200805010809,,11,8,10,9.5,3,3,柴山雄一,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:37.9,0.9,**,7-7,34.0-38.4,38.7,540(-2),,,サクセスブロッケン,484.4
10,2008/02/11,1東京4,晴,7,3歳500万下,200805010407,,16,5,10,8.3,4,1,田中勝春,56,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.4,-0.9,**,5-5,34.8-36.7,36.3,542(+2),,,(アバレダイコ),700.0
11,2008/01/05,1京都1,晴,4,3歳500万下,200808010104,,16,5,9,60.7,9,7,幸英明,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:25.1,1.1,**,7-7,34.8-36.7,37.4,540(-6),,,シルクビッグタイム,
12,2007/12/09,5中山4,晴,2,2歳未勝利,200706050402,,12,7,10,2.2,1,1,柴山雄一,55,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:57.0,-0.8,**,2-2-2-2,38.7-39.5,39.4,546(+2),,,(タカラカリズマ),500.0
13,2007/11/24,5東京7,晴,4,2歳新馬,200705050704,,16,6,12,46.7,11,3,柴山雄一,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:40.7,0.3,**,7-6,35.3-38.2,38.0,544(0),,,ゴールデンハッチ,180.0
