,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2012/11/18,5京都6,晴,11,マイルチャンピオンS(G1),201208050611,,18,4,8,36.2,15,14,池添謙一,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.8,0.9,**,2-2,35.0-34.7,35.5,504(-10),,,サダムパテック,
1,2012/10/27,4京都8,晴,11,毎日放送賞スワンS(G2),201208040811,,16,3,6,26.9,10,14,池添謙一,58,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:21.4,0.9,**,3-3,35.2-33.8,34.6,514(+8),,,グランプリボス,
2,2012/10/07,4東京2,晴,11,毎日王冠(G2),201205040211,,16,5,9,34.2,10,12,池添謙一,58,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:45.9,0.9,**,12-11-9,34.5-35.4,33.9,506(-4),,,カレンブラックヒル,
3,2012/06/03,3東京2,曇,11,安田記念(G1),201205030211,,18,6,11,16.9,10,15,池添謙一,58,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:32.6,1.3,**,3-3,33.8-35.0,36.0,510(-6),,,ストロングリターン,
4,2012/04/22,3京都2,曇,11,読売マイラーズC(G2),201208030211,,18,8,16,7.6,4,14,池添謙一,58,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.4,1.2,**,5-5,34.3-35.7,36.2,516(+10),,,シルポート,
5,2011/11/20,6京都6,晴,11,マイルチャンピオンS(G1),201108060611,,18,3,5,9.8,5,1,池添謙一,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.0,**,5-4,34.4-35.3,34.9,506(+6),,,(フィフスペトル),"10,386.4"
6,2011/10/22,4東京6,曇,11,富士S(G3),201105040611,,17,7,13,4.1,1,1,田辺裕信,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.0,0.0,**,11-11,35.3-35.4,34.8,500(-4),,,(アプリコットフィズ),"4,063.7"
7,2011/10/09,4東京2,晴,11,毎日王冠(G2),201105040211,,11,1,1,36.1,10,4,田辺裕信,57,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:46.8,0.1,**,3-4-4,36.1-33.6,33.2,504(+2),,,ダークシャドウ,980.0
8,2010/10/31,4東京8,曇,11,天皇賞(秋)(G1),201005040811,,18,2,4,26.6,7,17,蛯名正義,56,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:00.6,2.4,**,9-10-11,35.3-34.9,36.3,502(0),,,ブエナビスタ,
9,2010/10/10,4東京2,晴,11,毎日王冠(G2),201005040211,,10,3,3,18.1,8,2,蛯名正義,55,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:46.4,0.0,**,3-4-3,35.5-35.5,34.8,502(+8),,,アリゼオ,"2,622.0"
10,2010/05/09,2東京6,晴,11,NHKマイルC(G1),201005020611,,18,6,11,11.5,4,9,岩田康誠,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.0,1.6,**,7-8,33.4-35.1,35.6,494(0),,,ダノンシャンティ,
11,2010/04/18,3中山8,晴,11,皐月賞(G1),201006030811,,18,6,12,8.9,4,11,池添謙一,57,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:01.8,1.0,**,8-8-7-7,35.4-35.9,36.2,494(-6),,,ヴィクトワールピサ,
12,2010/03/07,2中山4,雨,11,報知杯弥生賞(G2),201006020411,,13,3,3,5.4,2,2,池添謙一,56,1.0,0.0,2000,0.0,0.0,0.0,1.0,**,2:06.2,0.1,**,3-2-4-4,37.1-36.8,36.5,500(+4),,,ヴィクトワールピサ,"2,228.8"
13,2009/12/20,5中山6,晴,11,朝日フューチュリティ(G1),200906050611,,16,6,12,5.3,2,2,池添謙一,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.2,0.2,**,5-6-5,34.2-35.6,35.2,496(+4),,,ローズキングダム,"2,534.8"
14,2009/11/14,5東京3,曇,11,京王杯2歳S(G2),200905050311,,17,1,2,6.3,3,1,池添謙一,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.0,-0.2,**,8-9,34.6-35.4,34.5,492(-2),,,(アニメイトバイオ),"3,859.5"
15,2009/10/17,4京都3,曇,11,デイリー杯2歳S(G2),200908040311,,13,1,1,12.5,5,2,池添謙一,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.7,0.0,**,2-2,34.5-34.9,34.7,494(-2),,,リディル,"1,514.4"
16,2009/09/20,4阪神3,晴,8,野路菊S(OP),200909040308,,9,6,6,5.2,2,5,小牧太,54,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:48.3,1.1,**,7-7,36.2-33.5,34.0,496(+6),,,リルダヴァル,160.0
17,2009/08/22,3小倉3,晴,2,2歳未勝利,200910030302,,16,8,15,5.5,4,1,小牧太,54,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:48.1,-0.4,**,2-2-1-1,35.4-35.9,35.9,490(0),,,(ニシノマナザシ),500.0
18,2009/08/02,2小倉6,曇,4,2歳新馬,200910020604,,16,3,6,20.4,6,5,小牧太,54,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:51.6,0.8,**,13-13-14-14,36.1-36.6,36.3,490(0),,,ロードヴィオレット,70.0
